result,nation,venue,venueCountry,date,name,yearOfBirth,sex,code,environment,discipline,wind
1:43.44,MEX,Marietta,USA,2021-07-09,Jesús López,1997.0,Male,NR,Outdoor,800,
1:52.6,MGL,Ulan Bator,MGL,2005-05-06,Tumur Ankhbayar,1984.0,Male,NR,Outdoor,800,
2:05.2,MHL,Majuro,MHL,1994-07-28,Martin Motuahala,,Male,NR,Outdoor,800,
1:47.14,MKD,Sofia,BUL,2002-05-15,Vanco Stojanov,1977.0,Male,NR,Outdoor,800,
1:46.38,MLI,Daegu,KOR,2011-08-27,Moussa Camara,1988.0,Male,NR,Outdoor,800,
1:46.50,MLT,Karlsruhe,GER,2023-05-20,Jared Micallef,1998.0,Male,NR,Outdoor,800,
1:52.05,MNE,Niš,SRB,1996-06-16,Slavisa Vranes,1977.0,Male,NR,Outdoor,800,
1:47.61,MON,Monaco,MON,2010-07-22,Brice Etès,1984.0,Male,NR,Outdoor,800,
1:46.32,MOZ,Oslo,NOR,2016-06-09,Alberto Mamba,1994.0,Male,NR,Outdoor,800,
1:48.24,MRI,Gainesville,USA,1994-01-05,Desiré Pierre-Louis,1973.0,Male,NR,Outdoor,800,
1:51.12,MTN,Tampa,USA,2023-04-07,Amadou Ba,,Male,NR,Outdoor,800,
1:47.9,MYA,Bangkok,THA,1970-12-11,Jimmy Crampton,1949.0,Male,NR,Outdoor,800,
1:46.62,NAM,Durban,RSA,2011-04-10,Daniel Nghipandulwa,1989.0,Male,NR,Outdoor,800,
1:49.10,NCA,Daegu,KOR,2011-08-27,Edgar Cortez,1989.0,Male,NR,Outdoor,800,
1:43.45,NED,Zürich,SUI,2006-08-18,Bram Som,1980.0,Male,NR,Outdoor,800,
1:50.25,NEP,Jakarta,INA,2018-08-27,Kumal Som Bahadur,1992.0,Male,NR,Outdoor,800,
1:58.0,NFI,Göteborg,SWE,1986-05-18,Jonathan McKee,1968.0,Male,NR,Outdoor,800,
1:44.65,NGR,Washington,USA,2023-07-30,Edose Ibadin,1993.0,Male,NR,Outdoor,800,
1:50.8,NIG,Saint-Maur,FRA,1983-07-13,Moussa Daweye,1958.0,Male,NR,Outdoor,800,
2:09.91,NIU,Apia,SAM,1983-08-09,John Malcolm,,Male,NR,Outdoor,800,
2:06.7,NMI,Saipan,FRA,2012-05-17,Michael Mancao,,Male,NR,Outdoor,800,
1:42.58,NOR,Atlanta,USA,1996-07-31,Vebjørn Rodal,1972.0,Male,NR,Outdoor,800,
2:09.92,NRU,Saipan,FRA,2018-06-14,John-Rico Togogae,,Male,NR,Outdoor,800,
1:44.3,NZL,Christchurch,NZL,1962-02-03,Peter Snell,1938.0,Male,NR,Outdoor,800,
1:47.68,OMA,Hangzhou,CHN,2023-10-02,Hussain Mohsen Al-Farisi,2003.0,Male,NR,Outdoor,800,
1:48.10,PAK,Hannover,GER,1974-07-28,Muhammed Siddique,1948.0,Male,NR,Outdoor,800,
1:46.99,PAN,Asunción,PAR,2022-10-15,Chamar Chambers,1997.0,Male,NR,Outdoor,800,
1:50.17,PAR,Indianapolis,USA,1987-08-13,Francisco Figueredo,1960.0,Male,NR,Outdoor,800,
1:47.01,PER,Torrance,USA,2017-04-15,David Torrence,1985.0,Male,NR,Outdoor,800,
1:47.52,PHI,Azusa,USA,2019-04-19,Carter Lilly,1995.0,Male,NR,Outdoor,800,
1:47.04,PLE,Baku,AZE,2017-05-18,Wesam Al-Massri,1990.0,Male,NR,Outdoor,800,
1:59.16,PLW,Nikao,COK,2009-09-23,Douglas Schmidt,1991.0,Male,NR,Outdoor,800,
1:48.29,PNG,Baton Rouge,USA,2002-04-20,Clement Abai,1980.0,Male,NR,Outdoor,800,
1:43.22,POL,Zürich,SUI,2001-08-17,Paweł Czapiewski,1978.0,Male,NR,Outdoor,800,
1:44.91,POR,San Sebastián,ESP,2002-08-20,Rui Silva,1977.0,Male,NR,Outdoor,800,
1:49.20,PRK,Pyongyang,PRK,1983-04-11,Huang Myon Son,,Male,NR,Outdoor,800,
1:43.83,PUR,Paris,FRA,2019-08-24,Wesley Vázquez,1994.0,Male,NR,Outdoor,800,
1:43.82,QAT,Barcelona,ESP,2015-07-08,Abdulrahman Musaeb Balla,1989.0,Male,NR,Outdoor,800,
1:44.93,ROU,Zagreb,CRO,2021-09-14,Catalin Tecuceanu,1999.0,Male,NR,Outdoor,800,
1:42.69,RSA,Bruxelles,BEL,1999-09-03,Hezekiél Sepeng,1974.0,Male,NR,Outdoor,800,
1:42.47,RUS,Bruxelles,BEL,2001-08-24,Yuriy Borzakovskiy,1981.0,Male,NR,Outdoor,800,
1:49.35,RWA,Nassau,BAH,1999-05-26,Alexis Sharangabo,1978.0,Male,NR,Outdoor,800,
1:47.45,SAM,Beijing,CHN,2008-08-20,Aunese Curreen,1985.0,Male,NR,Outdoor,800,
1:44.06,SEN,Zürich,SUI,1988-08-17,Moussa Fall,1963.0,Male,NR,Outdoor,800,
1:51.20,SEY,Victoria,CAN,1999-04-24,Selwyn Bonne,1978.0,Male,NR,Outdoor,800,
1:50.56,SGP,Singapore,SGP,1987-07-22,Sinnathambi Pandian,,Male,NR,Outdoor,800,
1:49.96,SKN,Kingston,JAM,1996-06-27,Ian Godwin,1973.0,Male,NR,Outdoor,800,
1:51.23,SLE,Cwmbrân,GBR,1995-07-09,Prince Amara,1973.0,Male,NR,Outdoor,800,
1:45.15,SLO,Pfungstadt,GER,2021-08-04,Žan Rudolf,1993.0,Male,NR,Outdoor,800,
1:51.8,SMR,San Marino,SMR,1997-06-25,Manlio Molinari,1964.0,Male,NR,Outdoor,800,
1:52.64,SOL,Brisbane,AUS,1982-10-05,Charlie Oliver,1955.0,Male,NR,Outdoor,800,
1:43.60,SOM,Zürich,SUI,1989-08-16,Abdi Bile,1962.0,Male,NR,Outdoor,800,
1:44.75,SRB,Linz,AUT,1988-08-15,Slobodan Popovic,1962.0,Male,NR,Outdoor,800,
1:47.13,SRI,Nairobi,KEN,2018-06-16,Indunil Herath,1993.0,Male,NR,Outdoor,800,
1:47.43,SSD,Bloomington,USA,2018-05-13,Alex Lomong,1997.0,Male,NR,Outdoor,800,
1:52.8,STP,Luanda,ANG,1981-08-27,Antonio Cadio Paraiso,,Male,NR,Outdoor,800,
1:42.23,SUD,Oslo,NOR,2010-06-04,Abubaker Kaki,1989.0,Male,NR,Outdoor,800,
1:42.55,SUI,Zürich,SUI,2001-08-17,André Bucher,1976.0,Male,NR,Outdoor,800,
1:46.74,SUR,Indianapolis,USA,1992-05-09,Tommy Asinga,1968.0,Male,NR,Outdoor,800,
1:44.94,SVK,Ostrava,CZE,2008-06-12,Jozef Repčík,1986.0,Male,NR,Outdoor,800,
1:44.47,SWE,Ostrava,CZE,2020-09-08,Andreas Kramer,1997.0,Male,NR,Outdoor,800,
1:46.54,SWZ,Kristiinankaupunki,FIN,1997-07-01,Ozzie Mdziniso,1970.0,Male,NR,Outdoor,800,
1:47.45,SYR,Alzette-sur-Esch,LUX,1998-06-19,Mahmoud Kheirat,1970.0,Male,NR,Outdoor,800,
1:45.28,TAN,Río de Janeiro,BRA,2005-05-15,Samuel Mwera Chegere,1985.0,Male,NR,Outdoor,800,
1:56.85,TGA,Victoria,CAN,1994-08-23,Paea Funaki,1972.0,Male,NR,Outdoor,800,
1:48.18,THA,Hangzhou,CHN,2023-10-02,Joshua Atkinson,2003.0,Male,NR,Outdoor,800,
1:48.5,TJK,Dushanbe,URS,1983-06-21,Rivkat Agletdinov,,Male,NR,Outdoor,800,
1:47.66,TKM,Tashkent,URS,1986-09-17,Sergey Kamayev,1963.0,Male,NR,Outdoor,800,
1:50.02,TKS,Kingston,JAM,2018-06-02,Ken Reyes,1999.0,Male,NR,Outdoor,800,
1:55.24,TLS,Phnom Penh,CAM,2023-05-10,Manuel Belo Amaral Ataide,2001.0,Male,NR,Outdoor,800,
1:50.09,TOG,Kinshasa,COD,2023-08-02,Makman Yoagbati,1999.0,Male,NR,Outdoor,800,
1:47.24,TPE,Westwood,USA,1980-05-03,Wang Lung-Hua,1958.0,Male,NR,Outdoor,800,
1:45.43,TTO,Sacramento,USA,2005-06-11,Sherridan Kirk,1981.0,Male,NR,Outdoor,800,
1:44.99,TUN,Tokyo,JPN,2021-08-01,Abdessalem Ayouni,1994.0,Male,NR,Outdoor,800,
1:44.00,TUR,Mersin,TUR,2013-06-29,İlham Tanui Özbilen,1990.0,Male,NR,Outdoor,800,
2:12.0,TUV,Nauru,NRU,1971-07-01,Nelu Arenga,,Male,NR,Outdoor,800,
1:48.86,UAE,Aleppo,SYR,2010-09-20,Saoud Mohamed Abdulkarim,1987.0,Male,NR,Outdoor,800,
1:43.72,UGA,Madrid,ESP,2008-07-05,Abraham Chepkirwok,1988.0,Male,NR,Outdoor,800,
1:45.08,UKR,Kyiv,URS,1984-06-22,Leonid Masunov,1962.0,Male,NR,Outdoor,800,
1:49.16,URU,Lima,PER,2015-06-14,Javier Marmo,1992.0,Male,NR,Outdoor,800,
1:42.34,USA,Doha,QAT,2019-10-01,Donavan Brazier,1997.0,Male,NR,Outdoor,800,
1:47.50,UZB,Moskva,RUS,2005-07-16,Erkinjon Isakov,1974.0,Male,NR,Outdoor,800,
1:51.13,VAN,Delhi,IND,2010-10-08,Arnold Sorina,1988.0,Male,NR,Outdoor,800,
1:43.54,VEN,Rieti,ITA,1984-09-02,William Wuycke,1958.0,Male,NR,Outdoor,800,
1:48.97,VIE,Kuala Lumpur,MAS,2017-08-23,Van Thai Duong,1992.0,Male,NR,Outdoor,800,
1:45.93,VIN,San Salvador,ESA,2023-07-05,Handal Roban,2002.0,Male,NR,Outdoor,800,
1:47.98,YEM,Budapest,HUN,2023-08-22,Abdullah Al-Yaari,2003.0,Male,NR,Outdoor,800,
1:46.14,ZAM,Burnaby,CAN,2011-07-01,Prince Mumba,1984.0,Male,NR,Outdoor,800,
1:45.03,ZIM,Caorle,ITA,1996-06-15,Savieri Ngidhi,1968.0,Male,NR,Outdoor,800,
1:57.36,AFG,Portland,USA,2016-03-18,Wais Ibrahim Khairandesh,1990.0,Male,NR,Indoor,800,
1:48.96,ALB,Wien,AUT,2019-01-26,Eraldo Qerama,1991.0,Male,NR,Indoor,800,
1:45.35,ALG,Liévin,FRA,2024-02-10,Mohamed Ali Gouaned,2002.0,Male,NR,Indoor,800,
1:48.86,AND,Sabadell,ESP,2017-02-07,Pol Moya,1996.0,Male,NR,Indoor,800,
1:54.56,ANT,Indianapolis,USA,1987-03-06,Dale Jones,1964.0,Male,NR,Indoor,800,
1:49.00,ARG,Sevilla,ESP,1991-03-08,Luis Antonio Migueles,1965.0,Male,NR,Indoor,800,
1:51.94,ARM,Istanbul,TUR,2017-02-17,Tigran Mkrtchyan,1994.0,Male,NR,Indoor,800,
1:45.59,AUS,Fayetteville,USA,2021-02-13,Charles Hunter,1996.0,Male,NR,Indoor,800,
1:46.65,AUT,Wien,AUT,2012-02-11,Andreas Rapatz,1986.0,Male,NR,Indoor,800,
1:48.17,AZE,Moskva,URS,1989-01-20,Andrey Vamishin,1967.0,Male,NR,Indoor,800,
1:59.14,BAN,Tehran,IRI,2018-02-01,Hasan Kamrul,1997.0,Male,NR,Indoor,800,
1:46.93,BAR,Clemson,USA,2022-02-12,Jonathan Jones,1999.0,Male,NR,Indoor,800,
1:45.33,BDI,Fayetteville,USA,2001-03-10,Jean-Patrick Nduwimana,1978.0,Male,NR,Indoor,800,
1:45.04,BEL,Luxembourg,LUX,2023-01-22,Tibo De Smet,1999.0,Male,NR,Indoor,800,
1:45.95,BIH,Madrid,ESP,2021-02-24,Amel Tuka,1991.0,Male,NR,Indoor,800,
1:45.9,BLR,Moskva,URS,1991-02-17,Andrey Sudnik,1967.0,Male,NR,Indoor,800,
1:50.12,BOL,Valencia,ESP,2008-02-16,Fadrique Iglesias,1980.0,Male,NR,Indoor,800,
1:45.56,BOT,Metz,FRA,2024-02-03,Tshepiso Masalela,1999.0,Male,NR,Indoor,800,
1:45.43,BRA,Pireás,GRE,1989-03-08,José Luiz Barbosa,1961.0,Male,NR,Indoor,800,
1:45.26,BRN,Valencia,ESP,2008-03-09,Youssef Saad Kamel,1981.0,Male,NR,Indoor,800,
1:47.78,BUL,Wien,AUT,1979-02-25,Binko Kolev,1958.0,Male,NR,Indoor,800,
1:45.50,CAN,Fayetteville,USA,2024-01-27,Marco Arop,1998.0,Male,NR,Indoor,800,
1:54.14,CGO,Sätra,SWE,2015-02-21,Bienvenue Musore,1990.0,Male,NR,Indoor,800,
1:46.76,CHI,Fayetteville,USA,2013-03-01,Tomás Squella,1993.0,Male,NR,Indoor,800,
1:48.80,CHN,Chengdu,CHN,2024-02-27,Li Junlin,1998.0,Male,NR,Indoor,800,
1:55.35,COD,Toronto,CAN,1993-03-12,Makudi Mubenga,1960.0,Male,NR,Indoor,800,
1:47.86,COL,Liévin,FRA,2012-02-14,Rafith Rodriguez,1989.0,Male,NR,Indoor,800,
1:55.51,CPV,Pombal,POR,2017-01-14,Samuel Freire,1990.0,Male,NR,Indoor,800,
1:46.32,CUB,Gent,BEL,1999-02-19,Norberto Téllez,1972.0,Male,NR,Indoor,800,
1:48.23,CYP,Wien,AUT,2018-01-27,Christos Demetriou,1993.0,Male,NR,Indoor,800,
1:46.09,CZE,Karlsruhe,GER,2010-01-31,Jakub Holuša,1988.0,Male,NR,Indoor,800,
1:42.67,DEN,Paris,FRA,1997-03-09,Wilson Kipketer,1972.0,Male,NR,Indoor,800,
1:46.74,DOM,New York,USA,2024-02-11,Luis Peralta,1999.0,Male,NR,Indoor,800,
1:56.93,ERI,Eskilstuna,SWE,2015-12-05,Nasir Dawoud,1991.0,Male,NR,Indoor,800,
1:45.12,ESP,Staten Island,USA,2022-02-06,Mariano Garcia,1997.0,Male,NR,Indoor,800,
1:48.90,EST,Athlone,IRL,2023-01-29,Jake Patrick Bagge,2001.0,Male,NR,Indoor,800,
1:44.52,ETH,Birmingham,GBR,2014-02-15,Mohamed Aman,1994.0,Male,NR,Indoor,800,
1:47.36,FIN,Milano,ITA,1978-03-12,Markku Taskinen,1952.0,Male,NR,Indoor,800,
1:44.82,FRA,Stockholm,SWE,2003-02-18,Mehdi Baala,1978.0,Male,NR,Indoor,800,
1:50.76,GAM,Sindelfingen,GER,2019-01-26,Omar Jammeh,1995.0,Male,NR,Indoor,800,
1:43.63,GBR,Toruń,POL,2021-02-17,Elliot Giles,1994.0,Male,NR,Indoor,800,
1:52.94,GEO,Volgograd,URS,1988-02-11,Vladimir Bardin,,Male,NR,Indoor,800,
1:44.88,GER,Stuttgart,GER,1995-02-05,Nico Motchebon,1969.0,Male,NR,Indoor,800,
1:46.47,GHA,Chicago,USA,2022-03-05,Alex Amankwah,1992.0,Male,NR,Indoor,800,
1:52.59,GIB,Boston,USA,2018-02-10,Harvey Dixon,1993.0,Male,NR,Indoor,800,
1:48.64,GRE,Wien,AUT,2014-01-28,Konstadínos Nakópoulos,1987.0,Male,NR,Indoor,800,
1:49.72,GRN,Birmingham,USA,2021-03-13,Nathan Hood,1998.0,Male,NR,Indoor,800,
1:55.66,GUA,Barcelona,ESP,1995-03-10,Arisk Perdomo,1974.0,Male,NR,Indoor,800,
1:46.35,GUY,Chicago,USA,2022-03-05,Quamel Prince,1994.0,Male,NR,Indoor,800,
1:46.75,HAI,Fayetteville,USA,2023-02-11,Cebastian Gentil,2000.0,Male,NR,Indoor,800,
1:56.28,HKG,Macau,MAC,2007-11-01,Lau Tak Lung,1985.0,Male,NR,Indoor,800,
1:46.20,HUN,Budapest,HUN,2020-02-23,Balázs Vindics,1994.0,Male,NR,Indoor,800,
1:59.24,INA,Pattaya,THA,2005-11-13,Edwin Pattileamonia,1976.0,Male,NR,Indoor,800,
1:49.46,IND,Doha,QAT,2008-02-16,Ramesan Rajeev,1985.0,Male,NR,Indoor,800,
1:48.10,IRI,Tehran,IRI,2024-02-18,Sobhan Ahmadi,2001.0,Male,NR,Indoor,800,
1:46.10,IRL,Dublin,IRL,2021-02-20,Mark English,1993.0,Male,NR,Indoor,800,
1:49.42,IRQ,Hangzhou,CHN,2012-02-19,Adnan Taees Akkar,1980.0,Male,NR,Indoor,800,
1:51.07,ISL,Reykjavik,ISL,2006-01-28,Björn Margeirsson,1979.0,Male,NR,Indoor,800,
1:47.81,ISR,Boston,USA,2012-02-11,Dustin Emrani,1985.0,Male,NR,Indoor,800,
1:51.03,ISV,Boston,USA,2016-03-06,Alexshandro Rodriguez,,Male,NR,Indoor,800,
1:45.00,ITA,Madrid,ESP,2024-02-23,Catalin Tecuceanu,1999.0,Male,NR,Indoor,800,
1:46.61,JAM,Louisville,USA,2023-02-25,Tarees Rhoden,2000.0,Male,NR,Indoor,800,
1:47.78,JPN,New York,USA,2018-02-03,Sho Kawamoto,1993.0,Male,NR,Indoor,800,
1:48.89,KAZ,Moskva,RUS,2004-02-17,Mikhail Kolganov,1980.0,Male,NR,Indoor,800,
1:43.98,KEN,New York,USA,2019-02-09,Michael Saruni,1995.0,Male,NR,Indoor,800,
1:49.31,KOS,Istanbul,TUR,2019-02-16,Musa Hajdari,1987.0,Male,NR,Indoor,800,
1:50.66,KSA,Astana,KAZ,2023-02-12,Sami Massoud Al-Yami,1999.0,Male,NR,Indoor,800,
1:47.37,KUW,Hangzhou,CHN,2012-02-19,Mohamed Mutlak Al-Azimi,1982.0,Male,NR,Indoor,800,
2:02.61,LAO,Hanoi,VIE,2009-11-02,Saysana Bannavong,1986.0,Male,NR,Indoor,800,
1:45.72,LAT,Valencia,ESP,2008-03-09,Dmitrijs Miļkevičs,1981.0,Male,NR,Indoor,800,
1:52.36,LBA,Fayetteville,USA,2022-02-18,Amir Ado,1997.0,Male,NR,Indoor,800,
1:46.96,LBR,Indianapolis,USA,1999-03-06,Bobby True,1977.0,Male,NR,Indoor,800,
1:49.70,LCA,Boston,USA,2016-02-28,Michael James,1992.0,Male,NR,Indoor,800,
1:47.41,LIE,Milano,ITA,1977-02-24,Günther Hasler,1951.0,Male,NR,Indoor,800,
1:48.42,LTU,Wien,AUT,2009-02-03,Vitalij Kozlov,1987.0,Male,NR,Indoor,800,
1:47.44,LUX,Wien,AUT,2002-03-03,David Fiegen,1984.0,Male,NR,Indoor,800,
2:01.78,MAC,Macau,MAC,2007-02-11,Henrique da Silva Kuok,1989.0,Male,NR,Indoor,800,
1:45.28,MAR,Lyon,FRA,2024-02-09,Abdellatif El Guesse,1993.0,Male,NR,Indoor,800,
1:55.49,MAS,Pattaya,THA,2006-02-11,Jayakumar Dewarajoo,1982.0,Male,NR,Indoor,800,
1:54.49,MAW,Budapest,HUN,2004-03-05,Kondawi Chiwina,1979.0,Male,NR,Indoor,800,
1:49.6,MDA,Moskva,URS,1974-02-10,Anatoliy Mamontov,1949.0,Male,NR,Indoor,800,
1:58.17,MDV,Maebashi,JPN,1999-03-05,Naseer Ismail,1975.0,Male,NR,Indoor,800,
1:47.19,MEX,New York,USA,2023-02-25,Jesús López,1997.0,Male,NR,Indoor,800,
1:55.76,MGL,Paris,FRA,1997-03-07,Puntsaq-Osor Purevsuren,1975.0,Male,NR,Indoor,800,
1:49.36,MKD,Sofia,BUL,2003-02-02,Vanco Stojanov,1977.0,Male,NR,Indoor,800,
2:02.23,MLT,Padova,ITA,2021-01-31,Marco Filippi,1989.0,Male,NR,Indoor,800,
1:55.22,MNE,Pireás,GRE,2009-02-21,Ilija Ranitović,1987.0,Male,NR,Indoor,800,
1:51.24,MON,Sopot,POL,2014-03-07,Brice Etès,1984.0,Male,NR,Indoor,800,
1:51.97,MOZ,Espinho,POR,2001-01-28,Amílcar Leal,1975.0,Male,NR,Indoor,800,
1:51.27,NAM,Pocatello,USA,2002-02-02,Mao Tjiroze,1977.0,Male,NR,Indoor,800,
1:56.54,NCA,Barcelona,ESP,1995-03-10,Carlos Mairena,1962.0,Male,NR,Indoor,800,
1:45.86,NED,Karlsruhe,GER,2003-02-28,Bram Som,1980.0,Male,NR,Indoor,800,
1:46.63,NGR,Chicago,USA,2021-06-29,Edose Ibadin,1993.0,Male,NR,Indoor,800,
1:46.28,NOR,Birmingham,GBR,1997-02-23,Vebjørn Rodal,1972.0,Male,NR,Indoor,800,
1:47.59,NZL,Glasgow,GBR,2024-03-01,James Preston,1997.0,Male,NR,Indoor,800,
1:52.08,PAK,Sevilla,ESP,1991-03-08,Nadir Khan,1966.0,Male,NR,Indoor,800,
1:56.87,PAR,Indianapolis,USA,1987-03-06,Porfirio Mendez,1966.0,Male,NR,Indoor,800,
1:54.10,PHI,Lisboa,POR,2001-03-09,John Lozada,1973.0,Male,NR,Indoor,800,
1:53.48,PLE,Budapest,HUN,2004-03-05,Abdesalam Al-Dabaji,1979.0,Male,NR,Indoor,800,
1:51.61,PNG,Gainesville,USA,2002-02-10,Clement Abai,1980.0,Male,NR,Indoor,800,
1:44.57,POL,Liévin,FRA,2012-02-14,Adam Kszczot,1989.0,Male,NR,Indoor,800,
1:46.40,POR,Gent,BEL,1999-02-18,Rui Silva,1977.0,Male,NR,Indoor,800,
1:46.20,PUR,Fayetteville,USA,2016-02-27,Andrés Arroyo,1995.0,Male,NR,Indoor,800,
1:45.48,QAT,Stockholm,SWE,2015-02-19,Abdulrahman Musaeb Balla,1989.0,Male,NR,Indoor,800,
1:47.21,ROU,Pireás,GRE,1985-03-02,Petru Drágoescu,1962.0,Male,NR,Indoor,800,
1:44.91,RSA,Valencia,ESP,2008-03-09,Mbulaeni Mulaudzi,1980.0,Male,NR,Indoor,800,
1:44.15,RUS,Karlsruhe,GER,2001-01-27,Yuriy Borzakovskiy,1981.0,Male,NR,Indoor,800,
1:48.33,SEN,Indianapolis,USA,1987-03-08,Babacar Niang,1958.0,Male,NR,Indoor,800,
1:55.63,SGP,Hangzhou,CHN,2014-02-16,Jian Yong Leo Fang,1989.0,Male,NR,Indoor,800,
1:46.96,SLO,Linz,AUT,2013-01-31,Žan Rudolf,1993.0,Male,NR,Indoor,800,
1:54.6,SMR,Ancona,ITA,1987-02-07,Manlio Molinari,1964.0,Male,NR,Indoor,800,
1:46.44,SRB,Torino,ITA,1988-02-10,Slobodan Popovic,1962.0,Male,NR,Indoor,800,
1:49.45,SRI,Ashgabat,TKM,2017-09-20,Indunil Herath,1993.0,Male,NR,Indoor,800,
1:44.75,SUD,Praha,CZE,2009-02-26,Ahmad Ismail,1984.0,Male,NR,Indoor,800,
1:44.93,SUI,Wien,AUT,2002-03-03,André Bucher,1976.0,Male,NR,Indoor,800,
1:47.06,SVK,Birmingham,GBR,2008-02-16,Jozef Repčík,1986.0,Male,NR,Indoor,800,
1:45.09,SWE,Toruń,POL,2021-02-17,Andreas Kramer,1997.0,Male,NR,Indoor,800,
1:50.02,SYR,New York,USA,2002-02-08,Mahmoud Kheirat,1970.0,Male,NR,Indoor,800,
1:48.04,TAN,Stockholm,SWE,2005-02-15,Samuel Mwera Chegere,1985.0,Male,NR,Indoor,800,
1:56.40,THA,Hanoi,VIE,2009-11-02,Jakkrit Pattasai,1991.0,Male,NR,Indoor,800,
1:51.8,TJK,Ust-Kamenogorsk,KAZ,2018-01-20,Odilshoh Ismatov,1992.0,Male,NR,Indoor,800,
1:54.07,TKM,Birmingham,GBR,2003-03-14,Nazar Begliyev,1980.0,Male,NR,Indoor,800,
1:55.61,TOG,Luxembourg,LUX,2020-01-18,Samy Henen,1995.0,Male,NR,Indoor,800,
1:47.64,TTO,Fayetteville,USA,2005-03-12,Sherridan Kirk,1981.0,Male,NR,Indoor,800,
1:46.74,TUN,Lyon,FRA,2023-01-28,Abdessalem Ayouni,1994.0,Male,NR,Indoor,800,
1:47.70,TUR,Istanbul,TUR,2024-02-18,Salih Teksöz,1994.0,Male,NR,Indoor,800,
1:46.10,UGA,Stuttgart,FRG,1989-02-12,Mike Okot,1958.0,Male,NR,Indoor,800,
1:46.49,UKR,Athína,GRE,2005-02-20,Ivan Heshko,1979.0,Male,NR,Indoor,800,
1:44.21,USA,Staten Island,USA,2021-02-13,Donavan Brazier,1997.0,Male,NR,Indoor,800,
1:49.40,UZB,Moskva,RUS,2006-02-17,Erkinjon Isakov,1974.0,Male,NR,Indoor,800,
1:57.89,VIE,Hanoi,VIE,2009-10-01,Nguyen Ba The,,Male,NR,Indoor,800,
1:46.81,VIN,Boston,USA,2024-02-10,Handal Roban,2002.0,Male,NR,Indoor,800,
1:48.52,YEM,Doha,QAT,2023-02-01,Abdullah Al-Yaari,2003.0,Male,NR,Indoor,800,
49.59,AFG,Berlin,GER,2017-06-25,Said Gilani,1996.0,Male,NR,Outdoor,400,
46.13,AHO,El Paso,USA,2007-03-31,Churandy Martina,1984.0,Male,NR,Outdoor,400,
47.29,AIA,Odessa,USA,1995-05-19,Kirthley Richardson,1973.0,Male,NR,Outdoor,400,
46.16,ALB,Oran,ALG,2022-07-02,Franko Burraj,1998.0,Male,NR,Outdoor,400,
45.13,ALG,Edmonton,CAN,2001-08-04,Malik Louahla,1977.0,Male,NR,Outdoor,400,
48.00,AND,L'Hospitalet,ESP,2023-07-09,Pau Blasi,2000.0,Male,NR,Outdoor,400,
47.38,ANG,Lisboa,POR,1995-07-23,João Paulo,,Male,NR,Outdoor,400,
44.74,ANT,Torrance,USA,2018-04-21,Rai Benjamin,1997.0,Male,NR,Outdoor,400,
45.34,ARG,Kortrijk,BEL,2023-07-08,Elián Larregina,2000.0,Male,NR,Outdoor,400,
46.99,ARM,Kyiv,URS,1986-07-14,Akraik Hovanesyan,1965.0,Male,NR,Outdoor,400,
47.73,ARU,Oordegem,BEL,2018-05-26,Anthony Rasmijn,1991.0,Male,NR,Outdoor,400,
49.45,ASA,Adelaide,AUS,2000-08-25,Kelsey Nakanelua,1966.0,Male,NR,Outdoor,400,
44.38,AUS,Seoul,KOR,1988-09-26,Darren Clark,1965.0,Male,NR,Outdoor,400,
45.69,AUT,St. Pölten,AUT,2010-06-03,Clemens Zeller,1984.0,Male,NR,Outdoor,400,
45.83,AZE,Tashkent,URS,1986-09-18,Yuriy Dudkin,1964.0,Male,NR,Outdoor,400,
43.48,BAH,Doha,QAT,2019-10-04,Steven Gardiner,1995.0,Male,NR,Outdoor,400,
47.34,BAN,Guntur,IND,2019-11-03,Mohammad Jahir Rayhan,2001.0,Male,NR,Outdoor,400,
44.43,BAR,Lubbock,USA,2022-05-15,Jonathan Jones,1999.0,Male,NR,Outdoor,400,
46.32,BDI,Tucson,USA,1999-03-20,Jean-Patrick Nduwimana,1978.0,Male,NR,Outdoor,400,
44.43,BEL,London,GBR,2012-08-04,Jonathan Borlée,1988.0,Male,NR,Outdoor,400,
45.82,BEN,Porto Novo,BEN,2012-06-28,Mathieu Gnaligo,1986.0,Male,NR,Outdoor,400,
45.26,BER,Atlanta,USA,1996-07-27,Troy Douglas,1962.0,Male,NR,Outdoor,400,
51.16,BHU,Yokohama,JPN,2021-09-25,Penjor Tshering,1999.0,Male,NR,Outdoor,400,
46.15,BIH,Nembro,ITA,2019-06-28,Amel Tuka,1991.0,Male,NR,Outdoor,400,
47.42,BIZ,Utica,USA,2015-05-09,Benjamin Fairweather,,Male,NR,Outdoor,400,
45.43,BLR,Cheboksary,RUS,2015-06-20,Aliaksandr Linnik,1991.0,Male,NR,Outdoor,400,
47.12,BOL,Cochabamba,BOL,2018-06-06,Fernando David Copa,1996.0,Male,NR,Outdoor,400,
43.72,BOT,La Chaux-de-Fonds,SUI,2015-07-05,Isaac Makwala,1985.0,Male,NR,Outdoor,400,
44.29,BRA,Sevilla,ESP,1999-08-26,Sanderlei Claro Parrela,1974.0,Male,NR,Outdoor,400,
44.36,BRN,Río de Janeiro,BRA,2016-08-14,Ali Khamis Abbas,1995.0,Male,NR,Outdoor,400,
48.53,BRU,Taverny,FRA,1999-07-10,Mohd Arman HJ Sanip,1971.0,Male,NR,Outdoor,400,
