result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
12.64,+0.4,GRE,Barcelona,ESP,1992-08-06,Paraskeví Patoulídou,1965,Female,100H,NR
13.73,+1.3,GRN,Austin TX,USA,2023-06-09,Joniar Thomas,2001,Female,100H,NR
15.05,+0.3,GUA,Ciudad de Guatemala,GUA,2017-03-05,Rosa Benita Baltazar,1999,Female,100H,NR
12.96,+1.8,GUI,Sacramento CA,USA,2007-06-08,Fatmata Fofanah,1985,Female,100H,NR
15.65,,GUM,Manenggon Hills,GUM,2012-05-18,Stefani Loisel,,Female,100H,NR
13.27,+1.7,GUY,Barranquilla,COL,2018-07-30,Jenea McCammon,1991,Female,100H,NR
12.74,+1.7,HAI,Athína,GRE,2004-08-23,Nadine Faustin-Parker,1976,Female,100H,NR
13.14,,HKG,Walnut CA,USA,1994-04-17,Chan Sau-Ying,1970,Female,100H,NR
13.14,0.0,HKG,"Walnut, Ca",USA,1994-04-17,Chan Sau Ying,1970,Female,100H,NR
13.83,-0.6,HON,Toluca,MEX,2008-07-21,Jeimy J. Bernárdez,1986,Female,100H,NR
12.69,-0.1,HUN,München,GER,2022-08-21,Luca Kozák,1996,Female,100H,NR
13.18,+0.7,INA,Taipei,TPE,2012-05-26,Dedeh Erawati,1979,Female,100H,NR
12.78,+1.0,IND,Chengdu,CHN,2023-08-04,Jyothi Yarraji,1999,Female,100H,NR
13.64,+0.2,IRI,Tehran,IRI,2023-08-18,Elnaz Kompani,1989,Female,100H,NR
12.62,+0.5,IRL,Budapest,HUN,2023-08-23,Sarah Lavin,1994,Female,100H,NR
14.38,+1.8,IRQ,Doha,QAT,2023-04-26,Kurdistan Jamal,2002,Female,100H,NR
13.18,+1.2,ISL,Lexington KY,USA,1996-05-19,Gudrún Arnardóttir,1971,Female,100H,NR
12.80,+1.0,ISR,Réthimno,GRE,2002-07-07,Irina Lenskiy,1971,Female,100H,NR
13.33,+0.5,ISV,Tuscaloosa AL,USA,1987-05-17,Flora Hyacinth,1966,Female,100H,NR
12.75,0.0,ITA,Tokyo,JPN,2021-08-01,Luminosa Bogliolo,1995,Female,100H,NR
13.61,+0.8,IVB,Miramar FL,USA,2021-03-13,Deya Erickson,1997,Female,100H,NR
12.31,+0.3,JAM,Eugene OR,USA,2022-07-24,Britany Anderson,2001,Female,100H,NR
14.49,+2.0,JOR,Alger,ALG,2004-10-07,Basma Achouch,1977,Female,100H,NR
12.73,+1.1,JPN,Gifu,JPN,2022-09-25,Mako Fukube,1995,Female,100H,NR
12.44,-0.8,KAZ,Luzern,SUI,1995-06-27,Olga Shishigina,1968,Female,100H,NR
13.70,+2.0,KEN,Nairobi,KEN,2024-01-26,Nusra Rukia,2001,Female,100H,NR
14.10,,KGZ,Moskva,URS,1982-08-01,Lyudmilla Vlasova,,Female,100H,NR
18.14,+0.7,KIR,Apia,SAM,2007-05-09,Kaitinano Mwemweata,1984,Female,100H,NR
13.00,+0.8,KOR,Daegu,KOR,2010-06-07,Lee Yeon-Kyoung,1981,Female,100H,NR
20.66,-0.2,KOS,Chorzów,POL,2023-06-21,Donika Kryemadhi,2002,Female,100H,NR
17.74,,KSA,Taïf,KSA,2022-03-06,Rana Khaled Al-Sulaimani,,Female,100H,NR
15.57,,KUW,Sharjah,UAE,2018-02-08,Rahaf Hussein,,Female,100H,NR
14.39,+0.3,LAO,Bangkok,THA,2019-05-21,Manivanh Chanthavong,1993,Female,100H,NR
12.90,-0.6,LAT,Bryansk,URS,1989-09-08,Ludmila Olijars,1958,Female,100H,NR
14.88,+1.6,LBN,Campbelltown,AUS,2003-02-15,Sandra Gabrael,,Female,100H,NR
12.74,-0.2,LBR,Tokyo,JPN,2021-08-01,Ebony Morrison,1994,Female,100H,NR
