result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
12.54,SUR,Kourou,FRA,2019-03-30,Deborah Galong,1996,Female,TJ,NR
14.51,SVK,Pavia,ITA,2008-05-11,Dana Velďáková,1981,Female,TJ,NR
14.29,SWE,Växjö,SWE,2008-06-08,Carolina Klüft,1983,Female,TJ,NR
10.60,SWZ,Mbabane,SWZ,2002-01-01,Gcebile Gumedze,,Female,TJ,NR
13.01,SYR,Radès,TUN,2009-06-21,Fadwa Al-Boza,1990,Female,TJ,NR
10.80,TAN,Dar-es-Salaam,TAN,2016-06-12,Rose Seif,,Female,TJ,NR
12.57,TGA,Coffeyville KS,USA,2007-05-19,Melesia Mafile'o,1984,Female,TJ,NR
14.17,THA,Taipei,TPE,2018-05-25,Parinya Chuaimaroeng,1997,Female,TJ,NR
12.58,TJK,Alma-Ata,URS,1991-05-12,Marina Rudneva,,Female,TJ,NR
13.97,TKM,Singapore,SGP,1999-10-01,Viktoriya Brigadnaya,1980,Female,TJ,NR
10.34,TKS,Vieux-Fort,LCA,2009-04-12,Shamara Rigby,,Female,TJ,NR
10.33,TLS,Vagos,POR,2021-07-31,Ofélia Faria,,Female,TJ,NR
13.18,TOG,Obernai,FRA,2001-07-29,Edwige Néglogpé,,Female,TJ,NR
13.63,TPE,Taoyuan,TPE,1999-12-26,Wang Kuo-Huei,1978,Female,TJ,NR
14.40,TTO,Alexandria VA,USA,2014-08-31,Ayanna Alexander,1982,Female,TJ,NR
13.08,TUN,Dakar,SEN,2000-05-06,Monya Jelassi,1979,Female,TJ,NR
14.31,TUR,Chengdu,CHN,2023-08-05,Tuğba Danişmaz,1999,Female,TJ,NR
10.29,TUV,Nikao,COK,2009-09-25,Asenate Manoa,1992,Female,TJ,NR
11.30,UAE,Al-Kuwait,KUW,2022-05-17,Latifa Al-Kaabi,,Female,TJ,NR
14.06,UGA,Nashville TN,USA,2011-04-09,Sarah Nambawa,1985,Female,TJ,NR
15.50,UKR,Göteborg/U,SWE,1995-08-10,Inessa Kravets,1966,Female,TJ,NR
13.59,URU,Montevideo,URU,1999-05-08,Mónica Falcioni,1968,Female,TJ,NR
14.91,USA,Chula Vista CA,USA,2021-04-25,Keturah Orji,1996,Female,TJ,NR
14.55,UZB,Haniá,GRE,2005-06-06,Anastasiya Juravlyeva,1981,Female,TJ,NR
12.04,VAN,Honiara,SOL,2023-11-30,Lyza Malres,,Female,TJ,NR
15.67,VEN,Tokyo,JPN,2021-08-01,Yulimar Rojas,1995,Female,TJ,NR
14.15,VIE,Kuala Lumpur,MAS,2017-08-23,Vu Thi Men,1990,Female,TJ,NR
14.07,VIN,Walnut CA,USA,2023-04-15,Mikeisha Welcome,2000,Female,TJ,NR
8.75,YEM,Amman,JOR,2007-10-27,Hana Srouri,1991,Female,TJ,NR
11.06,ZAM,Kabwe,ZAM,1991-09-29,Victoria Mwase,,Female,TJ,NR
13.09,ZIM,Johannesburg,RSA,2020-03-14,Catherine Makaya,1995,Female,TJ,NR
