result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline
49.17,,NED,Glasgow,GBR,2024-03-02,Femke Bol,2000.0,Female,Indoor,WR,400
14:18.86,,ETH,Stockholm/G,SWE,2015-02-19,Genzebe Dibaba,1991.0,Female,Indoor,WR,5K0
6.92,,RUS,Madrid,ESP,1993-02-11,Irina Privalova,1968.0,Female,Indoor,WR,60M
6.92,,RUS,Madrid,ESP,1995-02-09,Irina Privalova,1968.0,Female,Indoor,WR,60M
7.65,,BAH,Glasgow,GBR,2024-03-03,Devynne Charlton,1995.0,Female,Indoor,WR,60H
1:55.82,,SLO,Wien,AUT,2002-03-03,Jolanda Batagelj,1976.0,Female,Indoor,WR,800
2.08,,SWE,Arnstadt,GER,2006-02-04,Kajsa Bergqvist,1976.0,Female,Indoor,WR,HOC
7.37,,GER,Wien,AUT,1988-02-13,Heike Drechsler,1964.0,Female,Indoor,WR,WEI
4:13.31,,ETH,Stockholm/G,SWE,2016-02-17,Genzebe Dibaba,1991.0,Female,Indoor,WR,MEI
5.02,,USA,Albuquerque NM,USA,2013-03-02,Jenn Suhr,1982.0,Female,Indoor,WR,STA
22.50,,CZE,Jablonec,TCH,1977-02-19,Helena Fibingerová,1949.0,Female,Indoor,WR,KUG
15.74,,VEN,Beograd,SRB,2022-03-20,Yulimar Rojas,1995.0,Female,Indoor,WR,DRE
