result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
25.22,,BRU,Kuala Lumpur,MAS,2001-09-15,Alinawati Ali Akbar,1975,Female,200,NR
22.01,-0.5,BUL,Sofia,BUL,1987-08-16,Anelia Nuneva,1962,Female,200,NR
23.34,+1.7,BUR,Ouagadougou,BUR,2005-07-24,Sarah Tondé,1983,Female,200,NR
23.97,,CAF,Viry-Châtillon,FRA,1998-06-21,Emmanuelle Kogalama,1968,Female,200,NR
25.05,,CAM,Kuala Lumpur,MAS,1971-12-14,Meas Kheng,1946,Female,200,NR
22.50,0.0,CAN,Cork,IRL,2017-07-18,Crystal Emmanuel,1991,Female,200,NR
22.39,+1.1,CAY,Nassau,BAH,2005-07-10,Cydonie Mothersill,1978,Female,200,NR
23.01,-0.2,CGO,Kinshasa,COD,2023-08-03,Natacha Ngoye,1993,Female,200,NR
22.73,+0.9,CHA,Edmonton,CAN,2002-06-22,Kaltouma Nadjina,1976,Female,200,NR
22.95,+1.2,CHI,Toronto,CAN,2015-07-23,Isidora Jiménez,1993,Female,200,NR
22.01,0.0,CHN,Shanghai,CHN,1997-10-22,Li Xuemei,1977,Female,200,NR
22.08,+0.8,CIV,London,GBR,2017-08-11,Marie Josée Ta Lou,1988,Female,200,NR
22.41,+0.2,CMR,Kourou,FRA,2000-05-21,Myriam Mani,1977,Female,200,NR
24.26,-0.9,COD,Oordegem,BEL,2011-06-04,Cynthia Bolingo Mbongo,1993,Female,200,NR
24.16,+0.3,COK,Port Vila,VAN,2017-12-14,Patricia Taea,1993,Female,200,NR
22.85,+0.7,COL,Armenia,COL,2005-08-20,Felipa Palácios,1975,Female,200,NR
24.08,-1.4,COM,Porto Novo,BEN,2012-06-30,Feta Ahamada,1987,Female,200,NR
24.31,,CPV,Praia,CPV,2022-10-09,Michaela Rodrigues,2003,Female,200,NR
23.70,+1.9,CRC,Toronto,CAN,2015-07-23,Sharolyn Joseph,1994,Female,200,NR
23.14,,CRO,Sofia,BUL,1974-08-03,Jelica Pavlicic,1954,Female,200,NR
22.68,+0.7,CUB,Salamanca,ESP,2007-07-04,Roxana Díaz,1981,Female,200,NR
24.04,+0.9,CUR,Greensboro NC,USA,2012-05-03,Emmy Fraenk,1992,Female,200,NR
22.61,+0.1,CYP,Barcelona,ESP,2010-07-31,Eleni Artymata,1986,Female,200,NR
21.97,+1.9,CZE,Bratislava,TCH,1981-06-06,Jarmila Kratochvílová,1951,Female,200,NR
22.67,-0.5,DEN,Madrid,ESP,2022-06-18,Ida Kathrine Karstoft,1995,Female,200,NR
27.83,+1.2,DJI,Djibouti,DJI,2017-03-25,Hasna Idriss Goumanes,,Female,200,NR
23.58,0.0,DMA,Raleigh NC,USA,1994-05-28,Hermin Joseph,1964,Female,200,NR
22.36,+1.0,DOM,Bayaguana,DOM,2022-06-25,Marileidy Paulino,1996,Female,200,NR
22.74,-0.1,ECU,Eugene OR,USA,2022-07-19,Gabriela Anahí Suárez,2001,Female,200,NR
22.41,+1.4,EGY,Hengelo,NED,2023-06-04,Bassant Hemida,1996,Female,200,NR
27.49,+1.6,ERI,Khartoum,SUD,2010-11-05,Winta Berhane Gebreyesus,1994,Female,200,NR
