result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
5650,LBR,Knoxville TN,USA,2018-05-11,Maya Neal,1996,Female,Hep,NR
6050,LCA,Eugene OR,USA,2013-06-07,Makeba Alcide,1990,Female,Hep,NR
5590,LES,Maputo,MOZ,2011-09-14,Selloane Tsoaeli,1977,Female,Hep,NR
6093,LIE,Götzis,AUT,1994-05-29,Manuela Marxer,1965,Female,Hep,NR
6604,LTU,Bryansk,URS,1989-06-11,Remigija Nazarovienė,1967,Female,Hep,NR
5036,LUX,Amiens,FRA,2006-06-11,Mandy Charlet,1986,Female,Hep,NR
4831,MAD,Antananarivo,MAD,1997-05-09,Mamy Rarivoarimanana,,Female,Hep,NR
5305,MAR,Casablanca,MAR,1985-08-08,Cherifa Meskaoui,,Female,Hep,NR
5262,MAS,Hanoi,VIE,2022-05-17,Norliana Kamaruddin,1991,Female,Hep,NR
6423,MDA,Chisinau,URS,1983-08-28,Lyubov Ratsu,1961,Female,Hep,NR
5786,MEX,Toronto,CAN,2015-07-25,Jessamyn Sauceda,1989,Female,Hep,NR
4324,MGL,Ulan Bator,MGL,1988-07-31,Davaashav Ganceceg,,Female,Hep,NR
5676,MKD,Latakia,SYR,1987-09-24,Marina Damcevska,1962,Female,Hep,NR
4456,MLI,Rabat,MAR,2019-08-29,Aminata Bah,1994,Female,Hep,NR
4848,MNE,Bar,MNE,2006-10-01,Milena Milašević,1984,Female,Hep,NR
3789,MOZ,Maputo,MOZ,2011-09-14,Salome Mugabe,1989,Female,Hep,NR
5241,MRI,Val-de-Reuil,FRA,2001-06-24,Stephanie Domaingue,1980,Female,Hep,NR
4633,MYA,Yangon,MYA,1985-02-03,Khin Ohn,,Female,Hep,NR
4844,NAM,Stellenbosch,RSA,2015-04-25,Corlia Kruger,1992,Female,Hep,NR
4503,NCA,Managua,NCA,2018-04-18,Jarey Vasquez,,Female,Hep,NR
6867,NED,Eugene OR,USA,2022-07-18,Anouk Vetter,1993,Female,Hep,NR
2596,NEP,Birgunj,NEP,1990-02-02,Padma Chaudhari,,Female,Hep,NR
6153,NGR,Durban,RSA,2016-06-25,Uhunoma Osazuwa,1987,Female,Hep,NR
6226,NOR,Osaka,JPN,2007-08-26,Ida Marcussen,1987,Female,Hep,NR
6278,NZL,Auckland,NZL,1992-03-01,Joanne Henry,1971,Female,Hep,NR
3484,OMA,Muscat,OMA,2015-03-15,Heba Hamood Al-Asimi,,Female,Hep,NR
4225,PAK,Peshawar,PAK,2019-11-14,Maria Maratab,1991,Female,Hep,NR
4998,PAN,Santiago de los Caballeros,DOM,1986-07-01,Irina Ambulo,1966,Female,Hep,NR
5907,PAR,Lima,PER,2019-08-08,Camila Pirelli,1989,Female,Hep,NR
5141,PER,Santa Maria,USA,2017-11-24,Kimberley Carolina,1995,Female,Hep,NR
5381,PHI,Hanoi,VIE,2022-05-17,Sarah Dequinan,1992,Female,Hep,NR
2665,PLE,Damascus,SYR,1988-08-23,Nadima Hussein,,Female,Hep,NR
2906,PLW,Koror,PLW,2005-07-27,Maleah Tengadik,,Female,Hep,NR
5221,PNG,San Angelo TX,USA,2017-03-15,Adrine Monagi,1995,Female,Hep,NR
6672,POL,Eugene OR,USA,2022-07-18,Adrianna Sułek,1999,Female,Hep,NR
6230,POR,Logroño,ESP,2005-07-17,Naide Gomes,1979,Female,Hep,NR
5005,PRK,Beijing,CHN,1990-10-03,An Myong Wol,,Female,Hep,NR
6003,PUR,Kladno,CZE,2016-06-11,Alysbeth Felix,1993,Female,Hep,NR
3770,QAT,Muscat,OMA,2015-03-15,Fatemah Sassanipoor,1994,Female,Hep,NR
6619,ROU,Barcelona,ESP,1992-08-02,Liliana Nastase,1962,Female,Hep,NR
6181,RSA,Melbourne,AUS,2006-03-22,Janice Josephs,1982,Female,Hep,NR
7007,RUS,Bryansk,URS,1989-06-11,Larisa Turchinskaya,1965,Female,Hep,NR
4787,SAM,Azusa CA,USA,2003-04-17,Kristy Slade,1981,Female,Hep,NR
5094,SEN,Evian,FRA,2003-06-22,Paulette Mendy,,Female,Hep,NR
5684,SEY,Saint-Cyr-sur-Loire,FRA,2005-07-03,Céline Laporte,1984,Female,Hep,NR
5116,SGP,Singapore,SGP,1993-06-16,Yu Long Nyu,,Female,Hep,NR
5338,SKN,Knoxville TN,USA,2018-05-12,Kieshonna Brooks,1998,Female,Hep,NR
6416,SLE,Talence,FRA,1996-09-15,Eunice Barber,1974,Female,Hep,NR
5740,SLO,Brescia,ITA,1992-05-17,Vladka Lopatic,1968,Female,Hep,NR
4713,SMR,Modena,ITA,2009-05-10,Barbara Rustignoli,1984,Female,Hep,NR
5618,SRB,Ljubljana,YUG,1990-07-01,Marina Mikhailova,1962,Female,Hep,NR
5128,SRI,Colombo,SRI,2019-08-18,W.V.Lakshika Sugandhi,1991,Female,Hep,NR
5671,STP,Logroño,ESP,2000-08-20,Naide Gomes,1979,Female,Hep,NR
4977,SUD,Radès,TUN,2005-09-16,Mona Jabir Ahmed,1987,Female,Hep,NR
6515,SUI,München,GER,2022-08-18,Annik Kälin,2000,Female,Hep,NR
3144,SUR,Dilbeek,BEL,1989-07-16,Helen Weidum,1960,Female,Hep,NR
6103,SVK,Kladno,CZE,2017-06-18,Lucia Vadlejch,1988,Female,Hep,NR
7032,SWE,Osaka,JPN,2007-08-26,Carolina Klüft,1983,Female,Hep,NR
6942,SYR,Götzis,AUT,1996-05-26,Ghada Shouaa,1972,Female,Hep,NR
4403,TGA,Palmerston North,NZL,2003-09-03,Melesia Mafile'o,1984,Female,Hep,NR
5889,THA,Nakhon Ratchasima,THA,2007-12-09,Wassanee Winatho,1980,Female,Hep,NR
5350,TJK,Frunze,USA,1982-09-17,Yelena Grishina,,Female,Hep,NR
5476,TKM,Tartu,URS,1988-06-11,Natalia Frolova,,Female,Hep,NR
3116,TKS,Basseterre,SKN,2015-04-05,Sanadia Forbes,,Female,Hep,NR
5079,TOG,Réduit,MRI,2010-04-11,Sandrine Thiébaud-Kangni,1976,Female,Hep,NR
5786,TPE,Hiroshima,JPN,1994-10-11,Ma Chun-Ping,,Female,Hep,NR
6418,TTO,College Station TX,USA,2021-05-14,Tyra Gittens,1998,Female,Hep,NR
5686,TUN,Firenze,ITA,2018-04-28,Nada Cheroudi,1987,Female,Hep,NR
6076,TUR,Götzis,AUT,2000-06-04,Anzhela Atroshchenko,1970,Female,Hep,NR
2613,UAE,Dubai,UAE,2012-12-13,Muhra Jassem Abdullah,,Female,Hep,NR
4849,UGA,Al Qâhira,EGY,1985-08-17,Ruth Kyalisima,1955,Female,Hep,NR
6832,UKR,Osaka,JPN,2007-08-26,Lyudmyla Blonska,1977,Female,Hep,NR
4869,URU,San Carlos,URU,2018-05-13,Kimberly de Mederos,1995,Female,Hep,NR
7291,USA,Seoul,KOR,1988-09-24,Jackie Joyner-Kersee,1962,Female,Hep,NR
6346,UZB,Tashkent,UZB,2021-05-29,Yekaterina Voronina,1992,Female,Hep,NR
2646,VAN,Port Vila,VAN,2017-12-13,Jemila Kuao,,Female,Hep,NR
5989,VEN,Lima,PER,2019-05-24,Luisaris Toledo,1992,Female,Hep,NR
5440,VIE,Hanoi,VIE,2022-12-15,Nguyen Linh Na,1997,Female,Hep,NR
4847,VIN,Bozeman MT,USA,1991-05-16,Jacqueline Ross,1969,Female,Hep,NR
3125,ZAM,Luanshya,ZAM,1989-08-27,Carol Muwowo,,Female,Hep,NR
4293,ZIM,Louisville,USA,2004-05-14,Lucky Denenga,,Female,Hep,NR
