result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
1:15:11,TUN,Valencia,ESP,2018-03-24,Soumaya Boussaïd,1980.0,Female,HM,NR,Outdoor
1:06:20,TUR,Gdynia,POL,2020-10-17,Yasemin Can,1996.0,Female,HM,NR,Outdoor
1:06:13,UAE,Valencia,ESP,2018-10-28,Alia Mohamed Saeed,1991.0,Female,HM,NR,Outdoor
1:07:59,UGA,København,DEN,2023-09-17,Sarah Chelangat,2001.0,Female,HM,NR,Outdoor
1:08:59,UKR,Philadelphia,USA,2013-09-15,Lyudmila Kovalenko,1975.0,Female,HM,NR,Outdoor
1:17:52,URU,Buenos Aires,ARG,2022-08-21,Lorena Sosa,1985.0,Female,HM,NR,Outdoor
1:06:25,USA,Houston,USA,2024-01-14,Weini Kelati,1996.0,Female,HM,NR,Outdoor
1:13:29,UZB,Dubai,UAE,2023-11-11,Sitora Khamidova,1989.0,Female,HM,NR,Outdoor
1:29:55,VAN,Apia,SAM,2019-07-20,Margaret Kuras,,Female,HM,NR,Outdoor
1:13:25,VEN,Caracas,VEN,2023-03-19,Joselyn Daniely Brea,1994.0,Female,HM,NR,Outdoor
1:15:25,VIE,Hanoi,VIE,2023-01-01,Nguyen Thi Oanh II,1995.0,Female,HM,NR,Outdoor
1:27:41,VIN,Les Abymes,FRA,2016-04-30,Linda McDowall,1992.0,Female,HM,NR,Outdoor
1:48:54,YEM,Cairo,EGY,2007-11-23,Fatma Al-Orafi,,Female,HM,NR,Outdoor
1:18:52,ZAM,Lusaka,ZAM,2019-04-05,Felistus Chitoshi,1997.0,Female,HM,NR,Outdoor
1:10:50,ZIM,Gdynia,POL,2020-10-17,Fortunate Chidzivo,1987.0,Female,HM,NR,Outdoor
