result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
39.31,LBN,Dubai,UAE,2012-12-12,Jeanette Saïd,,Female,JT,NR,Outdoor
42.27,LBR,Québec City,CAN,2005-02-07,Lelica Zazaboi,,Female,JT,NR,Outdoor
57.22,LCA,El Paso,USA,2008-03-29,Erma-Gene Evans,1984,Female,JT,NR,Outdoor
38.97,LES,Réduit,MRI,2011-04-17,Selloane Ts'oaeli,,Female,JT,NR,Outdoor
48.10,LIE,Halle,GER,2003-05-25,Johanna Heeb,1982,Female,JT,NR,Outdoor
63.98,LTU,Ogre,LAT,2019-06-15,Liveta Jasiūnaitė,1994,Female,JT,NR,Outdoor
57.46,LUX,Dudelange,LUX,2020-09-06,Noémie Pleimling,1993,Female,JT,NR,Outdoor
44.08,MAC,Hongkong,HKG,2019-01-19,Liu Dan,,Female,JT,NR,Outdoor
47.40,MAD,Antananarivo,MAD,1999-07-31,Marie Anita Tidahi,,Female,JT,NR,Outdoor
46.06,MAR,Maisons-Laffitte,FRA,2013-02-16,Rizlaine Amdaa,,Female,JT,NR,Outdoor
49.34,MAS,Bangkok,THA,2014-05-08,Siti Nur Nadiah Osman,1993,Female,JT,NR,Outdoor
31.14,MAW,Lilongwe,MAW,2020-11-14,Ayiche Mtambalika,,Female,JT,NR,Outdoor
54.37,MDA,Tbilisi,GEO,2014-06-21,Mihaela Tacu,1995,Female,JT,NR,Outdoor
34.56,MDV,Male,MDV,2008-12-20,Aminath Shiruna,,Female,JT,NR,Outdoor
59.26,MEX,Morelia,MEX,2015-06-13,Abigail Gomez,1991,Female,JT,NR,Outdoor
45.04,MKD,Mount Pleasant,USA,1999-05-21,Vesna Cadikovska,1980,Female,JT,NR,Outdoor
49.85,MLI,Abidjan,CIV,2017-07-26,Kenifing Traore,1997,Female,JT,NR,Outdoor
45.16,MLT,Marsa,MLT,2017-03-18,Joanne Mifsud-Vella,1986,Female,JT,NR,Outdoor
54.77,MNE,Atlanta,USA,2016-03-18,Marija Bogavac,1996,Female,JT,NR,Outdoor
28.84,MON,Nice,FRA,2000-05-07,Carine Cresto,1973,Female,JT,NR,Outdoor
46.54,MOZ,Maputo,MOZ,2012-06-16,Salome Mugabe,1989,Female,JT,NR,Outdoor
54.56,MRI,Réduit,MRI,2002-06-30,Bernadette Ravina,1975,Female,JT,NR,Outdoor
27.01,MTN,Nice,FRA,2010-02-06,Binta Diagana,1976,Female,JT,NR,Outdoor
44.89,MYA,Nay Pyi Taw,MYA,2015-01-21,Soe Soe Htwe,1998,Female,JT,NR,Outdoor
49.41,NAM,Windhoek,NAM,2002-06-01,Daria Smith,,Female,JT,NR,Outdoor
55.28,NCA,Caracas,VEN,2007-05-11,Dalila Rugama,1984,Female,JT,NR,Outdoor
60.92,NED,Leiden,NED,2019-06-08,Lisanne Schol,1991,Female,JT,NR,Outdoor
47.60,NEP,Pokhara,NEP,2022-10-19,Chandra Kala Lamgade,1993,Female,JT,NR,Outdoor
35.92,NFI,Middlegate,USA,2000-09-12,Zinta Flitten,,Female,JT,NR,Outdoor
58.15,NGR,Ozoro,NGR,2017-07-18,Kelechi Nwanaga,1997,Female,JT,NR,Outdoor
35.07,NIG,Ouagadougou,BUR,2011-06-19,Rakia Issaka,,Female,JT,NR,Outdoor
35.31,NMI,Cairns,AUS,2012-06-27,Liamwar Rangamar,,Female,JT,NR,Outdoor
69.48,NOR,Oslo,NOR,2000-07-28,Trine Hattestad,1966,Female,JT,NR,Outdoor
23.96,NRU,Bairiki,KIR,2007-06-16,Rosa Mystique Jone,1990,Female,JT,NR,Outdoor
63.26,NZL,Yokohama,JPN,2023-05-21,Tori Peeters,1994,Female,JT,NR,Outdoor
39.40,OMA,Sharjah,UAE,2024-02-10,Heba Hammoud Al-Asmi,,Female,JT,NR,Outdoor
44.78,PAK,Karachi,PAK,2010-07-06,Parveen Akhtar,1977,Female,JT,NR,Outdoor
46.79,PAN,Bogotá,COL,2023-04-01,Jennifer Rodriguez,2000,Female,JT,NR,Outdoor
57.77,PAR,Barquisimeto,VEN,2012-06-08,Leryn Franco,1982,Female,JT,NR,Outdoor
49.24,PER,Lima,PER,2017-05-28,Jimena Gómez,1997,Female,JT,NR,Outdoor
53.75,PHI,Manila,PHI,2001-05-18,Gerlayn Amandoron,1978,Female,JT,NR,Outdoor
47.23,PLE,Haniá,GRE,2004-06-28,Sofia Sakorafa,1957,Female,JT,NR,Outdoor
40.89,PLW,Koror,PLW,2005-07-27,Maleah Tengadik,,Female,JT,NR,Outdoor
