result,nation,venue,venueCountry,date,name,sex,discipline,type,environment
55.1,LBA,Tripoli,LBA,1991-09-30,Libya,Female,4x1,NR,Outdoor
50.61,LBR,Abuja,NGR,2006-11-18,Liberia,Female,4x1,NR,Outdoor
46.78,LCA,Bridgetown,BAR,1999-06-26,Saint Lucia,Female,4x1,NR,Outdoor
50.68,LES,Gaborone,BOT,2019-04-27,Lesotho,Female,4x1,NR,Outdoor
46.92,LIE,Nicosia,CYP,1989-05-20,Liechtenstein,Female,4x1,NR,Outdoor
43.95,LTU,Madrid,ESP,2008-07-05,Lithuania,Female,4x1,NR,Outdoor
45.34,LUX,Luxembourg,LUX,2022-07-26,Luxembourg,Female,4x1,NR,Outdoor
48.40,MAC,Guangzhou,CHN,2017-04-09,Macao,Female,4x1,NR,Outdoor
43.61,MAD,Sydney,AUS,2000-09-29,Madagascar,Female,4x1,NR,Outdoor
46.04,MAR,Marrakech,MAR,2023-06-23,Morocco,Female,4x1,NR,Outdoor
44.58,MAS,Phnom Penh,CAM,2023-05-10,Malaysia,Female,4x1,NR,Outdoor
52.1,MAW,Dar-es-Salaam,TAN,1972-12-03,Malawi,Female,4x1,NR,Outdoor
45.43,MDA,Dnipropetrovsk,URS,1985-09-08,Moldova,Female,4x1,NR,Outdoor
47.03,MDV,Antananarivo,MAD,2023-09-01,Maldives,Female,4x1,NR,Outdoor
44.79,MEX,Taipei,TPE,2017-08-28,Mexico,Female,4x1,NR,Outdoor
48.35,MIX,Radès,TUN,2005-09-17,Mixed team,Female,4x1,NR,Outdoor
47.97,MKD,Trikala,GRE,2001-07-07,Former Yugoslav Republic of Macedonia,Female,4x1,NR,Outdoor
46.71,MLI,Bamako,MLI,2008-04-13,Mali,Female,4x1,NR,Outdoor
44.98,MLT,Firenze,ITA,2023-05-07,Malta,Female,4x1,NR,Outdoor
48.86,MNE,Zenica,BIH,2007-06-23,Montenegro,Female,4x1,NR,Outdoor
47.5,MOZ,Lisboa,POR,1973-07-29,Mozambique,Female,4x1,NR,Outdoor
45.89,MRI,Saint-Paul,FRA,2015-08-05,Mauritius,Female,4x1,NR,Outdoor
51.1,MTN,Nouakchott,MTN,1995-12-22,Mauritania,Female,4x1,NR,Outdoor
43.76,NAM,Nairobi,KEN,2021-08-22,Namibia,Female,4x1,NR,Outdoor
42.04,NED,Amsterdam,NED,2016-07-10,Netherlands,Female,4x1,NR,Outdoor
42.10,NGR,Birmingham,GBR,2022-08-07,Nigeria,Female,4x1,NR,Outdoor
49.08,NIG,Ouagadougou,BUR,2001-05-19,Niger,Female,4x1,NR,Outdoor
43.94,NOR,Cheboksary,RUS,2015-06-20,Norway,Female,4x1,NR,Outdoor
43.79,NZL,Mackay,AUS,2022-06-04,New Zealand,Female,4x1,NR,Outdoor
47.67,OMA,Manama,BRN,2015-04-26,Oman,Female,4x1,NR,Outdoor
46.74,PAK,Kathmandu,NEP,2019-12-06,Pakistan,Female,4x1,NR,Outdoor
44.57,PHI,New Clark City,PHI,2019-12-09,Philippines,Female,4x1,NR,Outdoor
45.38,PNG,Birmingham,GBR,2022-08-06,Papua-New Guinea,Female,4x1,NR,Outdoor
42.61,POL,München,GER,2022-08-21,Poland,Female,4x1,NR,Outdoor
44.27,POR,Chorzów,POL,2023-06-24,Portugal,Female,4x1,NR,Outdoor
43.43,PUR,Road Town,IVB,2016-07-03,Puerto Rico,Female,4x1,NR,Outdoor
44.18,ROU,Stara Zagora,BUL,1985-08-02,Romania,Female,4x1,NR,Outdoor
43.25,RSA,Pietersburg,RSA,2000-03-18,South Africa,Female,4x1,NR,Outdoor
41.49,RUS,Stuttgart,GER,1993-08-22,Russia,Female,4x1,NR,Outdoor
51.2,RWA,Eldoret,KEN,2016-09-03,Rwanda,Female,4x1,NR,Outdoor
44.59,SEN,Dakar,SEN,1998-08-20,Senegal,Female,4x1,NR,Outdoor
47.75,SEY,Victoria2,SEY,2011-08-12,Seychelles,Female,4x1,NR,Outdoor
44.96,SGP,Kuala Lumpur,MAS,2017-08-25,Singapore,Female,4x1,NR,Outdoor
43.53,SKN,La Habana,CUB,2009-07-04,Saint Kitts & Nevis,Female,4x1,NR,Outdoor
46.97,SLE,Ouagadougou,BUR,2013-07-20,Sierra Leone,Female,4x1,NR,Outdoor
43.91,SLO,Pergine Valsugana,ITA,2003-07-25,Slovenia,Female,4x1,NR,Outdoor
47.64,SMR,Modena,ITA,2023-05-13,San Marino,Female,4x1,NR,Outdoor
50.6,SOM,Mogadishu,SOM,1977-11-18,Somalia,Female,4x1,NR,Outdoor
44.65,SRB,Kraljevo,SRB,2023-07-22,Serbia,Female,4x1,NR,Outdoor
43.89,SRI,Edmonton,CAN,2001-08-11,Sri Lanka,Female,4x1,NR,Outdoor
60.4,SSD,Gulu,UGA,2017-08-24,South Sudan,Female,4x1,NR,Outdoor
51.3,STP,Folha Féde,STP,2014-09-14,São Tomé & Principé,Female,4x1,NR,Outdoor
47.43,SUD,Cairo,EGY,2007-11-23,Sudan,Female,4x1,NR,Outdoor
42.05,SUI,Tokyo,JPN,2021-08-05,Switzerland,Female,4x1,NR,Outdoor
44.65,SVK,Šamorín,SVK,2016-06-04,Slovak Republic,Female,4x1,NR,Outdoor
43.61,SWE,Göteborg,SWE,2005-08-27,Sweden,Female,4x1,NR,Outdoor
48.20,SWZ,Bloemfontein,RSA,2019-04-13,Swaziland,Female,4x1,NR,Outdoor
46.43,TAN,Christchurch,NZL,1974-02-02,Tanzania,Female,4x1,NR,Outdoor
43.38,THA,Nakhon Ratchasima,THA,2008-06-26,Thailand,Female,4x1,NR,Outdoor
46.92,TOG,Cape Coast,GHA,2016-06-11,Togo,Female,4x1,NR,Outdoor
44.58,TPE,Hiroshima,JPN,1994-10-16,Chinese Taipei,Female,4x1,NR,Outdoor
42.03,TTO,Beijing,CHN,2015-08-29,Trinidad & Tobago,Female,4x1,NR,Outdoor
46.98,TUN,Tunis,TUN,1999-07-25,Tunisia,Female,4x1,NR,Outdoor
44.49,TUR,Konya,TUR,2022-08-12,Türkiye,Female,4x1,NR,Outdoor
45.84,UGA,Nairobi,KEN,1987-08-09,Uganda,Female,4x1,NR,Outdoor
42.04,UKR,London,GBR,2012-08-10,Ukraine,Female,4x1,NR,Outdoor
40.82,USA,London,GBR,2012-08-10,United States,Female,4x1,NR,Outdoor
43.82,UZB,Moskva,URS,1983-06-20,Uzbekistan,Female,4x1,NR,Outdoor
43.53,VEN,Xalapa,MEX,2014-11-28,Venezuela,Female,4x1,NR,Outdoor
43.88,VIE,Kuala Lumpur,MAS,2017-08-25,Vietnam,Female,4x1,NR,Outdoor
43.85,ZAM,Lusaka,ZAM,2021-04-11,Zambia,Female,4x1,NR,Outdoor
45.74,ZIM,Harare,ZIM,1995-09-16,Zimbabwe,Female,4x1,NR,Outdoor
