result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
11.11,-1.7,GAB,Brive-la-Gaillarde,FRA,2014-07-06,Erika Nze,,Female,TJ,NR,Outdoor
15.15,1.7,GBR,Fukuoka,JPN,1997-09-13,Ashia Hansen,1971,Female,TJ,NR,Outdoor
12.49,1.0,GBS,Bedford,GBR,2019-06-02,Claudimira Landim,2000,Female,TJ,NR,Outdoor
14.03,1.5,GEO,Baku,AZE,2004-07-02,Julia Dubina,1984,Female,TJ,NR,Outdoor
11.96,,GEQ,Ciudad Real,ESP,2021-06-13,Naomi Nvo Nchama,2005,Female,TJ,NR,Outdoor
14.61,-0.4,GER,Garbsen,GER,2019-06-02,Kristin Gierisch,1990,Female,TJ,NR,Outdoor
14.33,0.8,GHA,Kingston,JAM,2019-06-08,Nadia Eke,1993,Female,TJ,NR,Outdoor
9.81,,GIB,Reading,GBR,2017-06-10,Kaia Kaemmerlen,2001,Female,TJ,NR,Outdoor
15.32,0.9,GRE,Athína,GRE,2004-08-21,Hrisopiyí Devetzí,1976,Female,TJ,NR,Outdoor
14.06,-0.1,GRN,Athens,USA,2008-06-07,Patricia Sylvester,1983,Female,TJ,NR,Outdoor
13.72,0.0,GUA,San Salvador,ESA,2018-06-23,Thelma Nohemí Fuentes,1992,Female,TJ,NR,Outdoor
12.74,,GUI,Hagetmau,FRA,2000-07-26,Maryama Bah,,Female,TJ,NR,Outdoor
11.01,,GUM,Dededo,GUM,2016-05-13,Regine Tugade,1998,Female,TJ,NR,Outdoor
14.03,-1.0,GUY,Gainesville,USA,2022-04-16,Natricia Hooper,1998,Female,TJ,NR,Outdoor
13.47,-1.0,HAI,Xalapa,MEX,2014-11-27,Pascale Delaunay,1982,Female,TJ,NR,Outdoor
12.99,1.0,HKG,Hongkong,HKG,2023-02-26,Vera Chan Shannon,1998,Female,TJ,NR,Outdoor
11.60,,HON,Tegucigalpa,HON,1994-12-03,Pastora Chávez,1972,Female,TJ,NR,Outdoor
14.00,1.3,HUN,Budapest,HUN,1996-05-11,Zita Bálint,1971,Female,TJ,NR,Outdoor
14.17,-0.7,INA,Nay Pyi Taw,MYA,2013-12-17,Maria Natalia Londa,1990,Female,TJ,NR,Outdoor
14.14,0.0,IND,Chennai,IND,2022-06-13,Babu Sab Aishwarya,1997,Female,TJ,NR,Outdoor
13.23,,IRI,Shiraz,IRI,2016-04-29,Javaher Zamani,,Female,TJ,NR,Outdoor
13.62,0.9,IRL,Bratislava,SVK,2005-06-07,Taneisha Scanlon,1977,Female,TJ,NR,Outdoor
11.84,,IRQ,Baghdad,IRQ,2021-10-30,Chawan Bahaalddin Hassan,1994,Female,TJ,NR,Outdoor
13.40,0.2,ISL,København,DEN,2023-05-28,Irma Gunnarsdóttir,1998,Female,TJ,NR,Outdoor
14.78,-0.1,ISR,Beijing,CHN,2015-08-24,Hanna Minenko,1989,Female,TJ,NR,Outdoor
13.73,,ISV,Tuscaloosa,USA,1987-05-17,Flora Hyacinth,1966,Female,TJ,NR,Outdoor
15.03,1.9,ITA,Roma,ITA,2004-06-26,Magdelin Martinez,1976,Female,TJ,NR,Outdoor
13.36,1.1,IVB,Fayetteville,USA,2019-05-11,Kala Penn,1998,Female,TJ,NR,Outdoor
15.16,0.7,JAM,Linz,AUT,2004-08-02,Trecia Smith,1975,Female,TJ,NR,Outdoor
12.60,0.0,JOR,Al-Ain,UAE,2011-10-29,Rima Taha Farid,1987,Female,TJ,NR,Outdoor
14.16,0.7,JPN,Osaka,JPN,2023-06-03,Mariko Morimoto,1995,Female,TJ,NR,Outdoor
15.25,1.7,KAZ,Split,CRO,2010-09-04,Olga Rypakova,1984,Female,TJ,NR,Outdoor
13.64,1.5,KEN,Accra,GHA,2024-03-19,Winnie Chepngetich Bii,2003,Female,TJ,NR,Outdoor
13.76,1.5,KGZ,Bangkok,THA,2007-06-19,Rakhima Sardi,1986,Female,TJ,NR,Outdoor
10.76,,KIR,Bairiki,KIR,2008-07-01,Terina Tangitang,,Female,TJ,NR,Outdoor
13.92,1.6,KOR,Gongju,KOR,2006-05-26,Kim Soo-Yun,1977,Female,TJ,NR,Outdoor
10.85,,KOS,Elbasan,ALB,2018-05-23,Rita Hajdini,1998,Female,TJ,NR,Outdoor
10.46,,KUW,Al-Kuwait,KUW,2019-10-28,Mariam Kazem Malallah,,Female,TJ,NR,Outdoor
12.77,,LAO,Vientiane,LAO,2014-09-20,Laenly Phoutthavong,1996,Female,TJ,NR,Outdoor
14.76,1.1,LAT,Sheffield,GBR,1997-06-29,Gundega Sproge,1972,Female,TJ,NR,Outdoor
9.29,,LBA,San Donato Milanese,ITA,2008-06-18,Najla Aqdeir Ali Salem,,Female,TJ,NR,Outdoor
12.08,,LBN,Sydney,AUS,2003-10-25,Sandra Gabrael,,Female,TJ,NR,Outdoor
13.52,1.1,LBR,Sacramento,USA,2007-06-09,Decontee Kaye,1987,Female,TJ,NR,Outdoor
13.91,1.7,LCA,Barranquilla,COL,2018-08-01,Sandisha Antoine,1991,Female,TJ,NR,Outdoor
13.57,0.6,LES,Gold Coast,AUS,2018-04-10,Lerato Sechele,1994,Female,TJ,NR,Outdoor
10.20,,LIE,Zürich,SUI,2021-08-15,Nadine Stüber,2005,Female,TJ,NR,Outdoor
14.43,1.8,LTU,La Chaux-de-Fonds,SUI,2019-06-30,Diana Zagainova,1997,Female,TJ,NR,Outdoor
12.43,,LUX,Schaan,LIE,1999-05-26,Claudia Czerwonka,1972,Female,TJ,NR,Outdoor
13.41,,MAD,Antananarivo,MAD,2007-08-15,Rapitsara Volazandry,1976,Female,TJ,NR,Outdoor
13.41,,MAD,UNKNOWN,???,2007-08-15,Rapitsaravolazandry,1976,Female,TJ,NR,Outdoor
13.75,2.0,MAR,Porto Novo,BEN,2012-07-01,Jamaa Chnaik,1984,Female,TJ,NR,Outdoor
13.90,0.1,MAS,Kuala Lumpur,MAS,2012-10-06,Noor Amira Mohd Nafiah,1989,Female,TJ,NR,Outdoor
10.25,,MAW,Blantyre,MAW,1968-07-20,Kachali,,Female,TJ,NR,Outdoor
14.24,0.6,MDA,Alcalá de Henares,ESP,2003-06-28,Olga Bolshova,1968,Female,TJ,NR,Outdoor
10.63,1.6,MDV,Hulhumalé,MDV,2023-05-14,Ahnaa Nizaar,2007,Female,TJ,NR,Outdoor
14.02,1.9,MEX,Queretaro,MEX,2018-04-29,Ivonne Rangel,1993,Female,TJ,NR,Outdoor
12.60,,MGL,Ulan Bator,MGL,2022-09-17,E Oyundari,1999,Female,TJ,NR,Outdoor
9.83,,MHL,McMinnville,USA,2016-05-13,Rosemaline Watley,2001,Female,TJ,NR,Outdoor
12.25,,MKD,Skopje,YUG,1991-05-25,Vasilka Stojcevska,1968,Female,TJ,NR,Outdoor
12.94,0.0,MLI,Niamey,NIG,2005-12-11,Yah Koïta,1980,Female,TJ,NR,Outdoor
13.04,1.2,MLT,Marsa,MLT,2023-04-22,Claire Azzopardi,1999,Female,TJ,NR,Outdoor
12.84,0.3,MNE,Bar,MNE,2020-09-06,Ljiljana Matovic,1993,Female,TJ,NR,Outdoor
9.31,1.1,MON,Aubagne,FRA,2017-05-21,Marie Charlotte Gastaud,1999,Female,TJ,NR,Outdoor
11.85,1.0,MOZ,Brazzaville,CGO,2004-07-14,Telma Cossa,1981,Female,TJ,NR,Outdoor
13.80,-0.6,MRI,Kinshasa,COD,2023-08-04,Liliane Potiron,1998,Female,TJ,NR,Outdoor
12.72,,MYA,Yangon,MYA,2001-06-30,Soe Soe Nyein,1967,Female,TJ,NR,Outdoor
12.11,,NAM,Windhoek,NAM,2022-04-01,Frieda Iithete,,Female,TJ,NR,Outdoor
11.95,,NCA,Maracaibo,VEN,1998-08-20,Ana Patricia Trana,,Female,TJ,NR,Outdoor
13.51,-0.4,NED,Izmir,TUR,2011-06-18,Brenda Baar,1987,Female,TJ,NR,Outdoor
12.20,,NEP,Kathmandu,NEP,2013-04-11,Keshari Chaudhari,1991,Female,TJ,NR,Outdoor
