Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex;WorldathleticsId
AL;3;3K0;W;8:56.78;;Velódromo Luis Puig;ESP;Indoor;2025-02-07;Fedra;Aldana Luna;ARG;1995;Female;14768063
AL;3;DRE;M;16.77;0.4;Gowans Stadium;USA;Outdoor;2025-05-17;Trevon;Hamer;GUY;2004;Male;15123839.0
AL;3;5G;M;21:23.46;;Franklin Field;USA;Outdoor;2025-04-26;Juan;José Soto;COL;1999;Male;14674312
AL;3;MEI;W;4:29.49;;Harvard-Gordon Track and Tennis Center;USA;Indoor;2025-02-01;Carmen;Alder Caisalitin;ECU;2003;Female;14761372
AL;3;4×4;X;3:14.42;;Estadio de Atletismo - Unidad Deportiva el Salitre;COL;Outdoor;2025-04-05;Colombia;;COL;;Mixed;
AL;3;3KH;M;8:37.79;;Pista de Atletismo Justo Román;ARG;Outdoor;2025-04-26;Carlos;San Martín;COL;1993;Male;14750799
AL;3;4×1;M;38.4;;Tianhe Sports Center;CHN;Outdoor;2025-05-10;Brazil;;BRA;;Male;
AL;3;1K5;W;4:12.69;;Estadio Enrique Lopez Cuenca;ESP;Outdoor;2025-06-04;July;Ferreira Da Silva;BRA;1994;Female;14381336.0
AL;5;11H;M;13.1;0.6;China Textile City Sports Centre;CHN;Outdoor;2025-05-03;Rachid;Muratake;JPN;2002;Male;14854913
AL;5;10G;W;44:18.02;;Prefectural Stadium;JPN;Outdoor;2025-06-06;Ayane;Yanai;JPN;2003;Female;14895645
AL;5;WEI;M;8.24;;Expocentro;POR;Indoor;2025-02-22;Mingkun;Zhang;CHN;2000;Male;14884079
AL;5;4×4;M;3:00.29;;Tianhe Sports Center;CHN;Outdoor;2025-05-11;Qatar;;QAT;;Male;
AL;5;1K5;M;3:36.92;;Dubai Police Club Stadium;UAE;Outdoor;2025-05-09;Seyedamir;Zamanpour;IRI;2000;Male;14805622
AL;5;50M;M;5.73;;Atletická hala;CZE;Indoor;2025-02-04;Shuhei;Tada;JPN;1996;Male;14707842
AL;5;40H;M;48.0;;Gumi Civic Stadium;KOR;Outdoor;2025-05-31;Abderrahman;Samba;QAT;1995;Male;14752208
AL;5;WEI;W;6.64;1.1;Maharaja's College Grounds;IND;Outdoor;2025-04-24;Shaili;Singh;IND;2004;Female;14862020
AL;5;HAM;M;74.5;;Gumi Civic Stadium;KOR;Outdoor;2025-05-28;Qi;Wang;CHN;2001;Male;14788582
AL;5;KUG;W;19.62;;Egret Stadium;CHN;Outdoor;2025-04-26;Lijiao;Gong;CHN;1989;Female;14266426
AL;5;DIS;W;64.19;;Stadio Olimpico;ITA;Outdoor;2025-06-06;Bin;Feng;CHN;1994;Female;14430151
AL;5;60M;M;6.53;;AccorHotels Arena de Bercy;FRA;Indoor;2025-02-09;Ali;Al Balushi;OMA;2002;Male;14844149
AL;5;5K0;W;14:51.26;;Boston Univ. Track & Tennis Center;USA;Indoor;2025-02-15;Nozomi;Tanaka;JPN;1999;Female;14632538
AL;5;600;M;1:17.12;;Randal Tyson Indoor Center;USA;Indoor;2025-01-17;El;Hafez Mahadi;QAT;2002;Male;14973856.0
AL;5;STA;W;4.65;;Nanjing;CHN;Outdoor;2025-05-01;Chunge;Niu;CHN;2000;Female;14744719
AL;5;5G;W;21:31.81;;Stadio Guidobaldi;ITA;Outdoor;2025-05-10;Liping;Pang;CHN;2006;Female;15138199
AL;5;1K0;M;2:21.51;;Sports Performance Center;USA;Indoor;2025-03-01;Ryo;Higuchi;JPN;2005;Male;14999835
AL;5;300;W;37.93;;Clemson Indoor Track & Field Complex;USA;Indoor;2025-01-25;Angel;Frank;PHI;2001;Female;14733108
AL;5;3KH;W;9:02.76;;Bislett Stadion;NOR;Outdoor;2025-06-12;Winfred;Yavi;BRN;1999;Female;14695622
AL;5;STA;M;5.85;;Palais des Sports Caen la Mer;FRA;Indoor;2025-02-01;Chenyang;Li;CHN;2003;Male;14974804
AL;5;60H;M;7.47;;Sports Training Center;CHN;Indoor;2025-02-23;Junxi;Liu;CHN;2003;Male;14977766
AL;5;800;M;1:44.08;;Suhaim bin Hamad Stadium;QAT;Outdoor;2025-05-16;Ibrahim;Abass M Chuot;QAT;2004;Male;14886009.0
AL;5;SPE;W;64.83;;Sichuan Xipu Training Base;CHN;Outdoor;2025-03-28;Ziyi;Yan;CHN;2008;Female;15144603
AL;5;2KH;M;5:37.20;;Suhaim bin Hamad Stadium;QAT;Outdoor;2025-04-29;Yaser;Salem Bagharab;QAT;1998;Male;14651434
AL;5;HOC;W;1.92;;Městská sportovní hala;CZE;Indoor;2025-02-08;Nagisa;Takahashi;JPN;2000;Female;14803138
AL;5;DIS;M;67.29;;Jahnstadion;GER;Outdoor;2025-06-11;Abuduaini;Tuergong;CHN;1997;Male;14638595
AL;5;5K0;M;12:56.45;;Bislett Stadion;NOR;Outdoor;2025-06-12;Birhanu;Balew;BRN;1996;Male;14695983
AL;5;10G;M;38:38.23;;Yanmar Stadium Nagai;JPN;Outdoor;2025-05-06;Keisuke;Hara;JPN;2002;Male;15128180
AL;5;3K0;M;7:38.26;;Boston Univ. Track & Tennis Center;USA;Indoor;2025-02-14;Gulveer;Singh;IND;1998;Male;15023839
AL;1;2KH;W;6:44.99;;Prince Nayef Sports City;KSA;Outdoor;2025-04-16;Sadafbonu;Nusratilleva;UZB;2008;Female;15111359
AL;5;60M;W;7.14;;Sports Training Center;CHN;Indoor;2025-03-22;Xiaojing;Liang;CHN;1997;Female;14583567
AL;5;800;W;2:00.08;;Gumi Civic Stadium;KOR;Outdoor;2025-05-31;Hongjiao;Wu;CHN;2003;Female;14885770
AL;5;4×1;W;43.03;;Tianhe Sports Center;CHN;Outdoor;2025-05-11;PR;Of China;CHN;;Female;
AL;5;4×4;W;3:32.64;;Sports Complex;IND;Outdoor;2025-04-30;NCC;;IND;;Female;
AL;5;3G;W;13:55.50;;Patliputra Sports Complex;IND;Outdoor;2025-03-10;.;Yogita;IND;2008;Female;15117120
AL;5;1K0;W;2:39.06;;Boston Univ. Track & Tennis Center;USA;Indoor;2025-01-31;Nozomi;Tanaka;JPN;1999;Female;14632538
AL;5;300;M;32.77;;Prefectural Stadium;JPN;Outdoor;2025-03-09;Genta;Iki;JPN;2003;Male;14977037
AL;5;40H;W;55.31;;Gumi Civic Stadium;KOR;Outdoor;2025-05-31;Jiadie;Mo;CHN;2000;Female;14744957
AL;5;100;M;10.06;1.1;National Stadium;JPN;Outdoor;2025-05-18;Hiroki;Yanagita;JPN;2003;Male;14860572
AL;5;10K;M;27:00.22;;JSerra Catholic;USA;Outdoor;2025-03-29;Gulveer;Singh;IND;1998;Male;15023839
