code,type,discipline,result,wind,venue,venueCountry,venueCity,environment,date,name,firstname,lastname,nation,yearOfBirth,sex
AL,3,800,2:04.56,,Bob Devaney Sports Center,USA,"Lincoln, NE",Indoor,2024-02-03,,Aaliyah,Moore,GUY,,Female
AL,3,DIS,61.55,,Centro de Treinamento Paralímpico Brasileiro,BRA,São Paulo,Outdoor,2024-03-03,,Izabela,Da Silva,BRA,1995.0,Female
AL,3,STA,5.45,,GVSU Kelly Family Sports Cente,USA,"Allendale, MI",Indoor,2024-02-10,,José,Tomas Nieto,COL,2001.0,Male
AL,3,200,20.45,1.9,Centro de Treinamento Paralímpico Brasileiro,BRA,São Paulo,Outdoor,2024-02-25,,Renan,Correa,BRA,2004.0,Male
AL,3,DIS,58.68,,Centro de Treinamento Paralímpico Brasileiro,BRA,São Paulo,Outdoor,2024-03-03,,Douglas,Junior,BRA,1995,Male
AL,3,WEI,8.16,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-25,,Arnovis,Dalmero,COL,2000.0,Male
AL,3,10G,43:27.48,,AIS Athletics Track,AUS,Canberra,Outdoor,2024-01-27,,Lorena,Arenas,COL,1993,Female
AL,3,KUG,17.74,,Gobierno Autónomo Municipal de Cochabamba,BOL,Cochabamba,Indoor,2024-01-27,,Ivana,Xennia Gallardo,CHI,1993,Female
AL,3,3K0,9:12.96,,Pista Prado,URU,Montevideo,Outdoor,2024-03-10,,María,Pía Fernández,URU,1995.0,Female
AL,3,4×1,48.5,,Estadio de Atletismo - Unidad Deportiva el Salitre,COL,Bogotá,Outdoor,2024-02-23,,,,COL,,Female
AL,3,STA,4.41,,Dvorane Gradski Vrt,CRO,Osijek,Indoor,2024-02-20,,Juliana,De Menis Campos,BRA,1996,Female
AL,3,10K,31:20.55,,Estadio de Atletismo La Flora,COL,Bucaramanga,Outdoor,2024-03-01,,Javier,Peñaloza,COL,2000,Male
