result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
42.99,4 x 100m,Oceania,,AUS,Pietersburg,RSA,2000-03-18,Australia,,women,Outdoor
42.29,4 x 100m,South America,,BRA,Moskva,RUS,2013-08-18,Brazil,,women,Outdoor
16:33.58,4 x 1500m,Africa,,KEN,Nassau,BAH,2014-05-24,Kenya,,women,Outdoor
18:31.18,4 x 1500m,Asia,,JPN,Hitachinaka,JPN,1996-05-26,Japan,,women,Outdoor
17:51.48,4 x 1500m,Europe,,ROU,Nassau,BAH,2014-05-24,Romania,,women,Outdoor
1:30.52,4 x 200m,Africa,,NGR,Nassau,BAH,2015-05-02,Nigeria,,women,Outdoor
1:32.76,4 x 200m,Asia,,CHN,Yokohama,JPN,2019-05-12,China,,women,Outdoor
1:28.15,4 x 200m,Europe,,GER,Jena,GER,1980-08-09,Germany,,women,Outdoor
1:35.91,4 x 200m,South America,,ECU,Yokohama,JPN,2019-05-12,Ecuador,,women,Outdoor
3:21.04,4 x 400m,Africa,,NGR,Atlanta GA,USA,1996-08-03,Nigeria,,women,Outdoor
3:24.28,4 x 400m,Asia,,CHN,Beijing,CHN,1993-09-13,China,,women,Outdoor
3:15.17,4 x 400m,Europe,,URS,Seoul,KOR,1988-10-01,Soviet Union,,women,Outdoor
3:15.51,4 x 400m,NACAC,,USA,Seoul,KOR,1988-10-01,United States,,women,Outdoor
3:23.81,4 x 400m,Oceania,,AUS,Sydney,AUS,2000-09-30,Australia,,women,Outdoor
3:26.68,4 x 400m,South America,,BRA,São Paulo,BRA,2011-08-07,Brazil,,women,Outdoor
8:04.28,4 x 800m,Africa,,KEN,Nassau,BAH,2014-05-25,Kenya,,women,Outdoor
8:16.2,4 x 800m,Asia,,CHN,Shanghai,CHN,1991-10-01,China,,women,Outdoor
7:50.17,4 x 800m,Europe,,URS,Moskva,URS,1984-08-05,Soviet Union,,women,Outdoor
49.10,400m,Africa,,NGR,Atlanta GA,USA,1996-07-29,Falilat Ogunkoya,1968,women,Outdoor
48.14,400m,Asia,,BRN,Doha,QAT,2019-10-03,Salwa Eid Naser,1998,women,Outdoor
47.60,400m,Europe,,GER,Canberra,AUS,1985-10-06,Marita Koch,1957,women,Outdoor
48.36,400m,NACAC,,BAH,Tokyo,JPN,2021-08-06,Shaunae Miller-Uibo,1994,women,Outdoor
