result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
1:20.83,,CHN,Xi'an,CHN,2021-09-23,China,,Male,Outdoor,AR,4×2,5
1:20.66,,FRA,Nassau,BAH,2014-05-24,France,,Male,Outdoor,AR,4×2,1
1:23.04,,AUS,Sydney,AUS,1998-12-06,Australia,,Male,Outdoor,AR,4×2,6
1:24.42,,GUY,Philadelphia PA,USA,2015-04-25,Guyana,,Male,Outdoor,AR,4×2,3
2:57.27,,BOT,Tokyo,JPN,2021-08-07,Botswana,,Male,Outdoor,AR,4×4,4
2:59.05,,IND,Budapest,HUN,2023-08-26,India,,Male,Outdoor,AR,4×4,5
2:56.60,,GBR,Atlanta GA,USA,1996-08-03,Great Britain,,Male,Outdoor,AR,4×4,1
2:54.29,,USA,Stuttgart,GER,1993-08-22,United States,,Male,Outdoor,AR,4×4,2
2:59.70,,AUS,Los Angeles CA,USA,1984-08-11,Australia,,Male,Outdoor,AR,4×4,6
2:58.56,,BRA,Winnipeg,CAN,1999-07-30,Brazil,,Male,Outdoor,AR,4×4,3
7:02.43,,KEN,Bruxelles,BEL,2006-08-25,Kenya,,Male,Outdoor,AR,4×8,4
7:26.17,,CHN,Shaoxing,CHN,2023-09-15,China,,Male,Outdoor,AR,4×8,5
7:03.89,,GBR,London,GBR,1982-08-30,Great Britain,,Male,Outdoor,AR,4×8,1
7:11.48,,AUS,Nassau,BAH,2014-05-24,Australia,,Male,Outdoor,AR,4×8,6
7:47.3,,BRA,São Paulo,BRA,1965-04-21,Brazil,,Male,Outdoor,AR,4×8,3
43.03,,RSA,Río de Janeiro,BRA,2016-08-14,Wayde van Niekerk,1992.0,Male,Outdoor,AR,400,4
43.93,,KSA,Beijing,CHN,2015-08-23,Youssef Al-Masrahi,1987.0,Male,Outdoor,AR,400,5
44.26,,GBR,Budapest,HUN,2023-08-22,Matthew Hudson-Smith,1994.0,Male,Outdoor,AR,400,1
43.18,,USA,Sevilla,ESP,1999-08-26,Michael Johnson,1967.0,Male,Outdoor,AR,400,2
44.38,,AUS,Seoul,KOR,1988-09-26,Darren Clark,1965.0,Male,Outdoor,AR,400,6
43.93,,COL,Tokyo,JPN,2021-08-02,Anthony Zambrano,1998.0,Male,Outdoor,AR,400,3
47.10,,ZAM,Zürich,SUI,1991-08-07,Samuel Matete,1968.0,Male,Outdoor,AR,40H,4
46.98,,QAT,Paris,FRA,2018-06-30,Abderrahmane Samba,1995.0,Male,Outdoor,AR,40H,5
45.94,,NOR,Tokyo,JPN,2021-08-03,Karsten Warholm,1996.0,Male,Outdoor,AR,40H,1
46.17,,USA,Tokyo,JPN,2021-08-03,Rai Benjamin,1997.0,Male,Outdoor,AR,40H,2
48.28,,AUS,Atlanta GA,USA,1996-07-31,Rohan Robinson,1971.0,Male,Outdoor,AR,40H,6
46.29,,BRA,Eugene OR,USA,2022-07-19,Alison dos Santos,2000.0,Male,Outdoor,AR,40H,3
12:35.36,,UGA,Monaco,MON,2020-08-14,Joshua Cheptegei,1996.0,Male,Outdoor,AR,5K0,4
12:51.96,,BRN,Monaco,MON,2013-07-19,Albert Rop,1992.0,Male,Outdoor,AR,5K0,5
12:45.01,,ESP,Monaco,MON,2023-07-21,Mohamed Katir,1998.0,Male,Outdoor,AR,5K0,1
12:46.96,,USA,Bruxelles,BEL,2022-09-02,Grant Fisher,1997.0,Male,Outdoor,AR,5K0,2
12:55.76,,AUS,London,GBR,2004-07-30,Craig Mottram,1980.0,Male,Outdoor,AR,5K0,6
13:11.57,,ARG,Stanford CA,USA,2023-04-21,Federico Bruno,1993.0,Male,Outdoor,AR,5K0,3
18:05.49,,TUN,Tunis,TUN,1997-05-01,Hatem Ghoula,1973.0,Male,Outdoor,AR,5G,4
1:40.91,,KEN,London,GBR,2012-08-09,David Rudisha,1988.0,Male,Outdoor,AR,800,4
1:42.79,,BRN,Monaco,MON,2008-07-29,Youssef Saad Kamel,1981.0,Male,Outdoor,AR,800,5
1:41.11,,DEN,Köln,GER,1997-08-24,Wilson Kipketer,1972.0,Male,Outdoor,AR,800,1
1:42.34,,USA,Doha,QAT,2019-10-01,Donavan Brazier,1997.0,Male,Outdoor,AR,800,2
1:43.99,,AUS,Decines Charpieu,FRA,2023-07-08,Joseph Deng,1998.0,Male,Outdoor,AR,800,6
1:41.77,,BRA,Köln,GER,1984-08-26,Joaquim Cruz,1963.0,Male,Outdoor,AR,800,3
70.32,,RSA,Salôn-de-Provence,FRA,2002-05-26,Frantz Kruger,1975.0,Male,Outdoor,AR,DIS,4
69.32,,IRI,Tallinn,EST,2008-06-03,Ehsan Hadadi,1985.0,Male,Outdoor,AR,DIS,5
74.08,,GER,Neubrandenburg,GER,1986-06-06,Jürgen Schult,1960.0,Male,Outdoor,AR,DIS,1
71.32,,USA,Eugene OR,USA,1983-06-04,Ben Plucknett,1954.0,Male,Outdoor,AR,DIS,2
70.42,,SAM,Ramona OK,USA,2023-04-16,Alex Rose,1991.0,Male,Outdoor,AR,DIS,6
70.29,,COL,Vila Nova Cerveira,POR,2020-07-22,Mauricio Ortega,1994.0,Male,Outdoor,AR,DIS,3
81.27,,EGY,Cairo,EGY,2014-03-21,Mostafa Hicham Al-Gamal,1988.0,Male,Outdoor,AR,HAM,4
84.86,,JPN,Praha,CZE,2003-06-29,Koji Murofushi,1974.0,Male,Outdoor,AR,HAM,5
