result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,code,discipline,type
7.67,,BAH,New York NY,USA,2024-02-11,Devynne Charlton,1995.0,Female,Indoor,AR,60H,2
7.73,,AUS,Istanbul,TUR,2012-03-10,Sally Pearson,1986.0,Female,Indoor,AR,60H,6
7.91,,PAN,Sopot,POL,2014-03-07,Yvette Lewis,1985.0,Female,Indoor,AR,60H,3
1:57.06,,MOZ,Liévin,FRA,1999-02-21,Maria Mutola,1972.0,Female,Indoor,AR,800,4
2:00.78,,JPN,Yokohama,JPN,2003-02-22,Miho Sato,1978.0,Female,Indoor,AR,800,5
1:55.82,,SLO,Wien,AUT,2002-03-03,Jolanda Batagelj,1976.0,Female,Indoor,AR,800,1
1:58.29,,USA,New York NY,USA,2020-02-08,Ajee’ Wilson,1994.0,Female,Indoor,AR,800,2
1:59.46,,AUS,Birmingham,GBR,2022-02-19,Catriona Bisset,1994.0,Female,Indoor,AR,800,6
1:59.21,,SUR,Birmingham,GBR,1997-02-23,Letitia Vriesde,1964.0,Female,Indoor,AR,800,3
1.97,,RSA,Birmingham,GBR,2001-02-18,Hestrie Cloete,1978.0,Female,Indoor,AR,HOC,4
1.98,,KAZ,Samara,RUS,1996-03-04,Svetlana Zalevskaya,1973.0,Female,Indoor,AR,HOC,5
1.98,,KAZ,Beograd,SRB,2022-03-19,Nadezhda Dubovitskaya,1998.0,Female,Indoor,AR,HOC,5
2.08,,SWE,Arnstadt,GER,2006-02-04,Kajsa Bergqvist,1976.0,Female,Indoor,AR,HOC,1
2.02,,USA,Albuquerque NM,USA,2012-02-26,Chaunté Lowe,1984.0,Female,Indoor,AR,HOC,2
2.00,,AUS,Beograd,SRB,2022-03-19,Eleanor Patterson,1996.0,Female,Indoor,AR,HOC,6
1.94,,ARG,Brno,CZE,2000-02-09,Solange Witteveen,1976.0,Female,Indoor,AR,HOC,3
6.97,,NGR,Erfurt,GER,1997-02-05,Chioma Ajunwa,1970.0,Female,Indoor,AR,WEI,4
6.82,,CHN,Beijing,CHN,1992-03-13,Yang Juan,1969.0,Female,Indoor,AR,WEI,5
7.37,,GER,Wien,AUT,1988-02-13,Heike Drechsler,1964.0,Female,Indoor,AR,WEI,1
7.23,,USA,Istanbul,TUR,2012-03-11,Brittney Reese,1986.0,Female,Indoor,AR,WEI,2
6.81,,AUS,Barcelona,ESP,1995-03-12,Nicole Boegman,1967.0,Female,Indoor,AR,WEI,6
6.89,,BRA,Valencia,ESP,2008-03-09,Maurren Higa Maggi,1976.0,Female,Indoor,AR,WEI,3
4:13.31,,ETH,Stockholm/G,SWE,2016-02-17,Genzebe Dibaba,1991.0,Female,Indoor,AR,MEI,4
4:24.71,,BRN,Birmingham,GBR,2010-02-20,Maryam Jamal,1984.0,Female,Indoor,AR,MEI,5
4:17.14,,ROU,East Rutherford NJ,USA,1990-02-09,Doina Melinte,1956.0,Female,Indoor,AR,MEI,1
4:16.41,,USA,New York NY,USA,2024-02-11,Elle St. Pierre,1995.0,Female,Indoor,AR,MEI,2
4:19.03,,AUS,New York NY,USA,2024-02-11,Jessica Hull,1996.0,Female,Indoor,AR,MEI,6
4:34.37,,ECU,Boston MA,USA,2024-01-27,Carmen Alder,2003.0,Female,Indoor,AR,MEI,3
4.41,,RSA,Birmingham,GBR,2000-02-20,Elmarie Gerryts,1972.0,Female,Indoor,AR,STA,4
4.70,,CHN,Doha,QAT,2016-02-19,Li Ling,1989.0,Female,Indoor,AR,STA,5
5.01,,RUS,Stockholm/G,SWE,2012-02-23,Yelena Isinbayeva,1982.0,Female,Indoor,AR,STA,1
5.03,,USA,Brockport NY,USA,2016-01-30,Jenn Suhr,1982.0,Female,Indoor,AR,STA,2
4.91,,AUS,Zürich,SUI,2023-08-30,Nina Kennedy,1997.0,Female,Indoor,AR,STA,6
4.83,,BRA,Nevers,FRA,2015-02-07,Fabiana Murer,1981.0,Female,Indoor,AR,STA,3
18.13,,NGR,Flagstaff AZ,USA,2006-02-04,Vivian Chukwuemeka,1975.0,Female,Indoor,AR,KUG,4
18.13,,GBS,Braga,POR,2021-02-13,Jessica Inchude,1996.0,Female,Indoor,AR,KUG,4
21.10,,CHN,Beijing,CHN,1990-03-03,Sui Xinmei,1965.0,Female,Indoor,AR,KUG,5
22.50,,CZE,Jablonec,TCH,1977-02-19,Helena Fibingerová,1949.0,Female,Indoor,AR,KUG,1
20.21,,USA,Portland OR,USA,2016-03-19,Michelle Carter,1985.0,Female,Indoor,AR,KUG,2
20.21,,USA,Beograd,SRB,2022-03-18,Chase Jackson,1994.0,Female,Indoor,AR,KUG,2
20.98,,NZL,Zürich,SUI,2013-08-28,Valerie Adams,1984.0,Female,Indoor,AR,KUG,6
18.33,,BRA,Pireás,GRE,1999-02-24,Elisângela Adriano,1972.0,Female,Indoor,AR,KUG,3
14.90,,SUD,Budapest,HUN,2004-03-06,Yamilé Aldama,1972.0,Female,Indoor,AR,DRE,4
15.14,,KAZ,Doha,QAT,2010-03-13,Olga Rypakova,1984.0,Female,Indoor,AR,DRE,5
15.36,,RUS,Budapest,HUN,2004-03-06,Tatyana Lebedeva,1976.0,Female,Indoor,AR,DRE,1
15.12,,USA,Albuquerque NM,USA,2023-03-11,Jasmine Moore,2001.0,Female,Indoor,AR,DRE,2
13.31,,AUS,Budapest,HUN,2004-03-05,Nicole Mladenis,1975.0,Female,Indoor,AR,DRE,6
15.74,,VEN,Beograd,SRB,2022-03-20,Yulimar Rojas,1995.0,Female,Indoor,AR,DRE,3
