result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
7.37,Long Jump,Europe,,GER,Wien,AUT,1988-02-13,Heike Drechsler,1964,women,Indoor
7.23,Long Jump,NACAC,,USA,Istanbul,TUR,2012-03-11,Brittney Reese,1986,women,Indoor
6.81,Long Jump,Oceania,,AUS,Barcelona,ESP,1995-03-12,Nicole Boegman,1967,women,Indoor
6.89,Long Jump,South America,,BRA,Valencia,ESP,2008-03-09,Maurren Higa Maggi,1976,women,Indoor
4:13.31,One Mile,Africa,,ETH,Stockholm/G,SWE,2016-02-17,Genzebe Dibaba,1991,women,Indoor
4:24.71,One Mile,Asia,,BRN,Birmingham,GBR,2010-02-20,Maryam Jamal,1984,women,Indoor
4:17.14,One Mile,Europe,,ROU,East Rutherford NJ,USA,1990-02-09,Doina Melinte,1956,women,Indoor
4:16.41,One Mile,NACAC,,USA,New York NY,USA,2024-02-11,Elle St. Pierre,1995,women,Indoor
4:19.03,One Mile,Oceania,,AUS,New York NY,USA,2024-02-11,Jessica Hull,1996,women,Indoor
4:34.37,One Mile,South America,,ECU,Boston MA,USA,2024-01-27,Carmen Alder,2003,women,Indoor
4558,Pentathlon,Africa,,SLE,Paris,FRA,1997-03-07,Eunice Barber,1974,women,Indoor
4582,Pentathlon,Asia,,KAZ,Pattaya,THA,2006-02-10,Olga Rypakova,1984,women,Indoor
5055,Pentathlon,Europe,,BEL,Istanbul,TUR,2023-03-03,Nafissatou Thiam,1994,women,Indoor
5004,Pentathlon,NACAC,,USA,Albuquerque NM,USA,2023-02-16,Anna Hall,2001,women,Indoor
4490,Pentathlon,Oceania,,AUS,Maebashi,JPN,1999-03-05,Jane Jamieson,1975,women,Indoor
4292,Pentathlon,South America,,BRA,Tallinn,EST,2016-02-14,Vanessa Spínola,1990,women,Indoor
4.41,Pole Vault,Africa,,RSA,Birmingham,GBR,2000-02-20,Elmarie Gerryts,1972,women,Indoor
4.70,Pole Vault,Asia,,CHN,Doha,QAT,2016-02-19,Li Ling,1989,women,Indoor
5.01,Pole Vault,Europe,,RUS,Stockholm/G,SWE,2012-02-23,Yelena Isinbayeva,1982,women,Indoor
5.03,Pole Vault,NACAC,,USA,Brockport NY,USA,2016-01-30,Jenn Suhr,1982,women,Indoor
4.91,Pole Vault,Oceania,,AUS,Zürich,SUI,2023-08-30,Nina Kennedy,1997,women,Indoor
4.83,Pole Vault,South America,,BRA,Nevers,FRA,2015-02-07,Fabiana Murer,1981,women,Indoor
18.13,Shot Put,Africa,,NGR,Flagstaff AZ,USA,2006-02-04,Vivian Chukwuemeka,1975,women,Indoor
18.13,Shot Put,Africa,,GBS,Braga,POR,2021-02-13,Jessica Inchude,1996,women,Indoor
21.10,Shot Put,Asia,,CHN,Beijing,CHN,1990-03-03,Sui Xinmei,1965,women,Indoor
22.50,Shot Put,Europe,,CZE,Jablonec,TCH,1977-02-19,Helena Fibingerová,1949,women,Indoor
20.21,Shot Put,NACAC,,USA,Portland OR,USA,2016-03-19,Michelle Carter,1985,women,Indoor
20.21,Shot Put,NACAC,,USA,Beograd,SRB,2022-03-18,Chase Jackson,1994,women,Indoor
20.98,Shot Put,Oceania,,NZL,Zürich,SUI,2013-08-28,Valerie Adams,1984,women,Indoor
18.33,Shot Put,South America,,BRA,Pireás,GRE,1999-02-24,Elisângela Adriano,1972,women,Indoor
14.90,Triple Jump,Africa,,SUD,Budapest,HUN,2004-03-06,Yamilé Aldama,1972,women,Indoor
15.14,Triple Jump,Asia,,KAZ,Doha,QAT,2010-03-13,Olga Rypakova,1984,women,Indoor
