result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
1:32.76,4 x 200m,Asia,,CHN,Yokohama,JPN,2019-05-12,China,,Female,Outdoor,AR
1:28.15,4 x 200m,Europe,,GER,Jena,GER,1980-08-09,Germany,,Female,Outdoor,AR
1:35.91,4 x 200m,South America,,ECU,Yokohama,JPN,2019-05-12,Ecuador,,Female,Outdoor,AR
3:21.04,4 x 400m,Africa,,NGR,Atlanta,USA,1996-08-03,Nigeria,,Female,Outdoor,AR
3:24.28,4 x 400m,Asia,,CHN,Beijing,CHN,1993-09-13,China,,Female,Outdoor,AR
3:15.17,4 x 400m,Europe,,URS,Seoul,KOR,1988-10-01,Soviet Union,,Female,Outdoor,AR
3:15.51,4 x 400m,NACAC,,USA,Seoul,KOR,1988-10-01,United States,,Female,Outdoor,AR
3:23.81,4 x 400m,Oceania,,AUS,Sydney,AUS,2000-09-30,Australia,,Female,Outdoor,AR
3:26.68,4 x 400m,South America,,BRA,São Paulo,BRA,2011-08-07,Brazil,,Female,Outdoor,AR
8:04.28,4 x 800m,Africa,,KEN,Nassau,BAH,2014-05-25,Kenya,,Female,Outdoor,AR
8:16.2,4 x 800m,Asia,,CHN,Shanghai,CHN,1991-10-01,China,,Female,Outdoor,AR
7:50.17,4 x 800m,Europe,,URS,Moskva,URS,1984-08-05,Soviet Union,,Female,Outdoor,AR
49.10,400m,Africa,,NGR,Atlanta,USA,1996-07-29,Falilat Ogunkoya,1968,Female,Outdoor,AR
48.14,400m,Asia,,BRN,Doha,QAT,2019-10-03,Salwa Eid Naser,1998,Female,Outdoor,AR
47.60,400m,Europe,,GER,Canberra,AUS,1985-10-06,Marita Koch,1957,Female,Outdoor,AR
48.36,400m,NACAC,,BAH,Tokyo,JPN,2021-08-06,Shaunae Miller-Uibo,1994,Female,Outdoor,AR
48.63,400m,Oceania,,AUS,Atlanta,USA,1996-07-29,Cathy Freeman,1973,Female,Outdoor,AR
49.64,400m,South America,,COL,Barcelona,ESP,1992-08-05,Ximena Restrepo,1969,Female,Outdoor,AR
52.90,400m Hurdles,Africa,,MAR,Sevilla,ESP,1999-08-25,Nezha Bidouane,1969,Female,Outdoor,AR
53.09,400m Hurdles,Asia,,BRN,Budapest,HUN,2023-08-24,Kemi Adekoya,1993,Female,Outdoor,AR
51.45,400m Hurdles,Europe,,NED,London,GBR,2023-07-23,Femke Bol,2000,Female,Outdoor,AR
50.68,400m Hurdles,NACAC,,USA,Eugene,USA,2022-07-22,Sydney McLaughlin-Levrone,1999,Female,Outdoor,AR
53.17,400m Hurdles,Oceania,,AUS,Seoul,KOR,1988-09-28,Debbie Flintoff-King,1960,Female,Outdoor,AR
53.69,400m Hurdles,South America,,PAN,Eugene,USA,2022-07-20,Gianna Woodruff,1993,Female,Outdoor,AR
14:00.21,5000m,Africa,,ETH,Eugene,USA,2023-09-17,Gudaf Tsegay,1997,Female,Outdoor,AR
14:28.09,5000m,Asia,,CHN,Shanghai,CHN,1997-10-23,Jiang Bo,1977,Female,Outdoor,AR
14:13.42,5000m,Europe,,NED,London,GBR,2023-07-23,Sifan Hassan,1993,Female,Outdoor,AR
14:19.45,5000m,NACAC,,USA,London,GBR,2023-07-23,Alicia Monson,1998,Female,Outdoor,AR
14:47.76,5000m,South America,,VEN,Walnut,USA,2023-05-06,Joselyn Daniely Brea,1994,Female,Outdoor,AR
20:50.03,5000m Race Walk,Africa,,TUN,Radès,TUN,2021-06-23,Chahineze Nasri,1996,Female,Outdoor,AR
20:02.60,5000m Race Walk,Europe,,IRL,Dublin,IRL,2002-07-13,Gillian O'Sullivan,1976,Female,Outdoor,AR
4:48:00,50km Race Walk,Africa,,RSA,Taicang,CHN,2018-05-05,Natalie Le Roux,1982,Female,Outdoor,AR
4:04:50,50km Race Walk,Europe,,ITA,Alytus,LTU,2019-05-19,Eleonora Giorgi,1989,Female,Outdoor,AR
4:13:56,50km Race Walk,NACAC,,GUA,Guatemala City,GUA,2019-02-24,Mirna Ortiz,1987,Female,Outdoor,AR
4:09:33,50km Race Walk,Oceania,,AUS,Taicang,CHN,2018-05-05,Claire Woods,1981,Female,Outdoor,AR
4:11:12,50km Race Walk,South America,,ECU,Lima,PER,2019-08-11,Johana Ordóñez,1987,Female,Outdoor,AR
14:13,"5km, Road",Africa,,KEN,Barcelona,ESP,2023-12-31,Beatrice Chebet,2000,Female,Outdoor,AR
16:24,"5km, Road",Asia,,JPN,Karatsu,JPN,2024-02-11,Shiena Kanamori,2006,Female,Outdoor,AR
14:44,"5km, Road",Europe,,NED,Monaco,MON,2019-02-17,Sifan Hassan,1993,Female,Outdoor,AR
14:50,"5km, Road",NACAC,,USA,Boston,USA,2015-04-18,Molly Huddle,1984,Female,Outdoor,AR
14:59,"5km, Road",Oceania,,AUS,London,GBR,2002-09-01,Benita Willis,1979,Female,Outdoor,AR
15:39,"5km, Road",South America,,BRA,Albany,USA,1992-06-06,Carmen de Oliveira,1965,Female,Outdoor,AR
1:54.01,800m,Africa,,KEN,Zürich,SUI,2008-08-29,Pamela Jelimo,1989,Female,Outdoor,AR
1:55.54,800m,Asia,,CHN,Beijing,CHN,1993-09-09,Liu Dong,1973,Female,Outdoor,AR
1:53.28,800m,Europe,,CZE,München,FRG,1983-07-26,Jarmila Kratochvílová,1951,Female,Outdoor,AR
1:54.44,800m,NACAC,,CUB,Barcelona,ESP,1989-09-09,Ana Fidelia Quirot,1963,Female,Outdoor,AR
1:57.78,800m,Oceania,,AUS,London,GBR,2023-07-23,Catriona Bisset,1994,Female,Outdoor,AR
1:56.68,800m,South America,,SUR,Göteborg,SWE,1995-08-13,Letitia Vriesde,1964,Female,Outdoor,AR
64.96,Discus Throw,Africa,,NGR,Ramona,USA,2023-04-15,Chioma Onyekwere,1994,Female,Outdoor,AR
71.68,Discus Throw,Asia,,CHN,Beijing,CHN,1992-03-14,Xiao Yanling,1968,Female,Outdoor,AR
76.80,Discus Throw,Europe,,GER,Neubrandenburg,GER,1988-07-09,Gabriele Reinsch,1963,Female,Outdoor,AR
71.46,Discus Throw,NACAC,,USA,La Jolla,USA,2022-04-08,Valarie Allman,1995,Female,Outdoor,AR
69.64,Discus Throw,Oceania,,AUS,London,GBR,2017-08-13,Dani Stevens,1988,Female,Outdoor,AR
65.34,Discus Throw,South America,,BRA,Leiria,POR,2019-06-26,Andressa de Morais,1990,Female,Outdoor,AR
1:02:52,Half Marathon,Africa,,ETH,Valencia,ESP,2021-10-24,Letesenbet Gidey,1998,Female,Outdoor,AR
1:06:11,Half Marathon,Asia,,BRN,København,DEN,2017-09-17,Eunice Chumba,1993,Female,Outdoor,AR
1:05:15,Half Marathon,Europe,,NED,København,DEN,2018-09-16,Sifan Hassan,1993,Female,Outdoor,AR
1:06:52,Half Marathon,NACAC,,USA,Houston,USA,2023-01-15,Emily Sisson,1991,Female,Outdoor,AR
1:07:11,Half Marathon,Oceania,,NZL,Philadelphia,USA,2011-09-18,Kim Smith,1981,Female,Outdoor,AR
1:09:31,Half Marathon,South America,,ARG,Buenos Aires,ARG,2022-08-21,Florencia Borelli,1992,Female,Outdoor,AR
75.49,Hammer Throw,Africa,,NGR,Tucson,USA,2021-05-22,Annette Echikunwoke,1996,Female,Outdoor,AR
77.68,Hammer Throw,Asia,,CHN,Chengdu,CHN,2014-03-29,Wang Zheng,1987,Female,Outdoor,AR
82.98,Hammer Throw,Europe,,POL,Warszawa,POL,2016-08-28,Anita Włodarczyk,1985,Female,Outdoor,AR
80.31,Hammer Throw,NACAC,,USA,Eugene,USA,2021-06-26,DeAnna Price,1993,Female,Outdoor,AR
74.61,Hammer Throw,Oceania,,NZL,Tucson,USA,2021-05-20,Lauren Bruce,1997,Female,Outdoor,AR
73.74,Hammer Throw,South America,,ARG,Buenos Aires,ARG,2010-04-10,Jenny Dahlgren,1984,Female,Outdoor,AR
6423,Heptathlon,Africa,,GHA,Götzis,AUT,2005-05-29,Margaret Simpson,1982,Female,Outdoor,AR
6942,Heptathlon,Asia,,SYR,Götzis,AUT,1996-05-26,Ghada Shouaa,1972,Female,Outdoor,AR
7032,Heptathlon,Europe,,SWE,Osaka,JPN,2007-08-26,Carolina Klüft,1983,Female,Outdoor,AR
7291,Heptathlon,NACAC,,USA,Seoul,KOR,1988-09-24,Jackie Joyner-Kersee,1962,Female,Outdoor,AR
6695,Heptathlon,Oceania,,AUS,Auckland,NZL,1990-01-28,Jane Flemming,1965,Female,Outdoor,AR
6346,Heptathlon,South America,,COL,Ibague,COL,2021-03-14,Evelyn Aguilar,1993,Female,Outdoor,AR
2.06,High Jump,Africa,,RSA,Saint-Denis,FRA,2003-08-31,Hestrie Cloete,1978,Female,Outdoor,AR
2.00,High Jump,Asia,,KAZ,Almaty,KAZ,2021-06-08,Nadezhda Dubovitskaya,1998,Female,Outdoor,AR
2.09,High Jump,Europe,,BUL,Roma,ITA,1987-08-30,Stefka Kostadinova,1965,Female,Outdoor,AR
2.05,High Jump,NACAC,,USA,Des Moines,USA,2010-06-26,Chaunté Lowe,1984,Female,Outdoor,AR
2.03,High Jump,Oceania,,AUS,Eugene,USA,2023-09-17,Nicola Olyslagers,1996,Female,Outdoor,AR
1.96,High Jump,South America,,ARG,Oristano,ITA,1997-09-08,Solange Witteveen,1976,Female,Outdoor,AR
69.35,Javelin Throw,Africa,,RSA,New York,USA,2012-06-09,Sunette Viljoen,1983,Female,Outdoor,AR
67.98,Javelin Throw,Asia,,CHN,Shenyang,CHN,2019-08-02,Lu Huihui,1989,Female,Outdoor,AR
72.28,Javelin Throw,Europe,,CZE,Stuttgart,GER,2008-09-13,Barbora Špotáková,1981,Female,Outdoor,AR
71.70,Javelin Throw,NACAC,,CUB,Helsinki,FIN,2005-08-14,Osleidis Menéndez,1979,Female,Outdoor,AR
68.92,Javelin Throw,Oceania,,AUS,Gold Coast,AUS,2018-04-11,Kathryn Mitchell,1982,Female,Outdoor,AR
65.47,Javelin Throw,South America,,COL,Budapest,HUN,2023-08-25,Flor Dennis Ruiz,1991,Female,Outdoor,AR
7.17,Long Jump,Africa,1.1,NGR,Chula Vista,USA,2021-05-29,Ese Brume,1996,Female,Outdoor,AR
7.01,Long Jump,Asia,1.4,CHN,Jinan,CHN,1993-06-04,Yao Weili,1965,Female,Outdoor,AR
7.52,Long Jump,Europe,1.4,RUS,Leningrad,URS,1988-06-11,Galina Cistjaková,1962,Female,Outdoor,AR
7.49,Long Jump,NACAC,1.3,USA,New York,USA,1994-05-22,Jackie Joyner-Kersee,1962,Female,Outdoor,AR
7.49,Long Jump,NACAC,1.7,USA,Sestriere,ITA,1994-07-31,Jackie Joyner-Kersee,1962,Female,Outdoor,AR
7.13,Long Jump,Oceania,1.8,AUS,Chula Vista,USA,2022-07-09,Brooke Buschkuehl,1993,Female,Outdoor,AR
7.26,Long Jump,South America,1.8,BRA,Bogotá,COL,1999-06-26,Maurren Higa Maggi,1976,Female,Outdoor,AR
2:14:04,Marathon,Africa,,KEN,Chicago,USA,2019-10-13,Brigid Kosgei,1994,Female,Outdoor,AR
2:19:12,Marathon,Asia,,JPN,Berlin,GER,2005-09-25,Mizuki Noguchi,1978,Female,Outdoor,AR
2:15:25,Marathon,Europe,,GBR,London,GBR,2003-04-13,Paula Radcliffe,1973,Female,Outdoor,AR
2:18:29,Marathon,NACAC,,USA,Chicago,USA,2022-10-09,Emily Sisson,1991,Female,Outdoor,AR
2:21:34,Marathon,Oceania,,AUS,Valencia,ESP,2022-12-04,Sinead Diver,1977,Female,Outdoor,AR
2:25:57,Marathon,South America,,PER,Sevilla,ESP,2022-02-20,Gladys Tejeda,1985,Female,Outdoor,AR
18930,One Hour,Europe,,NED,Bruxelles,BEL,2020-09-04,Sifan Hassan,1993,Female,Outdoor,AR
4:07.64,One Mile,Africa,,KEN,Monaco,MON,2023-07-21,Faith Kipyegon,1994,Female,Outdoor,AR
4:17.75,One Mile,Asia,,BRN,Bruxelles,BEL,2007-09-14,Maryam Jamal,1984,Female,Outdoor,AR
4:12.33,One Mile,Europe,,NED,Monaco,MON,2019-07-12,Sifan Hassan,1993,Female,Outdoor,AR
4:16.35,One Mile,NACAC,,USA,Monaco,MON,2023-07-21,Nikki Hiltz,1994,Female,Outdoor,AR
4:15.34,One Mile,Oceania,,AUS,Monaco,MON,2023-07-21,Jessica Hull,1996,Female,Outdoor,AR
4:27.41,One Mile,South America,,VEN,Monaco,MON,2023-07-21,Joselyn Daniely Brea,1994,Female,Outdoor,AR
4.42,Pole Vault,Africa,,RSA,Wesel,GER,2000-06-12,Elmarie Gerryts,1972,Female,Outdoor,AR
4.72,Pole Vault,Asia,,CHN,Shanghai,CHN,2019-05-18,Li Ling,1989,Female,Outdoor,AR
5.06,Pole Vault,Europe,,RUS,Zürich,SUI,2009-08-28,Yelena Isinbayeva,1982,Female,Outdoor,AR
4.94,Pole Vault,Oceania,,NZL,Jockgrim,GER,2018-07-17,Eliza McCartney,1996,Female,Outdoor,AR
4.87,Pole Vault,South America,,BRA,São Bernardo do Campo,BRA,2016-07-03,Fabiana Murer,1981,Female,Outdoor,AR
18.43,Shot Put,Africa,,NGR,Walnut,USA,2003-04-19,Vivian Chukwuemeka,1975,Female,Outdoor,AR
21.76,Shot Put,Asia,,CHN,Shijiazhuang,CHN,1988-04-23,Li Meisu,1959,Female,Outdoor,AR
22.63,Shot Put,Europe,,RUS,Moskva,URS,1987-06-07,Natalya Lisovskaya,1962,Female,Outdoor,AR
20.96,Shot Put,NACAC,,CUB,Ciudad de México,MEX,1992-05-02,Belsis Laza,1967,Female,Outdoor,AR
21.24,Shot Put,Oceania,,NZL,Daegu,KOR,2011-08-29,Valerie Adams,1984,Female,Outdoor,AR
19.30,Shot Put,South America,,BRA,Tunja,COL,2001-07-14,Elisângela Adriano,1972,Female,Outdoor,AR
15.39,Triple Jump,Africa,0.5,CMR,Beijing,CHN,2008-08-17,Françoise Mbango,1976,Female,Outdoor,AR
15.25,Triple Jump,Asia,1.7,KAZ,Split,CRO,2010-09-04,Olga Rypakova,1984,Female,Outdoor,AR
15.50,Triple Jump,Europe,0.9,UKR,Göteborg,SWE,1995-08-10,Inessa Kravets,1966,Female,Outdoor,AR
15.29,Triple Jump,NACAC,0.3,CUB,Roma,ITA,2003-07-11,Yamilé Aldama,1972,Female,Outdoor,AR
14.04,Triple Jump,Oceania,2.0,AUS,Hobart,AUS,2002-03-09,Nicole Mladenis,1975,Female,Outdoor,AR
14.04,Triple Jump,Oceania,1.8,AUS,Perth,AUS,2003-12-07,Nicole Mladenis,1975,Female,Outdoor,AR
41:22.5,"10,000m Race Walk",Europe,,RUS,Saransk,RUS,2023-09-24,Elvira Khasanova,2000,Female,Indoor,AR
2:30.94,1000m,Africa,,MOZ,Stockholm,SWE,1999-02-25,Maria Mutola,1972,Female,Indoor,AR
2:31.93,1000m,Europe,,GBR,Birmingham,GBR,2017-02-18,Laura Muir,1993,Female,Indoor,AR
2:33.75,1000m,NACAC,,CAN,Boston,USA,2023-01-28,Lucia Stafford,1998,Female,Indoor,AR
2:36.96,1000m,Oceania,,NZL,Boston,USA,2000-02-06,Toni Hodgkinson,1971,Female,Indoor,AR
2:38.30,1000m,South America,,SUR,Stockholm,SWE,1999-02-25,Letitia Vriesde,1964,Female,Indoor,AR
3:53.09,1500m,Africa,,ETH,Liévin,FRA,2021-02-09,Gudaf Tsegay,1997,Female,Indoor,AR
3:59.79,1500m,Asia,,BRN,Valencia,ESP,2008-03-09,Maryam Jamal,1984,Female,Indoor,AR
3:57.91,1500m,Europe,,SWE,Stockholm,SWE,2014-02-06,Abeba Aregawi,1990,Female,Indoor,AR
3:59.98,1500m,NACAC,,USA,Boston,USA,2003-02-01,Regina Jacobs,1963,Female,Indoor,AR
4:01.19,1500m,Oceania,,AUS,New York,USA,2024-02-11,Jessica Hull,1996,Female,Indoor,AR
4:12.95,1500m,South America,,ARG,Sabadell,ESP,2023-01-28,Fedra Aldana Luna,1995,Female,Indoor,AR
22.11,200m,Africa,,NGR,Albuquerque,USA,2023-03-10,Favour Ofili,2002,Female,Indoor,AR
22.99,200m,Asia,,SRI,Lisboa,POR,2001-03-09,Susanthika Jayasinghe,1975,Female,Indoor,AR
22.10,200m,Europe,,RUS,Liévin,FRA,1995-02-19,Irina Privalova,1968,Female,Indoor,AR
21.87,200m,NACAC,,JAM,Liévin,FRA,1993-02-13,Merlene Ottey,1960,Female,Indoor,AR
22.64,200m,Oceania,,AUS,Barcelona,ESP,1995-03-10,Melinda Gainsford-Taylor,1971,Female,Indoor,AR
22.64,200m,Oceania,,AUS,Barcelona,ESP,1995-03-11,Melinda Gainsford-Taylor,1971,Female,Indoor,AR
23.02,200m,South America,,GUY,Lubbock,USA,2019-01-26,Brenessa Thompson,1996,Female,Indoor,AR
8:16.60,3000m,Africa,,ETH,Stockholm,SWE,2014-02-06,Genzebe Dibaba,1991,Female,Indoor,AR
8:36.03,3000m,Asia,,JPN,Glasgow,GBR,2024-03-02,Nozomi Tanaka,1999,Female,Indoor,AR
8:26.41,3000m,Europe,,GBR,Karlsruhe,GER,2017-02-04,Laura Muir,1993,Female,Indoor,AR
8:20.87,3000m,NACAC,,USA,Glasgow,GBR,2024-03-02,Elle St. Pierre,1995,Female,Indoor,AR
8:24.39,3000m,Oceania,,AUS,Glasgow,GBR,2024-03-02,Jessica Hull,1996,Female,Indoor,AR
8:57.59,3000m,South America,,ARG,Val-de-Reuil,FRA,2023-02-04,Fedra Aldana Luna,1995,Female,Indoor,AR
11:40.33,3000m Race Walk,Europe,,ROU,Bucureşti,ROU,1999-01-30,Claudia Ştef,1978,Female,Indoor,AR
12:20.79,3000m Race Walk,NACAC,,USA,Toronto,CAN,1993-03-12,Debbi Lawrence,1961,Female,Indoor,AR
13:24.0,3000m Race Walk,South America,,BOL,Cochabamba,BOL,2023-02-12,Angela Castro,1993,Female,Indoor,AR
1:32.41,4 x 200m,Europe,,RUS,Glasgow,GBR,2005-01-29,Russia,,Female,Indoor,AR
1:32.67,4 x 200m,NACAC,,USA,New York,USA,2018-01-27,United States,,Female,Indoor,AR
3:35.07,4 x 400m,Asia,,BRN,Doha,QAT,2016-02-21,Bahrain,,Female,Indoor,AR
3:23.37,4 x 400m,Europe,,RUS,Glasgow,GBR,2006-01-28,Russia,,Female,Indoor,AR
3:23.85,4 x 400m,NACAC,,USA,Birmingham,GBR,2018-03-04,United States,,Female,Indoor,AR
3:26.87,4 x 400m,Oceania,,AUS,Maebashi,JPN,1999-03-07,Australia,,Female,Indoor,AR
3:47.37,4 x 400m,South America,,BOL,Cochabamba,BOL,2022-02-20,Bolivia,,Female,Indoor,AR
8:06.24,4 x 800m,Europe,,RUS,Moskva,RUS,2011-02-18,Russia,,Female,Indoor,AR
8:05.89,4 x 800m,NACAC,,USA,New York,USA,2018-02-03,United States,,Female,Indoor,AR
51.45,400m,Asia,,BRN,Portland,USA,2016-03-19,Kemi Adekoya,1993,Female,Indoor,AR
49.17,400m,Europe,,NED,Glasgow,GBR,2024-03-02,Femke Bol,2000,Female,Indoor,AR
49.48,400m,NACAC,,USA,Albuquerque,USA,2023-03-11,Britton Wilson,2000,Female,Indoor,AR
52.17,400m,Oceania,,AUS,Budapest,HUN,1989-03-04,Maree Holland,1963,Female,Indoor,AR
51.57,400m,South America,,GUY,Beograd,SRB,2022-03-18,Aliyah Abrams,1997,Female,Indoor,AR
14:18.86,5000m,Africa,,ETH,Stockholm,SWE,2015-02-19,Genzebe Dibaba,1991,Female,Indoor,AR
14:30.79,5000m,Europe,,GER,Boston,USA,2020-02-27,Konstanze Klosterhalfen,1997,Female,Indoor,AR
14:31.38,5000m,NACAC,,CAN,Boston,USA,2022-02-11,Gabriela DeBues-Stafford,1995,Female,Indoor,AR
14:39.89,5000m,Oceania,,NZL,New York,USA,2009-02-27,Kim Smith,1981,Female,Indoor,AR
15:51.98,5000m,South America,,ECU,Boston,USA,2023-12-02,Carmen Alder,2003,Female,Indoor,AR
22:23.91,5000m Race Walk,NACAC,,USA,Rochester,USA,2018-12-29,Miranda Melville,1989,Female,Indoor,AR
24:27.15,5000m Race Walk,South America,,BOL,Cochabamba,BOL,2024-01-14,Mayra Karen Quispe,2000,Female,Indoor,AR
6.31,50m,South America,,GUY,Daly City,USA,1983-02-11,Jennifer Inniss,1959,Female,Indoor,AR
6.76,50m Hurdles,Africa,,NGR,Liévin,FRA,2001-02-25,Glory Alozie,1977,Female,Indoor,AR
1:16.76,600y,NACAC,,USA,Lubbock,USA,2024-01-20,Michaela Rose,2003,Female,Indoor,AR
7.02,60m,Africa,,NGR,Liévin,FRA,1998-02-22,Chioma Ajunwa,1970,Female,Indoor,AR
7.09,60m,Asia,,SRI,Stuttgart,GER,1999-02-07,Susanthika Jayasinghe,1975,Female,Indoor,AR
6.92,60m,Europe,,RUS,Madrid,ESP,1993-02-11,Irina Privalova,1968,Female,Indoor,AR
6.92,60m,Europe,,RUS,Madrid,ESP,1995-02-09,Irina Privalova,1968,Female,Indoor,AR
6.94,60m,NACAC,,USA,Albuquerque,USA,2023-02-18,Aleia Hobbs,1996,Female,Indoor,AR
6.94,60m,NACAC,,LCA,Albuquerque,USA,2023-03-11,Julien Alfred,2001,Female,Indoor,AR
7.06,60m,Oceania,,NZL,Glasgow,GBR,2024-03-02,Zoe Hobbs,1997,Female,Indoor,AR
7.14,60m,South America,,BRA,Beograd,SRB,2022-03-18,Vitoria Cristina Rosa,1996,Female,Indoor,AR
7.82,60m Hurdles,Asia,,KAZ,Liévin,FRA,1999-02-21,Olga Shishigina,1968,Female,Indoor,AR
7.68,60m Hurdles,Europe,,SWE,Karlsruhe,GER,2008-02-10,Susanna Kallur,1981,Female,Indoor,AR
7.65,60m Hurdles,NACAC,,BAH,Glasgow,GBR,2024-03-03,Devynne Charlton,1995,Female,Indoor,AR
7.73,60m Hurdles,Oceania,,AUS,Istanbul,TUR,2012-03-10,Sally Pearson,1986,Female,Indoor,AR
7.91,60m Hurdles,South America,,PAN,Sopot,POL,2014-03-07,Yvette Lewis,1985,Female,Indoor,AR
1:57.06,800m,Africa,,MOZ,Liévin,FRA,1999-02-21,Maria Mutola,1972,Female,Indoor,AR
2:00.78,800m,Asia,,JPN,Yokohama,JPN,2003-02-22,Miho Sato,1978,Female,Indoor,AR
1:55.82,800m,Europe,,SLO,Wien,AUT,2002-03-03,Jolanda Batagelj,1976,Female,Indoor,AR
1:58.29,800m,NACAC,,USA,New York,USA,2020-02-08,Ajee’ Wilson,1994,Female,Indoor,AR
1:59.46,800m,Oceania,,AUS,Birmingham,GBR,2022-02-19,Catriona Bisset,1994,Female,Indoor,AR
1:59.21,800m,South America,,SUR,Birmingham,GBR,1997-02-23,Letitia Vriesde,1964,Female,Indoor,AR
1.97,High Jump,Africa,,RSA,Birmingham,GBR,2001-02-18,Hestrie Cloete,1978,Female,Indoor,AR
1.98,High Jump,Asia,,KAZ,Samara,RUS,1996-03-04,Svetlana Zalevskaya,1973,Female,Indoor,AR
1.98,High Jump,Asia,,KAZ,Beograd,SRB,2022-03-19,Nadezhda Dubovitskaya,1998,Female,Indoor,AR
2.08,High Jump,Europe,,SWE,Arnstadt,GER,2006-02-04,Kajsa Bergqvist,1976,Female,Indoor,AR
2.02,High Jump,NACAC,,USA,Albuquerque,USA,2012-02-26,Chaunté Lowe,1984,Female,Indoor,AR
2.00,High Jump,Oceania,,AUS,Beograd,SRB,2022-03-19,Eleanor Patterson,1996,Female,Indoor,AR
1.94,High Jump,South America,,ARG,Brno,CZE,2000-02-09,Solange Witteveen,1976,Female,Indoor,AR
6.97,Long Jump,Africa,,NGR,Erfurt,GER,1997-02-05,Chioma Ajunwa,1970,Female,Indoor,AR
6.82,Long Jump,Asia,,CHN,Beijing,CHN,1992-03-13,Yang Juan,1969,Female,Indoor,AR
7.37,Long Jump,Europe,,GER,Wien,AUT,1988-02-13,Heike Drechsler,1964,Female,Indoor,AR
7.23,Long Jump,NACAC,,USA,Istanbul,TUR,2012-03-11,Brittney Reese,1986,Female,Indoor,AR
6.81,Long Jump,Oceania,,AUS,Barcelona,ESP,1995-03-12,Nicole Boegman,1967,Female,Indoor,AR
6.89,Long Jump,South America,,BRA,Valencia,ESP,2008-03-09,Maurren Higa Maggi,1976,Female,Indoor,AR
4:13.31,One Mile,Africa,,ETH,Stockholm,SWE,2016-02-17,Genzebe Dibaba,1991,Female,Indoor,AR
4:24.71,One Mile,Asia,,BRN,Birmingham,GBR,2010-02-20,Maryam Jamal,1984,Female,Indoor,AR
4:17.14,One Mile,Europe,,ROU,East Rutherford,USA,1990-02-09,Doina Melinte,1956,Female,Indoor,AR
4:16.41,One Mile,NACAC,,USA,New York,USA,2024-02-11,Elle St. Pierre,1995,Female,Indoor,AR
4:19.03,One Mile,Oceania,,AUS,New York,USA,2024-02-11,Jessica Hull,1996,Female,Indoor,AR
4:34.37,One Mile,South America,,ECU,Boston,USA,2024-01-27,Carmen Alder,2003,Female,Indoor,AR
4558,Pentathlon,Africa,,SLE,Paris,FRA,1997-03-07,Eunice Barber,1974,Female,Indoor,AR
4582,Pentathlon,Asia,,KAZ,Pattaya,THA,2006-02-10,Olga Rypakova,1984,Female,Indoor,AR
5055,Pentathlon,Europe,,BEL,Istanbul,TUR,2023-03-03,Nafissatou Thiam,1994,Female,Indoor,AR
5004,Pentathlon,NACAC,,USA,Albuquerque,USA,2023-02-16,Anna Hall,2001,Female,Indoor,AR
4490,Pentathlon,Oceania,,AUS,Maebashi,JPN,1999-03-05,Jane Jamieson,1975,Female,Indoor,AR
4292,Pentathlon,South America,,BRA,Tallinn,EST,2016-02-14,Vanessa Spínola,1990,Female,Indoor,AR
4.41,Pole Vault,Africa,,RSA,Birmingham,GBR,2000-02-20,Elmarie Gerryts,1972,Female,Indoor,AR
4.70,Pole Vault,Asia,,CHN,Doha,QAT,2016-02-19,Li Ling,1989,Female,Indoor,AR
5.01,Pole Vault,Europe,,RUS,Stockholm,SWE,2012-02-23,Yelena Isinbayeva,1982,Female,Indoor,AR
5.03,Pole Vault,NACAC,,USA,Brockport,USA,2016-01-30,Jenn Suhr,1982,Female,Indoor,AR
4.91,Pole Vault,Oceania,,AUS,Zürich,SUI,2023-08-30,Nina Kennedy,1997,Female,Indoor,AR
4.83,Pole Vault,South America,,BRA,Nevers,FRA,2015-02-07,Fabiana Murer,1981,Female,Indoor,AR
18.13,Shot Put,Africa,,NGR,Flagstaff,USA,2006-02-04,Vivian Chukwuemeka,1975,Female,Indoor,AR
18.13,Shot Put,Africa,,GBS,Braga,POR,2021-02-13,Jessica Inchude,1996,Female,Indoor,AR
21.10,Shot Put,Asia,,CHN,Beijing,CHN,1990-03-03,Sui Xinmei,1965,Female,Indoor,AR
22.50,Shot Put,Europe,,CZE,Jablonec,TCH,1977-02-19,Helena Fibingerová,1949,Female,Indoor,AR
20.22,Shot Put,NACAC,,CAN,Glasgow,GBR,2024-03-01,Sarah Mitton,1996,Female,Indoor,AR
20.98,Shot Put,Oceania,,NZL,Zürich,SUI,2013-08-28,Valerie Adams,1984,Female,Indoor,AR
18.33,Shot Put,South America,,BRA,Pireás,GRE,1999-02-24,Elisângela Adriano,1972,Female,Indoor,AR
14.90,Triple Jump,Africa,,SUD,Budapest,HUN,2004-03-06,Yamilé Aldama,1972,Female,Indoor,AR
15.14,Triple Jump,Asia,,KAZ,Doha,QAT,2010-03-13,Olga Rypakova,1984,Female,Indoor,AR
15.36,Triple Jump,Europe,,RUS,Budapest,HUN,2004-03-06,Tatyana Lebedeva,1976,Female,Indoor,AR
15.12,Triple Jump,NACAC,,USA,Albuquerque,USA,2023-03-11,Jasmine Moore,2001,Female,Indoor,AR
13.31,Triple Jump,Oceania,,AUS,Budapest,HUN,2004-03-05,Nicole Mladenis,1975,Female,Indoor,AR
