result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment,type
36.84,4 x 100m,NACAC,,JAM,London,GBR,2012-08-11,Jamaica,,Male,Outdoor,AR
38.17,4 x 100m,Oceania,,AUS,Göteborg,SWE,1995-08-12,Australia,,Male,Outdoor,AR
38.17,4 x 100m,Oceania,,AUS,London,GBR,2012-08-10,Australia,,Male,Outdoor,AR
37.72,4 x 100m,South America,,BRA,Doha,QAT,2019-10-05,Brazil,,Male,Outdoor,AR
14:36.23,4 x 1500m,Africa,,KEN,Bruxelles,BEL,2009-09-04,Kenya,,Male,Outdoor,AR
15:10.77,4 x 1500m,Asia,,QAT,Nassau,BAH,2014-05-25,Qatar,,Male,Outdoor,AR
14:38.8,4 x 1500m,Europe,,GER,Köln,GER,1977-08-17,Germany,,Male,Outdoor,AR
14:46.04,4 x 1500m,Oceania,,AUS,Nassau,BAH,2014-05-25,Australia,,Male,Outdoor,AR
1:20.42,4 x 200m,Africa,,RSA,Yokohama,JPN,2019-05-12,South Africa,,Male,Outdoor,AR
1:20.83,4 x 200m,Asia,,CHN,Xi'an,CHN,2021-09-23,China,,Male,Outdoor,AR
1:20.83,4 x 200m,Asia,,CHN,Xi'an,CHN,2021-09-23,China,,Male,Outdoor,AR
1:20.66,4 x 200m,Europe,,FRA,Nassau,BAH,2014-05-24,France,,Male,Outdoor,AR
1:23.04,4 x 200m,Oceania,,AUS,Sydney,AUS,1998-12-06,Australia,,Male,Outdoor,AR
1:24.42,4 x 200m,South America,,GUY,Philadelphia,USA,2015-04-25,Guyana,,Male,Outdoor,AR
2:57.27,4 x 400m,Africa,,BOT,Tokyo,JPN,2021-08-07,Botswana,,Male,Outdoor,AR
2:59.05,4 x 400m,Asia,,IND,Budapest,HUN,2023-08-26,India,,Male,Outdoor,AR
2:56.60,4 x 400m,Europe,,GBR,Atlanta,USA,1996-08-03,Great Britain,,Male,Outdoor,AR
2:54.29,4 x 400m,NACAC,,USA,Stuttgart,GER,1993-08-22,United States,,Male,Outdoor,AR
2:59.70,4 x 400m,Oceania,,AUS,Los Angeles,USA,1984-08-11,Australia,,Male,Outdoor,AR
2:58.56,4 x 400m,South America,,BRA,Winnipeg,CAN,1999-07-30,Brazil,,Male,Outdoor,AR
3:11.06,4 x 400m Mixed relay,Europe,,GBR,Budapest,HUN,2023-08-19,Great Britain,,Male,Outdoor,AR
3:08.80,4 x 400m Mixed relay,NACAC,,USA,Budapest,HUN,2023-08-19,United States,,Male,Outdoor,AR
3:14.79,4 x 400m Mixed relay,South America,,COL,São Paulo,BRA,2023-07-28,Colombia,,Male,Outdoor,AR
7:02.43,4 x 800m,Africa,,KEN,Bruxelles,BEL,2006-08-25,Kenya,,Male,Outdoor,AR
7:26.17,4 x 800m,Asia,,CHN,Shaoxing,CHN,2023-09-15,China,,Male,Outdoor,AR
7:03.89,4 x 800m,Europe,,GBR,London,GBR,1982-08-30,Great Britain,,Male,Outdoor,AR
7:11.48,4 x 800m,Oceania,,AUS,Nassau,BAH,2014-05-24,Australia,,Male,Outdoor,AR
7:47.3,4 x 800m,South America,,BRA,São Paulo,BRA,1965-04-21,Brazil,,Male,Outdoor,AR
43.03,400m,Africa,,RSA,Río de Janeiro,BRA,2016-08-14,Wayde van Niekerk,1992,Male,Outdoor,AR
43.93,400m,Asia,,KSA,Beijing,CHN,2015-08-23,Youssef Al-Masrahi,1987,Male,Outdoor,AR
44.26,400m,Europe,,GBR,Budapest,HUN,2023-08-22,Matthew Hudson-Smith,1994,Male,Outdoor,AR
43.18,400m,NACAC,,USA,Sevilla,ESP,1999-08-26,Michael Johnson,1967,Male,Outdoor,AR
44.38,400m,Oceania,,AUS,Seoul,KOR,1988-09-26,Darren Clark,1965,Male,Outdoor,AR
43.93,400m,South America,,COL,Tokyo,JPN,2021-08-02,Anthony Zambrano,1998,Male,Outdoor,AR
47.10,400m Hurdles,Africa,,ZAM,Zürich,SUI,1991-08-07,Samuel Matete,1968,Male,Outdoor,AR
46.98,400m Hurdles,Asia,,QAT,Paris,FRA,2018-06-30,Abderrahmane Samba,1995,Male,Outdoor,AR
45.94,400m Hurdles,Europe,,NOR,Tokyo,JPN,2021-08-03,Karsten Warholm,1996,Male,Outdoor,AR
46.17,400m Hurdles,NACAC,,USA,Tokyo,JPN,2021-08-03,Rai Benjamin,1997,Male,Outdoor,AR
48.28,400m Hurdles,Oceania,,AUS,Atlanta,USA,1996-07-31,Rohan Robinson,1971,Male,Outdoor,AR
46.29,400m Hurdles,South America,,BRA,Eugene,USA,2022-07-19,Alison dos Santos,2000,Male,Outdoor,AR
12:35.36,5000m,Africa,,UGA,Monaco,MON,2020-08-14,Joshua Cheptegei,1996,Male,Outdoor,AR
12:51.96,5000m,Asia,,BRN,Monaco,MON,2013-07-19,Albert Rop,1992,Male,Outdoor,AR
12:45.01,5000m,Europe,,ESP,Monaco,MON,2023-07-21,Mohamed Katir,1998,Male,Outdoor,AR
12:46.96,5000m,NACAC,,USA,Bruxelles,BEL,2022-09-02,Grant Fisher,1997,Male,Outdoor,AR
12:55.76,5000m,Oceania,,AUS,London,GBR,2004-07-30,Craig Mottram,1980,Male,Outdoor,AR
13:11.57,5000m,South America,,ARG,Stanford,USA,2023-04-21,Federico Bruno,1993,Male,Outdoor,AR
18:05.49,5000m Race Walk,Africa,,TUN,Tunis,TUN,1997-05-01,Hatem Ghoula,1973,Male,Outdoor,AR
3:54:12,50km Race Walk,Africa,,RSA,Melbourne,AUS,2015-12-13,Marc Mundell,1983,Male,Outdoor,AR
3:36:06,50km Race Walk,Asia,,CHN,Nanjing,CHN,2005-10-22,Yu Chaohong,1976,Male,Outdoor,AR
3:32:33,50km Race Walk,Europe,,FRA,Zürich,SUI,2014-08-15,Yohann Diniz,1978,Male,Outdoor,AR
3:41:09,50km Race Walk,NACAC,,GUA,Dudince,SVK,2013-03-23,Erick Barrondo,1991,Male,Outdoor,AR
3:35:47,50km Race Walk,Oceania,,AUS,Geelong,AUS,2006-12-02,Nathan Deakes,1977,Male,Outdoor,AR
3:42:57,50km Race Walk,South America,,ECU,Juarez,MEX,2016-03-06,Andrés Chocho,1983,Male,Outdoor,AR
13:05,"5km, Road",Asia,,BRN,Al Khobar,KSA,2023-12-09,Birhanu Balew,1996,Male,Outdoor,AR
13:12,"5km, Road",Europe,,FRA,Monaco,MON,2023-02-12,Jimmy Gressier,1997,Male,Outdoor,AR
13:18,"5km, Road",NACAC,,MEX,Carlsbad,USA,1996-03-31,Juan Armando Quintanilla,1968,Male,Outdoor,AR
13:30,"5km, Road",South America,,BRA,Carlsbad,USA,1995-04-02,Valdenor dos Santos,1969,Male,Outdoor,AR
