result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
22.53,Shot Put,South America,,BRA,Beograd,SRB,2022-03-19,Darlan Romani,1991,men,Indoor
9.07,Shot Put (3kg),Europe,,EST,Rakvere,EST,2024-01-09,Andero Bergström,2011,men,Indoor
18.07,Triple Jump,Africa,,BUR,Aubière,FRA,2021-01-16,Hugues Fabrice Zango,1993,men,Indoor
17.41,Triple Jump,Asia,,CHN,Nanjing,CHN,2016-02-29,Dong Bin,1988,men,Indoor
17.92,Triple Jump,Europe,,FRA,Paris,FRA,2011-03-06,Teddy Tamgho,1989,men,Indoor
17.83,Triple Jump,NACAC,,CUB,Sindelfingen,GER,1997-03-01,Aliecer Urrutia,1974,men,Indoor
17.20,Triple Jump,Oceania,,AUS,Lisboa,POR,2001-03-09,Andrew Murphy,1969,men,Indoor
17.56,Triple Jump,South America,,BRA,Moskva,RUS,2006-03-12,Jadel Gregório,1980,men,Indoor
8:00.67,Two Miles,Europe,,GBR,New York NY,USA,2024-02-11,Josh Kerr,1997,men,Indoor
8:43.24,Two Miles,NACAC,,USA,Brighton MA,USA,2023-03-12,Connor Burns,2004,men,Indoor
8:05.73,Two Miles,Oceania,,NZL,New York NY,USA,2024-02-11,George Beamish,1996,men,Indoor
22.95,Weight Throw,Africa,,EGY,Blacksburg VA,USA,2006-02-24,Mohsen Anani,1985,men,Indoor
25.68,Weight Throw,Europe,,SVK,Sterling IL,USA,2005-03-05,Libor Charfreitag,1977,men,Indoor
26.35,Weight Throw,NACAC,,USA,Albuquerque NM,USA,2024-02-16,Daniel Haugh,1995,men,Indoor
22.25,Weight Throw,Oceania,,AUS,Nampa ID,USA,2008-12-06,Simon Wardhaugh,1986,men,Indoor
