result,discipline,area,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,environment
2:19:21.31,"30,000m Race Walk",Africa,,TUN,Reims,FRA,2011-03-12,Hatem Ghoula,1973,men,Outdoor
2:01:44.1,"30,000m Race Walk",Europe,,ITA,Cuneo,ITA,1992-10-04,Maurizio Damilano,1957,men,Outdoor
7:20.67,3000m,Africa,,KEN,Rieti,ITA,1996-09-01,Daniel Komen,1976,men,Outdoor
7:30.76,3000m,Asia,,QAT,Doha,QAT,2005-05-13,Jamal Bilal Salem,1978,men,Outdoor
7:23.63,3000m,Europe,,NOR,Eugene OR,USA,2023-09-17,Jakob Ingebrigtsen,2000,men,Outdoor
7:25.47,3000m,NACAC,,USA,Eugene OR,USA,2023-09-17,Grant Fisher,1997,men,Outdoor
7:28.02,3000m,Oceania,,AUS,Roma,ITA,2020-09-17,Stewart McSweyn,1995,men,Outdoor
7:37.15,3000m,South America,,URU,Zagreb,CRO,2023-09-10,Santiago Catrofe,1999,men,Outdoor
7:52.11,3000m Steeplechase,Africa,,ETH,Paris,FRA,2023-06-09,Lamecha Girma,2000,men,Outdoor
7:53.63,3000m Steeplechase,Asia,,QAT,Bruxelles,BEL,2004-09-03,Saif Saeed Shaheen,1982,men,Outdoor
8:00.09,3000m Steeplechase,Europe,,FRA,Saint-Denis,FRA,2013-07-06,Mahiedine Mekhissi-Benabbad,1985,men,Outdoor
8:00.45,3000m Steeplechase,NACAC,,USA,Saint-Denis,FRA,2015-07-04,Evan Jager,1989,men,Outdoor
8:13.26,3000m Steeplechase,Oceania,,NZL,Monaco,MON,2023-07-21,George Beamish,1996,men,Outdoor
8:14.41,3000m Steeplechase,South America,,BRA,Mar del Plata,ARG,1995-03-22,Wander Moura,1969,men,Outdoor
30.69,300m,Africa,,BOT,Pretoria,RSA,2024-02-17,Letsile Tebogo,2003,men,Outdoor
2:31:15,35km Race Walk,Africa,,RSA,Eugene OR,USA,2022-07-24,Wayne Snyman,1985,men,Outdoor
2:22:55,35km Race Walk,Asia,,CHN,Huangshan,CHN,2023-03-04,He Xianghong,1998,men,Outdoor
3:20:22,35km Race Walk,Asia,,IND,Hyderabad,IND,2023-09-28,Manjit Singh,1996,men,Outdoor
2:23:14,35km Race Walk,Europe,,ITA,Eugene OR,USA,2022-07-24,Massimo Stano,1992,men,Outdoor
2:25:02,35km Race Walk,NACAC,,CAN,Eugene OR,USA,2022-07-24,Evan Dunfee,1990,men,Outdoor
2:24:37,35km Race Walk,South America,,ECU,Eugene OR,USA,2022-07-24,Brian Pintado,1995,men,Outdoor
2:24:34,35km Race Walk,South America,,ECU,Budapest,HUN,2023-08-24,Brian Pintado,1995,men,Outdoor
37.65,4 x 100m,Africa,,RSA,Doha,QAT,2019-10-04,South Africa,,men,Outdoor
37.43,4 x 100m,Asia,,JPN,Doha,QAT,2019-10-05,Japan,,men,Outdoor
37.36,4 x 100m,Europe,,GBR,Doha,QAT,2019-10-05,Great Britain,,men,Outdoor
36.84,4 x 100m,NACAC,,JAM,London,GBR,2012-08-11,Jamaica,,men,Outdoor
38.17,4 x 100m,Oceania,,AUS,Göteborg/U,SWE,1995-08-12,Australia,,men,Outdoor
38.17,4 x 100m,Oceania,,AUS,London,GBR,2012-08-10,Australia,,men,Outdoor
37.72,4 x 100m,South America,,BRA,Doha,QAT,2019-10-05,Brazil,,men,Outdoor
14:36.23,4 x 1500m,Africa,,KEN,Bruxelles,BEL,2009-09-04,Kenya,,men,Outdoor
15:10.77,4 x 1500m,Asia,,QAT,Nassau,BAH,2014-05-25,Qatar,,men,Outdoor
14:38.8,4 x 1500m,Europe,,GER,Köln,GER,1977-08-17,Germany,,men,Outdoor
14:46.04,4 x 1500m,Oceania,,AUS,Nassau,BAH,2014-05-25,Australia,,men,Outdoor
1:20.42,4 x 200m,Africa,,RSA,Yokohama,JPN,2019-05-12,South Africa,,men,Outdoor
1:20.83,4 x 200m,Asia,,CHN,Xi'an,CHN,2021-09-23,China,,men,Outdoor
1:20.83,4 x 200m,Asia,,CHN,Xi'an,CHN,2021-09-23,China,,men,Outdoor
1:20.66,4 x 200m,Europe,,FRA,Nassau,BAH,2014-05-24,France,,men,Outdoor
1:23.04,4 x 200m,Oceania,,AUS,Sydney,AUS,1998-12-06,Australia,,men,Outdoor
1:24.42,4 x 200m,South America,,GUY,Philadelphia PA,USA,2015-04-25,Guyana,,men,Outdoor
2:57.27,4 x 400m,Africa,,BOT,Tokyo,JPN,2021-08-07,Botswana,,men,Outdoor
2:59.05,4 x 400m,Asia,,IND,Budapest,HUN,2023-08-26,India,,men,Outdoor
2:56.60,4 x 400m,Europe,,GBR,Atlanta GA,USA,1996-08-03,Great Britain,,men,Outdoor
2:54.29,4 x 400m,NACAC,,USA,Stuttgart,GER,1993-08-22,United States,,men,Outdoor
2:59.70,4 x 400m,Oceania,,AUS,Los Angeles CA,USA,1984-08-11,Australia,,men,Outdoor
2:58.56,4 x 400m,South America,,BRA,Winnipeg,CAN,1999-07-30,Brazil,,men,Outdoor
3:11.06,4 x 400m Mixed relay,Europe,,GBR,Budapest,HUN,2023-08-19,Great Britain,,men,Outdoor
3:08.80,4 x 400m Mixed relay,NACAC,,USA,Budapest,HUN,2023-08-19,United States,,men,Outdoor
3:14.79,4 x 400m Mixed relay,South America,,COL,São Paulo,BRA,2023-07-28,Colombia,,men,Outdoor
7:02.43,4 x 800m,Africa,,KEN,Bruxelles,BEL,2006-08-25,Kenya,,men,Outdoor
7:26.17,4 x 800m,Asia,,CHN,Shaoxing,CHN,2023-09-15,China,,men,Outdoor
7:03.89,4 x 800m,Europe,,GBR,London,GBR,1982-08-30,Great Britain,,men,Outdoor
7:11.48,4 x 800m,Oceania,,AUS,Nassau,BAH,2014-05-24,Australia,,men,Outdoor
7:47.3,4 x 800m,South America,,BRA,São Paulo,BRA,1965-04-21,Brazil,,men,Outdoor
43.03,400m,Africa,,RSA,Río de Janeiro,BRA,2016-08-14,Wayde van Niekerk,1992,men,Outdoor
43.93,400m,Asia,,KSA,Beijing,CHN,2015-08-23,Youssef Al-Masrahi,1987,men,Outdoor
44.26,400m,Europe,,GBR,Budapest,HUN,2023-08-22,Matthew Hudson-Smith,1994,men,Outdoor
43.18,400m,NACAC,,USA,Sevilla,ESP,1999-08-26,Michael Johnson,1967,men,Outdoor
44.38,400m,Oceania,,AUS,Seoul,KOR,1988-09-26,Darren Clark,1965,men,Outdoor
43.93,400m,South America,,COL,Tokyo,JPN,2021-08-02,Anthony Zambrano,1998,men,Outdoor
47.10,400m Hurdles,Africa,,ZAM,Zürich,SUI,1991-08-07,Samuel Matete,1968,men,Outdoor
46.98,400m Hurdles,Asia,,QAT,Paris,FRA,2018-06-30,Abderrahmane Samba,1995,men,Outdoor
45.94,400m Hurdles,Europe,,NOR,Tokyo,JPN,2021-08-03,Karsten Warholm,1996,men,Outdoor
46.17,400m Hurdles,NACAC,,USA,Tokyo,JPN,2021-08-03,Rai Benjamin,1997,men,Outdoor
48.28,400m Hurdles,Oceania,,AUS,Atlanta GA,USA,1996-07-31,Rohan Robinson,1971,men,Outdoor
46.29,400m Hurdles,South America,,BRA,Eugene OR,USA,2022-07-19,Alison dos Santos,2000,men,Outdoor
12:35.36,5000m,Africa,,UGA,Monaco,MON,2020-08-14,Joshua Cheptegei,1996,men,Outdoor
12:51.96,5000m,Asia,,BRN,Monaco,MON,2013-07-19,Albert Rop,1992,men,Outdoor
12:45.01,5000m,Europe,,ESP,Monaco,MON,2023-07-21,Mohamed Katir,1998,men,Outdoor
12:46.96,5000m,NACAC,,USA,Bruxelles,BEL,2022-09-02,Grant Fisher,1997,men,Outdoor
12:55.76,5000m,Oceania,,AUS,London,GBR,2004-07-30,Craig Mottram,1980,men,Outdoor
13:11.57,5000m,South America,,ARG,Stanford CA,USA,2023-04-21,Federico Bruno,1993,men,Outdoor
18:05.49,5000m Race Walk,Africa,,TUN,Tunis,TUN,1997-05-01,Hatem Ghoula,1973,men,Outdoor
4:21:44,50km Race Walk,Africa,,ALG,Toulouse,FRA,1984-03-25,Abdelwahab Ferguène,1958,men,Outdoor
3:54:12,50km Race Walk,Africa,,RSA,Melbourne,AUS,2015-12-13,Marc Mundell,1983,men,Outdoor
3:36:06,50km Race Walk,Asia,,CHN,Nanjing,CHN,2005-10-22,Yu Chaohong,1976,men,Outdoor
3:32:33,50km Race Walk,Europe,,FRA,Zürich,SUI,2014-08-15,Yohann Diniz,1978,men,Outdoor
3:41:09,50km Race Walk,NACAC,,GUA,Dudince,SVK,2013-03-23,Erick Barrondo,1991,men,Outdoor
3:35:47,50km Race Walk,Oceania,,AUS,Geelong,AUS,2006-12-02,Nathan Deakes,1977,men,Outdoor
3:42:57,50km Race Walk,South America,,ECU,Juarez,MEX,2016-03-06,Andrés Chocho,1983,men,Outdoor
13:05,"5km, Road",Asia,,BRN,Al Khobar,KSA,2023-12-09,Birhanu Balew,1996,men,Outdoor
13:12,"5km, Road",Europe,,FRA,Monaco,MON,2023-02-12,Jimmy Gressier,1997,men,Outdoor
13:18,"5km, Road",NACAC,,MEX,Carlsbad CA,USA,1996-03-31,Juan Armando Quintanilla,1968,men,Outdoor
13:30,"5km, Road",South America,,BRA,Carlsbad CA,USA,1995-04-02,Valdenor dos Santos,1969,men,Outdoor
1:40.91,800m,Africa,,KEN,London,GBR,2012-08-09,David Rudisha,1988,men,Outdoor
1:42.79,800m,Asia,,BRN,Monaco,MON,2008-07-29,Youssef Saad Kamel,1981,men,Outdoor
1:41.11,800m,Europe,,DEN,Köln,GER,1997-08-24,Wilson Kipketer,1972,men,Outdoor
1:42.34,800m,NACAC,,USA,Doha,QAT,2019-10-01,Donavan Brazier,1997,men,Outdoor
1:43.99,800m,Oceania,,AUS,Decines Charpieu,FRA,2023-07-08,Joseph Deng,1998,men,Outdoor
1:41.77,800m,South America,,BRA,Köln,GER,1984-08-26,Joaquim Cruz,1963,men,Outdoor
8521,Decathlon,Africa,,ALG,Río de Janeiro,BRA,2016-08-18,Larbi Bouraada,1988,men,Outdoor
8725,Decathlon,Asia,,KAZ,Athína,GRE,2004-08-24,Dmitriy Karpov,1981,men,Outdoor
9126,Decathlon,Europe,,FRA,Talence,FRA,2018-09-16,Kevin Mayer,1992,men,Outdoor
9045,Decathlon,NACAC,,USA,Beijing,CHN,2015-08-29,Ashton Eaton,1988,men,Outdoor
8649,Decathlon,Oceania,,AUS,Tokyo,JPN,2021-08-05,Ashley Moloney,2000,men,Outdoor
8393,Decathlon,South America,,BRA,São Paulo,BRA,2013-06-08,Carlos Chinin,1985,men,Outdoor
70.32,Discus Throw,Africa,,RSA,Salôn-de-Provence,FRA,2002-05-26,Frantz Kruger,1975,men,Outdoor
69.32,Discus Throw,Asia,,IRI,Tallinn,EST,2008-06-03,Ehsan Hadadi,1985,men,Outdoor
74.08,Discus Throw,Europe,,GER,Neubrandenburg,GER,1986-06-06,Jürgen Schult,1960,men,Outdoor
71.32,Discus Throw,NACAC,,USA,Eugene OR,USA,1983-06-04,Ben Plucknett,1954,men,Outdoor
70.42,Discus Throw,Oceania,,SAM,Ramona OK,USA,2023-04-16,Alex Rose,1991,men,Outdoor
70.29,Discus Throw,South America,,COL,Vila Nova Cerveira,POR,2020-07-22,Mauricio Ortega,1994,men,Outdoor
57:31,Half Marathon,Africa,,UGA,Lisboa,POR,2021-11-21,Jacob Kiplimo,2000,men,Outdoor
58:40,Half Marathon,Asia,,BRN,København,DEN,2017-09-17,Abraham Cheroben,1992,men,Outdoor
59:13,Half Marathon,Europe,,SUI,Ras Al Khaimah,UAE,2019-02-08,Julien Wanders,1996,men,Outdoor
59:43,Half Marathon,NACAC,,USA,Houston TX,USA,2007-01-14,Ryan Hall,1982,men,Outdoor
