code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
NL;GER;SPE;WJU20;55.72;;ETSV Stadion;GER;Outdoor;2024-05-12;;Mirja;Lukas;GER;2005;Female
NL;GER;1K0;W;2:37.96;;Schönbuchstadion;GER;Outdoor;2024-05-05;;Gesa;Felicitas Krause;GER;1992;Female
NL;GER;KUG;M;20.25;;Werferzentrum Brandberge;GER;Outdoor;2024-05-25;;Silas;Ristl;GER;1995;Male
NL;GER;4×2;W;1:35.42;;Quarterback Immobilien Arena;GER;Indoor;2024-02-18;;;;GER;;Female
NL;GER;400;M;45.42;;Stade Delort;FRA;Outdoor;2024-05-22;;Jean;Paul Bredau;GER;1999;Male
NL;GER;400;W;52.44;;Mestský Stadion Sletište;CZE;Outdoor;2024-05-22;;Skadi;Schier;GER;2000;Female
NL;GER;3KH;WJU20;9:51.00;;Sportanlage an der Kanalstraße;GER;Outdoor;2024-05-19;;Adia;Budde;GER;2005;Female
NL;GER;5G;W;24:54.74;;Sportzentrum Kalbach;GER;Indoor;2024-01-27;;Tabea;Kiefer;GER;2005;Female
NL;GER;HOC;MJU20;2.07;;Sportleistungszentrum;GER;Indoor;2024-02-11;;Jason;Lee Hoppe;GER;2006;Male
NL;GER;KUG;WJU20;15.76;;LA-Halle Brandberge;GER;Indoor;2024-02-24;;Chantal;Rimke;GER;2005;Female
NL;GER;4×1;W;42.72;;The Bahamas National Stadium;BAH;Outdoor;2024-05-04;;;;GER;;Female
NL;GER;4×4;M;3:01.25;;The Bahamas National Stadium;BAH;Outdoor;2024-05-04;;;;GER;;Male
NL;GER;5K0;W;15:01.14;;Sportcomplex De Leidse Hout;NED;Outdoor;2024-05-25;;Hanna;Klein;GER;1993;Female
NL;GER;3G;W;13:06.45;;Helmut-Körnig-Halle;GER;Indoor;2024-02-24;;Kylie;Garreis;GER;2005;Female
