code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
AL;5;60H;M;7.58;;Track & Field complex QAZAQSTAN;KAZ;Indoor;2024-01-27;;Junxi;Liu;CHN;2003;Male
AL;5;DIS;M;60.59;;Jack Rose Track;USA;Outdoor;2024-03-02;;Abuduaini;Tuergong;CHN;1997;Male
AL;5;KUG;W;19.65;;Turnhalle Am Regenbogen;GER;Indoor;2024-02-04;;Lijiao;Gong;CHN;1989;Female
AL;5;3K0;W;8:36.03;;Glasgow Arena;GBR;Indoor;2024-03-02;;Nozomi;Tanaka;JPN;1999;Female
AL;5;2KH;M;5:53.21;;Aspire Academy Warm Up Track;QAT;Outdoor;2024-03-20;;Abdelghafor;Kabbad;QAT;2008;Male
AL;5;10K;W;31:55.18;;JSerra Catholic HS;USA;Outdoor;2024-03-16;;Wuga;He;CHN;1998;Female
AL;5;400;M;45.55;;UJ Stadium;RSA;Outdoor;2024-03-27;;Abderrahman;Alsaleck;QAT;1995;Male
AL;5;SPE;M;83.37;;Douglas Track & Field;NZL;Outdoor;2024-03-10;;Ryohei;Arai;JPN;1991;Male
AL;5;60M;M;6.5;;Aftab Enghelab Sport Complex;IRI;Indoor;2024-02-18;;Ali;Anwar Ali Al Balushi;OMA;2002;Male
AL;5;STA;M;5.93;;Mercedes-Benz Arena;GER;Indoor;2024-02-23;;Ernest;John Obiena;PHI;1995;Male
AL;5;10G;M;39:36.47;;National Stadium;JPN;Outdoor;2024-03-16;;Hiroto;Jusho;JPN;2000;Male
AL;5;WEI;W;6.67;-0.3;Anju Bobby High Performance Centre;IND;Outdoor;2024-03-20;;James;Nayana;IND;1995;Female
AL;5;200;W;23.35;0.3;Bestmed Tuks Stadium;RSA;Outdoor;2024-03-18;;Maryam;Toosi;IRI;1988;Female
AL;5;HAM;W;75.24;;Sichuan Xipu Training Base;CHN;Outdoor;2024-04-02;;Jie;Zhao;CHN;2002;Female
AL;5;600;W;1:30.33;;Rector Fieldhouse;USA;Indoor;2024-01-19;;Lauren;Hoffman;PHI;1999;Female
AL;5;5G;W;24:45.34;;National Stadium;TPE;Outdoor;2024-02-27;;Ssu-Tsen;Kuo;TPE;2009;Female
AL;5;4×4;X;3:17.37;;Sports Complex;IND;Outdoor;2024-03-24;;;;IND;;Mixed
AL;5;5K0;M;13:09.45;;Boston Univ. Track & Tennis Center;USA;Indoor;2024-01-26;;Keita;Satoh;JPN;2004;Male
AL;5;4×4;M;3:05.71;;Sports Complex;IND;Outdoor;2024-03-24;;;;IND;;Male
AL;5;3KH;W;9:56.49;;HOC Stadium;CHN;Outdoor;2024-04-14;;Xia;Luo;CHN;2000;Female
AL;1;HOC;W;1.93;;Športová hala Dukla;SVK;Indoor;2024-02-13;;Safina;Sadullayeva;UZB;1998;Female
AL;5;DRE;M;16.93;;Glasgow Arena;GBR;Indoor;2024-03-02;;Yaoqing;Fang;CHN;1996;Male
AL;5;STA;W;4.51;;Aftab Enghelab Sport Complex;IRI;Indoor;2024-02-19;;Ling;Li;CHN;1989;Female
AL;5;5K0;W;15:22.04;;Egao Kenko Stadium;JPN;Outdoor;2024-04-13;;Wakana;Kabasawa;JPN;1999;Female
AL;5;SPE;W;64.28;;HOC Stadium;CHN;Outdoor;2024-04-14;;Ziyi;Yan;CHN;2008;Female
AL;5;4×1;W;43.91;;Percy Beard Track;USA;Outdoor;2024-03-30;;;;CHN;;Female
AL;5;HAM;M;75.4;;Sichuan Xipu Training Base;CHN;Outdoor;2024-04-03;;Qi;Wang;CHN;2001;Male
AL;5;40H;M;48.68;;McArthur Stadium;RSA;Outdoor;2024-03-14;;Ismail;Doudai Abakar;QAT;2004;Male
AL;2;40H;W;54.86;;Percy Beard Track;USA;Outdoor;2024-04-12;;Savannah;Sutherland;CAN;2003;Female
AL;2;3KH;M;8:24.41;;Paul Derr TF Facility;USA;Outdoor;2024-03-28;;Derek;Johnson;USA;1999;Male
AL;2;60H;W;7.65;;Glasgow Arena;GBR;Indoor;2024-03-03;;Devynne;Charlton;BAH;1995;Female
AL;2;100;W;10.77;1.6;Percy Beard Track;USA;Outdoor;2024-04-13;;Jacious;Sears;USA;2001;Female
AL;2;DIS;W;73.09;;Millican Field at Throw Town;USA;Outdoor;2024-04-13;;Yaimé;Pérez;CUB;1991;Female
AL;2;2KH;W;6:35.71;;University of South Florida Track & Field Stadium;USA;Outdoor;2024-03-16;;Rachel;Anderson;USA;;Female
AL;2;400;W;49.95;;Percy Beard Track;USA;Outdoor;2024-04-13;;Kaylyn;Brown;USA;2004;Female
AL;2;KUG;M;22.8;;Convention Center;USA;Indoor;2024-02-17;;Ryan;Crouser;USA;1992;Male
AL;2;HOC;M;2.33;;Městská sportovní hala;CZE;Indoor;2024-02-10;;Shelby;Mcewen;USA;1996;Male
AL;2;MEI;M;3:47.83;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Yared;Nuguse;USA;1999;Male
AL;2;10K;M;26:52.04;;JSerra Catholic HS;USA;Outdoor;2024-03-16;;Grant;Fisher;USA;1997;Male
AL;0;4×2;W;1:32.70;;Mike A. Myers Stadium;USA;Outdoor;2024-03-30;;;;INT;;Female
AL;2;3K0;M;7:30.88;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Grant;Fisher;USA;1997;Male
AL;2;1K0;M;2:14.74;;The Track at New Balance;USA;Indoor;2024-02-04;;Marco;Arop;CAN;1998;Male
AL;2;300;W;35.75;;The Track at New Balance;USA;Indoor;2024-02-04;;Gabrielle;Thomas;USA;1996;Female
AL;2;4×1;M;37.67;;Percy Beard Track;USA;Outdoor;2024-03-30;;;;USA;;Male
AL;2;11H;M;13.21;-1.4;Percy Beard Track;USA;Outdoor;2024-04-13;;Grant;Holloway;USA;1997;Male
AL;2;1K0;W;2:34.09;;Dempsey Indoor;USA;Indoor;2024-01-26;;Nikki;Hiltz;USA;1994;Female
AL;2;DRE;W;15.01;;Glasgow Arena;GBR;Indoor;2024-03-03;;Thea;Lafond;DMA;1994;Female
AL;2;50M;W;6.33;;GSG9-Halle;AUT;Indoor;2024-01-16;;Christania;Williams;JAM;1994;Female
AL;0;4×8;W;8:44.43;;Mike A. Myers Stadium;USA;Outdoor;2024-03-30;;;;INT;;Female
AL;2;1K5;M;3:33.43;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Yared;Nuguse;USA;1999;Male
AL;2;4×4;W;3:23.83;;Percy Beard Track;USA;Outdoor;2024-04-13;;;;USA;;Female
AL;2;3G;W;13:55.24;;Convention Center;USA;Indoor;2024-02-16;;Miranda;Melville;USA;1989;Female
AL;0;4×2;M;1:22.33;;Mike A. Myers Stadium;USA;Outdoor;2024-03-30;;;;INT;;Male
