code;type;discipline;class;result;wind;venue;venueCountry;environment;date;name;firstname;lastname;nation;yearOfBirth;sex
WL;;11H;M;13.03;-0.1;Hayward Field;USA;Outdoor;2024-05-25;;Grant;Holloway;USA;1997;Male
WL;;DIS;MJU20;59.95;;Estádio Dr. Magalhães Pessoa;POR;Outdoor;2024-03-10;;Mykhailo;Brudin;UKR;2005;Male
WL;;3K0;M;7:25.82;;Arena;POL;Indoor;2024-02-06;;Selemon;Barega;ETH;2000;Male
WL;;3K0;WJU20;8:32.02;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Melknat;Wudu;ETH;2005;Female
WL;;60M;M;6.41;;Glasgow Arena;GBR;Indoor;2024-03-01;;Christian;Coleman;USA;1996;Male
WL;;300;M;30.69;;Pilditch Stadium;RSA;Outdoor;2024-02-17;;Letsile;Tebogo;BOT;2003;Male
WL;;HOC;M;2.36;;Glasgow Arena;GBR;Indoor;2024-03-03;;Hamish;Kerr;NZL;1996;Male
WL;;1K0;WJU20;2:41.00;;Boston Univ. Track & Tennis Center;USA;Indoor;2024-02-03;;Sadie;Engelhardt;USA;2006;Female
WL;;DRE;W;15.01;;Glasgow Arena;GBR;Indoor;2024-03-03;;Thea;Lafond;DMA;1994;Female
WL;;MEI;W;4:16.41;;Armory Track&Field Center;USA;Indoor;2024-02-11;;Elle;St. Pierre;USA;1995;Female
WL;;4×4;XJU20;3:22.46;;Dubai;UAE;Outdoor;2024-04-26;;;;CHN;;Mixed
WL;;WEI;M;8.4;;The Track at New Balance;USA;Indoor;2024-03-08;;Wayne;Pinnock;JAM;2000;Male
WL;;2K0;WJU20;6:15.12;;Golęcin Stadion;POL;Outdoor;2024-04-28;;Lena;Maciejewska;POL;2010;Female
WL;;1K0;MJU20;2:19.79;;Arena Civica Gianni Brera;ITA;Outdoor;2024-04-13;;Manuel;Zanini;ITA;2006;Male
WL;;STA;WJU20;4.64;;Dempsey Indoor;USA;Indoor;2024-01-27;;Hana;Moll;USA;2005;Female
WL;;3KH;W;8:55.09;;Hayward Field;USA;Outdoor;2024-05-25;;Peruth;Chemutai;UGA;1999;Female
WL;;HAM;W;79.92;;Univ. of Arizona Roy P. Drachman Stadium;USA;Outdoor;2024-05-04;;Brooke;Andersen;USA;1995;Female
WL;;2K0;MJU20;5:23.30;;Arena;POL;Indoor;2024-01-28;;Krzysztof;Zieliński;POL;2005;Male
WL;;4×1;WJU20;43.63;;Kirani James Athletic Stadium;GRN;Outdoor;2024-03-31;;;;JAM;;Female
WL;;SPE;W;66.7;;Pista de Atletismo da Universidade Federal do Mato Grosso;BRA;Outdoor;2024-05-12;;Flor;Denis Ruiz Hurtado;COL;1991;Female
WL;;100;W;10.77;1.6;Percy Beard Track;USA;Outdoor;2024-04-13;;Jacious;Sears;USA;2001;Female
WL;;600;W;1:23.80;;Ansin Sports Complex;USA;Outdoor;2024-04-06;;Shafiqua;Maloney;VIN;1999;Female
WL;;2KH;M;5:25.50;;Schönbuchstadion;GER;Outdoor;2024-05-05;;Phil;Norman;GBR;1989;Male
WL;;DRE;M;17.75;-0.7;National Stadium;JAM;Outdoor;2024-06-01;;Jaydon;Hibbert;JAM;2005;Male
