Place,Competition,Country,Start Date,End Date,Part. Score,P.S. Place,Result Score,R.S. Place,W.R. Score,Comp. Score
52,"Beach Invitational, Jack Rose Track, Long Beach, CA",USA,12 APR 2024,13 APR 2024,280,62.0,77968,54,0,78248
53,"Michael Johnson Invitational, Clyde Hart Track & Field Stadium, Waco, TX",USA,19 APR 2024,20 APR 2024,160,86.0,78039,52,0,78199
54,"Bobcat Invitational, Bobcat Track and Field Complex, San Marcos, TX",USA,28 MAR 2024,30 MAR 2024,105,120.0,78034,53,0,78139
55,"Crimson Tide Invitational, Sam Bailey Track Stadium, Tuscaloosa, AL",USA,05 APR 2024,06 APR 2024,65,160.0,78054,51,0,78119
56,"ASA Athletics Grand Prix 2, Bestmed Tuks Stadium, Pretoria",RSA,18 MAR 2024,18 MAR 2024,195,77.0,77884,57,0,78079
57,"Troféu Adhemar Ferreira da Silva Loterias Caixa de Atletismo, CNDA, Bragança Paulista",BRA,05 APR 2024,07 APR 2024,410,41.0,77626,61,0,78036
58,"Sun Belt Conference Outdoor Track and Field Championships, UL Monroe Brown Stadium, Monroe, LA",USA,09 MAY 2024,11 MAY 2024,35,212.0,77958,55,0,77993
59,"Arkansas Twilight, John McDonnell Field, Fayetteville, AR",USA,03 MAY 2024,03 MAY 2024,210,73.0,77704,58,0,77914
60,"ASA Athletics Grand Prix 1, McArthur Stadium, Potchefstroom",RSA,14 MAR 2024,14 MAR 2024,420,36.0,77488,66,0,77908
61,"Arizona Spring Break Fiesta, Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ",USA,16 MAR 2024,16 MAR 2024,140,96.0,77637,60,0,77777
62,"South Florida Invitational, University of South Florida Track & Field Stadium, Tampa, FL",USA,05 APR 2024,06 APR 2024,185,79.0,77518,65,0,77703
63,"UCF Black & Gold Invite, UCF Soccer and Track Complex, Orlando, FL",USA,15 MAR 2024,16 MAR 2024,30,228.0,77643,59,0,77673
64,"Willie Williams Classic, Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ",USA,22 MAR 2024,23 MAR 2024,80,145.0,77570,63,0,77650
65,"CAA Outdoor Track and Field Championships, Elon University’s Irwin Belk Track, Elon, NC",USA,10 MAY 2024,11 MAY 2024,10,301.0,77623,62,0,77633
66,"Clyde Hart Classic, Clyde Hart Track & Field Stadium, Waco, TX",USA,22 MAR 2024,23 MAR 2024,95,129.0,77537,64,0,77632
67,"International Track Meet, Nga Puna Wai Sports Hub, Christchurch",NZL,24 FEB 2024,24 FEB 2024,730,20.0,76829,77,0,77559
68,"3rd AK Track And Field Weekend Meeting, Nyayo National Stadium, Nairobi",KEN,26 JAN 2024,27 JAN 2024,310,53.0,77245,71,0,77555
69,"4th Alexandrino Meeting - Georgios Pantos Memorial, Municipal Sports Center, Alexandria",GRE,08 MAY 2024,08 MAY 2024,345,48.0,77191,73,0,77536
70,"Georgia Tech Invitational, Geroge C. Griffin Track, Atlanta, GA",USA,19 APR 2024,20 APR 2024,205,75.0,77281,70,0,77486
71,"Pacific Coast Invitational, Jack Rose Track, Long Beach, CA",USA,11 APR 2024,11 APR 2024,120,115.0,77353,69,0,77473
72,"Ivy League Heptagonal Outdoor Track and Field Championships, Weaver Stadium, Princeton, NJ",USA,04 MAY 2024,05 MAY 2024,30,228.0,77436,68,0,77466
73,"UIL Texas State Championships, Mike A. Myers Stadium, Austin, TX",USA,02 MAY 2024,05 MAY 2024,0,,77462,67,0,77462
74,"Sir Graeme Douglas Memorial Track Classic, Douglas Track & Field, Auckland",NZL,10 MAR 2024,10 MAR 2024,560,30.0,76891,76,0,77451
75,"Keyth Talley Invitational, LSU Bernie Moore Stadium, Baton Rouge, LA",USA,23 MAR 2024,23 MAR 2024,130,106.0,77209,72,0,77339
76,"Finales des Championnats de France des Clubs, Stade des Maradas, Cergy-Pontoise",FRA,12 MAY 2024,12 MAY 2024,490,34.0,76802,79,0,77292
77,"Jim Click Shootout & Multis, Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ",USA,05 APR 2024,06 APR 2024,130,106.0,77071,74,0,77201
78,"Hurricane Collegiate Invitational, UMiami Cobb Stadium, Coral Gables, FL",USA,23 MAR 2024,23 MAR 2024,265,65.0,76764,80,0,77029
79,"Music City Challenge, Vanderbilt Track, Nashville, TN",USA,26 APR 2024,27 APR 2024,85,137.0,76900,75,0,76985
80,"UCF Knights Invite, UCF Soccer and Track Complex, Orlando, FL",USA,22 MAR 2024,23 MAR 2024,60,168.0,76815,78,0,76875
81,"Jim Green Invitational, Un. of Kentucky Outdoor Track Facility, Lexington, KY",USA,19 APR 2024,20 APR 2024,90,132.0,76454,81,0,76544
82,"72nd Hyogo Relay Carnival, Universiade Commemorative Stadium, Kobe",JPN,20 APR 2024,21 APR 2024,330,52.0,76193,84,0,76523
83,"Clark Wood Invitational, Cardinal Park, Louisville, KY",USA,26 APR 2024,27 APR 2024,140,96.0,76370,82,0,76510
84,"UC San Diego Triton Invitational, Triton Stadium, San Diego, CA",USA,05 APR 2024,06 APR 2024,410,41.0,76077,85,0,76487
85,"2nd AK Track & Field Weekend Meeting/AK Relay Series, Ulinzi Sports Complex, Langata, Nairobi",KEN,05 JAN 2024,06 JAN 2024,105,120.0,76347,83,0,76452
86,"Puma Nitro Lange Laufnacht, Carl-Kaufmann-Stadion, Karlsruhe",GER,11 MAY 2024,11 MAY 2024,420,36.0,75828,87,0,76248
87,"Belfast Irish Milers Meet In Association with Tripadvisor, Mary Peters Track, Belfast",GBR,11 MAY 2024,11 MAY 2024,50,181.0,76017,86,0,76067
88,"Velocity Fest 15, Jamaica College Ashenheim Stadium, Kingston",JAM,20 APR 2024,20 APR 2024,300,56.0,75677,88,0,75977
89,"Cameron Burrell Alumni Invitational, Carl Lewis TF and Soccer Complex, Houston, TX",USA,06 APR 2024,06 APR 2024,305,54.0,75626,90,0,75931
90,"Aztec Invitational, San Diego State University, San Diego, CA",USA,21 MAR 2024,23 MAR 2024,270,64.0,75472,94,0,75742
91,"1. kolo extraligy mužů a žen, Stadion Juliska, Praha",CZE,11 MAY 2024,11 MAY 2024,220,71.0,75486,93,0,75706
92,"AGN League 3, Pilditch Stadium, Pretoria",RSA,10 FEB 2024,10 FEB 2024,140,96.0,75547,92,0,75687
93,"Missouri Valley Conference Outdoor Track and Field Championship, Gibson Track & Field Complex, Terre Haute, IN",USA,10 MAY 2024,12 MAY 2024,5,334.0,75652,89,0,75657
94,"The Summit League Track and Field Championships, St. Thomas O'Shaughnessy Stadium, St. Paul, MN",USA,09 MAY 2024,11 MAY 2024,10,301.0,75586,91,0,75596
95,"19. Memorial Matica Šuštaršiča in Patrika Cvetana, Športni center, Kranj",SLO,11 MAY 2024,11 MAY 2024,185,79.0,75342,97,0,75527
96,"Texas A&M Invitational, Cushing Stadium, College Station, TX",USA,23 MAR 2024,23 MAR 2024,80,145.0,75443,95,0,75523
97,"18th Spring Break Classic, Pista Basilio Rodriguez, Carolina",PUR,14 MAR 2024,16 MAR 2024,195,77.0,75318,98,0,75513
98,"Lee Last Chance, Ray Conn Sports Complex, Cleveland, TN",USA,11 MAY 2024,11 MAY 2024,20,256.0,75427,96,0,75447
99,"Internationales thallos Läufermeeting, Schönbuchstadion, Pliezhausen",GER,05 MAY 2024,05 MAY 2024,140,96.0,75276,99,0,75416
100,"Fresno State Invitational, Veterans Memorial Stadium, Clovis, CA",USA,26 APR 2024,27 APR 2024,120,115.0,75228,101,0,75348
