result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
47.84,MYA,Manila,PHI,1991-12-01,Hein Shwe,,Male,DT,NR,Outdoor
61.15,NAM,Potchefstroom,RSA,2023-04-26,Ryan Williams,2000,Male,DT,NR,Outdoor
48.63,NCA,Managua,NCA,1971-02-14,Armando Mejia,,Male,DT,NR,Outdoor
68.12,NED,Sneek,NED,1991-04-01,Erik de Bruin,1963,Male,DT,NR,Outdoor
40.68,NEP,Nepalgunj,NEP,1999-03-23,Chabi Ram Shrestha,,Male,DT,NR,Outdoor
37.60,NFI,Middlegate,USA,1997-03-15,Brentt Jones,1969,Male,DT,NR,Outdoor
67.80,NGR,Modesto,USA,1991-05-11,Adewale Olukoju,1968,Male,DT,NR,Outdoor
38.94,NIG,Bamako,MLI,2013-05-18,Chaibu Yahaya,,Male,DT,NR,Outdoor
44.48,NIU,Honiara,SOL,2023-11-30,Percy Maka,2005,Male,DT,NR,Outdoor
40.03,NMI,Koror,PLW,1998-03-08,Faaea Talalemotu,1964,Male,DT,NR,Outdoor
69.62,NOR,San José,USA,1985-05-25,Knut Hjeltnes,1951,Male,DT,NR,Outdoor
42.03,NRU,Apia,SAM,2019-07-18,Bouncer Quadina,1995,Male,DT,NR,Outdoor
66.71,NZL,Los Angeles,USA,2024-03-22,Connor Bell,2001,Male,DT,NR,Outdoor
42.26,OMA,Muscat,OMA,2001-05-22,Mahmood Salim Al-Siyabi,,Male,DT,NR,Outdoor
55.10,PAK,Colombo,SRI,2006-08-26,Basharat Ali,1982,Male,DT,NR,Outdoor
50.15,PAN,El Paso,USA,2002-03-30,Guillermo Morrison,1981,Male,DT,NR,Outdoor
64.30,PAR,Eugene,USA,1992-05-23,Ramón Jiménez-Gaona,1969,Male,DT,NR,Outdoor
57.96,PER,Tampa,USA,2011-03-18,Michael Putman,1989,Male,DT,NR,Outdoor
52.10,PHI,Manila,PHI,1991-12-01,Fidel Repiso,,Male,DT,NR,Outdoor
45.50,PLE,Al-Kuwait,KUW,1979-11-06,Nader Abdul Raheem,,Male,DT,NR,Outdoor
39.75,PLW,Abay,FSM,2018-07-16,Florian Temengil,,Male,DT,NR,Outdoor
53.33,PNG,Mackay,AUS,2022-06-08,Debono Paraka,1990,Male,DT,NR,Outdoor
71.84,POL,Hengelo,NED,2013-06-08,Piotr Małachowski,1983,Male,DT,NR,Outdoor
62.94,POR,Leiria,POR,2024-03-16,Emanuel Sousa,1999,Male,DT,NR,Outdoor
55.18,PRK,Sariwon,PRK,1994-06-26,Kim Yong Nam,,Male,DT,NR,Outdoor
56.23,PUR,Mobile,USA,2012-04-14,Joey Torres,1989,Male,DT,NR,Outdoor
64.43,QAT,Colombo,SRI,2002-08-12,Rasheed Shafi Al-Dosari,1981,Male,DT,NR,Outdoor
68.12,ROU,Zaragoza,ESP,1983-05-22,Iosif Nagy,1946,Male,DT,NR,Outdoor
70.32,RSA,Salôn-de-Provence,FRA,2002-05-26,Frantz Kruger,1975,Male,DT,NR,Outdoor
71.86,RUS,Moskva,URS,1983-05-29,Yuriy Dumchev,1958,Male,DT,NR,Outdoor
43.00,RWA,Kigali,RWA,1976-05-24,Augustin Kabanda,,Male,DT,NR,Outdoor
70.42,SAM,Ramona,USA,2023-04-16,Alex Rose,1991,Male,DT,NR,Outdoor
56.72,SEN,Dakar,SEN,1978-07-07,Ibrahima Gueye,1941,Male,DT,NR,Outdoor
45.36,SEY,Réduit,MRI,2003-09-04,Selwyn Beauchamp,1982,Male,DT,NR,Outdoor
59.87,SGP,Wiesbaden,GER,1999-05-08,James Wong Tuck Yim,1969,Male,DT,NR,Outdoor
49.96,SKN,Basseterre,SKN,2015-05-09,Dion Warde,,Male,DT,NR,Outdoor
44.75,SLE,Manchester,GBR,2002-07-26,Tony Soalla-Bell,1976,Male,DT,NR,Outdoor
71.86,SLO,Jõhvi,EST,2023-06-16,Kristjan Čeh,1999,Male,DT,NR,Outdoor
38.52,SMR,Ancona,ITA,2002-07-10,Paolo Santagada,1964,Male,DT,NR,Outdoor
41.82,SOL,Honiara,SOL,1999-03-20,Ezekiel Rangi,,Male,DT,NR,Outdoor
33.00,SOM,Mogadishu,SOM,1983-10-01,Abdi Omar Koshinga,,Male,DT,NR,Outdoor
61.94,SRB,Beograd,YUG,1991-05-26,Dragan Perić,1964,Male,DT,NR,Outdoor
56.40,SRI,Colombo,SRI,2018-08-03,Gayan Upendra Jayawardana,1978,Male,DT,NR,Outdoor
45.48,STP,Braga,POR,2014-07-13,Edujose Lima,1996,Male,DT,NR,Outdoor
48.06,SUD,Dortmund,GER,1988-08-14,Ahmed Duraid,,Male,DT,NR,Outdoor
64.04,SUI,Norden,GER,1988-09-18,Christian Erb,1959,Male,DT,NR,Outdoor
46.02,SUR,St. Georges,GRN,1976-06-06,Wilfredo Burgos,,Male,DT,NR,Outdoor
67.20,SVK,Beveren,BEL,2002-08-18,Jaroslav Žitňanský,1972,Male,DT,NR,Outdoor
71.86,SWE,Bottnaryd,SWE,2019-06-29,Daniel Ståhl,1992,Male,DT,NR,Outdoor
43.89,SWZ,Windhoek,NAM,2007-05-27,Dimsani Fakudze,1976,Male,DT,NR,Outdoor
55.90,SYR,Latakia,SYR,2012-04-18,Hamid Mansoor,1992,Male,DT,NR,Outdoor
47.50,TAN,Arusha,TAN,2005-07-24,Ally Sefu,,Male,DT,NR,Outdoor
56.42,TGA,Arlington,USA,2002-05-04,Tevita Puloka,,Male,DT,NR,Outdoor
55.71,THA,Hanoi,VIE,2003-12-07,Vansavang Savatdee,1976,Male,DT,NR,Outdoor
57.86,TJK,Dushanbe,URS,1985-05-07,Chary Mamedov,,Male,DT,NR,Outdoor
57.45,TKM,Ashgabat,TKM,2015-05-21,Maksad Mamedov,1990,Male,DT,NR,Outdoor
34.47,TKS,Port of Spain,TTO,1998-04-12,Levard Missick,1979,Male,DT,NR,Outdoor
52.72,TOG,Brazzaville,CGO,2015-09-13,Essohounamondom Tchalim,1986,Male,DT,NR,Outdoor
58.10,TPE,Hiratsuka,JPN,2010-06-20,Wang Yao-Huei,1986,Male,DT,NR,Outdoor
59.65,TTO,Bacolet,TTO,2016-07-09,Quincy Wilson,1991,Male,DT,NR,Outdoor
58.29,TUN,Radès,TUN,2022-05-21,Iskander Zrelli,1996,Male,DT,NR,Outdoor
67.50,TUR,Vila Real de Santo Antonio,POR,2012-05-27,Ercüment Olgundeniz,1976,Male,DT,NR,Outdoor
36.12,TUV,UNKNOWN,???,2011-01-01,Fakapelu Sileti,1978,Male,DT,NR,Outdoor
56.26,UAE,Beyrouth,LBN,1999-10-24,Saber Salem Baiha,1980,Male,DT,NR,Outdoor
50.98,UGA,Zanzibar,TAN,1976-05-29,Samuel Onyac,1946,Male,DT,NR,Outdoor
68.88,UKR,Dnipropetrovsk,URS,1988-07-16,Vladimir Zinchenko,1959,Male,DT,NR,Outdoor
54.92,URU,San Carlos,URU,2012-04-14,Rodolfo Casanova,1981,Male,DT,NR,Outdoor
71.32,USA,Eugene,USA,1983-06-04,Ben Plucknett,1954,Male,DT,NR,Outdoor
62.46,UZB,Tashkent,URS,1980-05-23,Sergey Shchegolyev,1955,Male,DT,NR,Outdoor
62.46,UZB,Tashkent,UZB,2000-06-15,Roman Poltoratskiy,1972,Male,DT,NR,Outdoor
45.84,VAN,Port Vila,VAN,1982-07-09,Georges Laurence,,Male,DT,NR,Outdoor
57.58,VEN,Caracas,VEN,2008-05-08,Jesús Parejo,1981,Male,DT,NR,Outdoor
50.08,VIE,Hanoi,VIE,2023-10-27,Phan Thanh Binh,1995,Male,DT,NR,Outdoor
59.77,VIN,Natchitoches,USA,2010-05-01,Adonson Shallow,1986,Male,DT,NR,Outdoor
35.50,YEM,Aden,YEM,1976-01-01,Ahmed Amin Ahmed,,Male,DT,NR,Outdoor
49.03,ZAM,Nashville,USA,2018-03-24,Chard Muhwanga,,Male,DT,NR,Outdoor
51.60,ZIM,Brisbane,AUS,1982-10-08,Christopher Pullen,1961,Male,DT,NR,Outdoor
