result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
49.33,NZL,Canberra,AUS,2018-01-27,Cameron French,1992,Male,400H,NR,Outdoor
51.54,OMA,Aleppo,SYR,2010-09-20,Abduallah Said Al-Haidi,1986,Male,400H,NR,Outdoor
49.90,PAK,Hiroshima,JPN,1994-10-11,Mohamed Amin,1969,Male,400H,NR,Outdoor
47.84,PAN,Helsinki,FIN,2005-08-07,Bayano Kamani,1980,Male,400H,NR,Outdoor
52.78,PAR,UNKNOWN,???,1975-10-13,Francisco Rojas,1950,Male,400H,NR,Outdoor
52.20,PER,Santiago de Chile,CHI,1992-11-01,Mauro Mina,,Male,400H,NR,Outdoor
48.98,PHI,Madrid,ESP,2016-06-23,Eric Cray,1988,Male,400H,NR,Outdoor
55.38,PLE,Latakia,SYR,1993-09-27,Maher Helou,,Male,400H,NR,Outdoor
1:00.76,PLW,Guam,GUM,2007-12-14,Christopher Kenty,1989,Male,400H,NR,Outdoor
50.37,PNG,Melbourne,AUS,2006-03-21,Mowen Boino,1979,Male,400H,NR,Outdoor
48.12,POL,Osaka,JPN,2007-08-28,Marek Plawgo,1981,Male,400H,NR,Outdoor
48.77,POR,Helsinki,FIN,1994-08-10,Pedro Rodrigues,1971,Male,400H,NR,Outdoor
48.77,POR,Zürich,SUI,1999-08-11,Carlos Silva,1974,Male,400H,NR,Outdoor
53.30,PRK,Sofia,BUL,1985-06-02,Choi Chang Sun,,Male,400H,NR,Outdoor
47.72,PUR,Ponce,PUR,2010-05-08,Javier Culson,1984,Male,400H,NR,Outdoor
50.90,PYF,Pirae,PYF,1987-04-11,Robert Tupuhoe,1965,Male,400H,NR,Outdoor
46.98,QAT,Paris,FRA,2018-06-30,Abderrahmane Samba,1995,Male,400H,NR,Outdoor
49.22,ROU,Antananarivo,MAD,1997-09-04,Alex Argudin,1974,Male,400H,NR,Outdoor
47.66,RSA,Pretoria,RSA,2011-02-25,LJ van Zyl,1985,Male,400H,NR,Outdoor
47.66,RSA,Ostrava,CZE,2011-05-31,LJ van Zyl,1985,Male,400H,NR,Outdoor
48.05,RUS,Beijing,CHN,2015-08-25,Denis Kudryavtsev,1992,Male,400H,NR,Outdoor
54.36,RWA,Los Angeles,USA,1984-08-03,Faustin Butera,1955,Male,400H,NR,Outdoor
54.46,SAM,Christchurch,NZL,2002-12-14,Kuripitone Betham,1978,Male,400H,NR,Outdoor
47.23,SEN,Seoul,KOR,1988-09-25,Amadou Dia Bâ,1958,Male,400H,NR,Outdoor
49.82,SEY,El Dorado,USA,2018-05-19,Ned Justeen Dino Azemia,1997,Male,400H,NR,Outdoor
50.43,SGP,Chengdu,CHN,2023-08-02,Jun Jie Calvin Quek,1996,Male,400H,NR,Outdoor
50.95,SKN,Allendale,USA,2021-05-29,Jahnaza Francis,2000,Male,400H,NR,Outdoor
52.18,SLE,Birmingham,GBR,1992-05-31,Benjamin Grant,1970,Male,400H,NR,Outdoor
48.91,SLO,Cali,COL,2022-08-05,Matic Ian Guček,2003,Male,400H,NR,Outdoor
52.12,SMR,Marsa,MLT,2023-06-03,Andrea Ercolani Volta,1995,Male,400H,NR,Outdoor
56.37,SOL,Honiara,SOL,2023-12-01,George Tarai,2002,Male,400H,NR,Outdoor
59.75,SOM,Bellinzona,SUI,2019-09-21,Mahdi Ibrahim Ali,,Male,400H,NR,Outdoor
48.05,SRB,Moskva,RUS,2013-08-15,Emir Bekrić,1991,Male,400H,NR,Outdoor
49.44,SRI,Jakarta,INA,2000-08-31,Harijan Ratnayake,1974,Male,400H,NR,Outdoor
