result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
3:50.57,TUN,Berlin,GER,1997-08-26,Ali Hakimi,1976,Male,Mile,NR,Outdoor
3:51.71,TUR,Oslo,NOR,2014-06-11,İlham Tanui Özbilen,1990,Male,Mile,NR,Outdoor
3:53.04,UGA,Oslo,NOR,2021-07-01,Ronald Musagala,1992,Male,Mile,NR,Outdoor
3:50.04,UKR,London,GBR,2004-07-30,Ivan Heshko,1979,Male,Mile,NR,Outdoor
4:01.98,URU,Irvine,USA,2023-04-28,Valentin Soca,2002,Male,Mile,NR,Outdoor
3:43.97,USA,Eugene,USA,2023-09-16,Yared Nuguse,1999,Male,Mile,NR,Outdoor
4:03.03,VEN,Baton Rouge,USA,1990-03-31,Germán Beltrán,1967,Male,Mile,NR,Outdoor
4:13.31,VIN,Port of Spain,TTO,2002-05-05,Pamenos Ballantyne,1973,Male,Mile,NR,Outdoor
4:02.77,ZAM,Tempe,USA,2015-04-11,Harry Mulenga,1994,Male,Mile,NR,Outdoor
3:53.13,ZIM,San Donato M.,USA,1992-05-30,Philemon Hanneck,1971,Male,Mile,NR,Outdoor
3:50.70,ALG,Birmingham,GBR,1993-02-20,Noureddine Morceli,1970,Male,Mile,NR,Indoor
4:15.54,ANT,New York,USA,2002-02-08,Elliott Mason,,Male,Mile,NR,Indoor
3:50.83,AUS,New York,USA,2022-01-29,Olli Hoare,1997,Male,Mile,NR,Indoor
3:54.28,AUT,Karlsruhe,GER,1994-03-01,Michael Buchleitner,1969,Male,Mile,NR,Indoor
4:01.62,BDI,Fayetteville,USA,2004-02-13,Alfred Rugema,1980,Male,Mile,NR,Indoor
3:52.66,BEL,Boston,USA,2024-02-10,Thomas Vanoppen,1999,Male,Mile,NR,Indoor
4:02.72,BLR,Moskva,RUS,1992-02-07,Azat Rakipau,1968,Male,Mile,NR,Indoor
3:56.26,BRA,Fayetteville,USA,2001-02-10,Hudson de Souza,1977,Male,Mile,NR,Indoor
3:52.54,CAN,Boston,USA,2022-02-27,Cameron Proceviat,1993,Male,Mile,NR,Indoor
4:07.37,CPV,Boston,USA,2009-02-14,Ruben Sanca,1986,Male,Mile,NR,Indoor
3:59.13,DEN,Zaragoza,ESP,1988-02-26,Mogens Guldberg,1963,Male,Mile,NR,Indoor
4:06.20,DOM,Blacksburg,USA,2002-02-23,José Zayas,1978,Male,Mile,NR,Indoor
3:59.12,ERI,Albuquerque,USA,2024-01-20,Habtom Samuel,2003,Male,Mile,NR,Indoor
3:51.79,ESP,New York,USA,2023-02-11,Mario García,1999,Male,Mile,NR,Indoor
3:47.01,ETH,Boston,USA,2019-03-03,Yomif Kejelcha,1997,Male,Mile,NR,Indoor
3:58.20,FIN,Los Angeles,USA,1979-01-20,Antti Loikkanen,1955,Male,Mile,NR,Indoor
3:52.51,FRA,Liévin,FRA,2009-02-10,Mehdi Baala,1978,Male,Mile,NR,Indoor
3:48.87,GBR,Boston,USA,2022-02-27,Josh Kerr,1997,Male,Mile,NR,Indoor
3:50.45,GER,Boston,USA,2023-02-11,Amos Bartelsmeyer,1994,Male,Mile,NR,Indoor
4:03.34,GIB,Boston,USA,2018-02-25,Harvey Dixon,1993,Male,Mile,NR,Indoor
3:49.78,IRL,East Rutherford,USA,1983-02-27,Eamonn Coghlan,1952,Male,Mile,NR,Indoor
4:03.52,ISR,Fayetteville,USA,2000-03-10,Gezachw Yossef,1975,Male,Mile,NR,Indoor
4:15.47,ISV,New York,USA,2002-02-09,Billy Bohlke,1978,Male,Mile,NR,Indoor
3:55.71,ITA,Padova,ITA,2023-01-29,Pietro Arese,1999,Male,Mile,NR,Indoor
3:54.84,JPN,Boston,USA,2024-02-10,Ryuma Aoki,1997,Male,Mile,NR,Indoor
3:49.44,KEN,Boston,USA,2018-02-09,Edward Cheserek,1994,Male,Mile,NR,Indoor
3:59.84,KUW,Fayetteville,USA,2001-03-10,Bashir Ibrahim,1979,Male,Mile,NR,Indoor
4:12.12,LCA,Gainesville,USA,2002-02-28,Zepherinus Joseph,1975,Male,Mile,NR,Indoor
4:10.51,LTU,Vilnius,LTU,1999-01-30,Darius Gruzdys,1972,Male,Mile,NR,Indoor
3:57.47,LUX,Boston,USA,2023-02-04,Vivien Henz,2004,Male,Mile,NR,Indoor
3:48.45,MAR,Gent,BEL,1997-02-12,Hicham El Guerrouj,1974,Male,Mile,NR,Indoor
3:54.52,MEX,Boston,USA,2009-02-07,Pablo Solares,1984,Male,Mile,NR,Indoor
3:54.28,NED,Boston,USA,2024-02-03,Noah Baltus,2002,Male,Mile,NR,Indoor
3:56.99,NOR,New York,USA,2020-02-08,Filip Ingebrigtsen,1993,Male,Mile,NR,Indoor
3:51.06,NZL,New York,USA,2016-02-20,Nick Willis,1983,Male,Mile,NR,Indoor
3:57.63,PER,Boston,USA,2017-01-28,David Torrence,1985,Male,Mile,NR,Indoor
3:56.41,POL,Athlone,IRL,2019-02-13,Marcin Lewandowski,1987,Male,Mile,NR,Indoor
3:52.18,POR,Stockholm,SWE,2001-02-15,Rui Silva,1977,Male,Mile,NR,Indoor
3:54.12,PUR,Boston,USA,2024-02-10,Rob Napolitano,1994,Male,Mile,NR,Indoor
3:54.27,RSA,Fayetteville,USA,2001-02-10,Clyde Colenso,1977,Male,Mile,NR,Indoor
