result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
8.09,0.0,INA,Jakarta,INA,2018-08-26,Sapwaturrahman,1994.0,Male,LJ,NR,Outdoor
8.42,1.8,IND,Bellary,IND,2023-03-02,J. Jeswin Aldrin,2001.0,Male,LJ,NR,Outdoor
8.17,1.3,IRI,Tehran,IRI,2012-07-07,Mohammad Arzandeh,1987.0,Male,LJ,NR,Outdoor
8.07,1.4,IRL,La Chaux-de-Fonds,SUI,2005-08-21,Ciaran McDonagh,1976.0,Male,LJ,NR,Outdoor
7.66,,IRQ,Baghdad,IRQ,2017-10-13,Barea Amer Al-Bayati,1995.0,Male,LJ,NR,Outdoor
8.00,2.0,ISL,Reykjavik,ISL,1994-08-26,Jón Arnar Magnússon,1969.0,Male,LJ,NR,Outdoor
7.99,1.1,ISR,Tel Aviv,ISR,2010-05-15,Yochai Halevi,1982.0,Male,LJ,NR,Outdoor
8.11,0.4,ISV,Tallahassee FL,USA,2011-06-18,Leon Hunt,1987.0,Male,LJ,NR,Outdoor
8.47,-0.2,ITA,Osaka,JPN,2007-08-30,Andrew Howe,1985.0,Male,LJ,NR,Outdoor
7.97,0.6,IVB,Kingston,JAM,1996-05-11,Keita Cline,1974.0,Male,LJ,NR,Outdoor
8.69,0.5,JAM,Doha,QAT,2019-09-28,Tajay Gayle,1996.0,Male,LJ,NR,Outdoor
7.48,-0.3,JOR,Amman,JOR,2008-04-26,Khalil Al-Hanahneh,1980.0,Male,LJ,NR,Outdoor
8.40,1.5,JPN,Fukui,JPN,2019-08-17,Shoutarou Shiroyama,1995.0,Male,LJ,NR,Outdoor
8.16,,KAZ,Alma-Ata,URS,1988-06-18,Sergey Vasilyenko,1965.0,Male,LJ,NR,Outdoor
8.12,0.2,KEN,Johannesburg,RSA,1995-09-23,Jacob Katonon,1969.0,Male,LJ,NR,Outdoor
8.16,,KGZ,Leningrad,URS,1981-08-02,Shamil Abbyasov,1957.0,Male,LJ,NR,Outdoor
6.86,,KIR,Suva,FIJ,1976-05-29,Karakoa Iotia,,Male,LJ,NR,Outdoor
8.22,0.4,KOR,Ried,AUT,2016-06-10,Kim Duk-Hyung,1985.0,Male,LJ,NR,Outdoor
7.04,,KOS,Beograd,YUG,1981-01-01,Shefqet Hasani,,Male,LJ,NR,Outdoor
8.48,0.6,KSA,Sotteville-lès-Rouen,FRA,2006-07-02,Mohamed Salman Al-Khuwalidi,1981.0,Male,LJ,NR,Outdoor
8.02,-0.9,KUW,Al-Kuwait,KUW,2009-05-05,Saleh Abdelaziz Al-Haddad,1986.0,Male,LJ,NR,Outdoor
7.71,1.7,LAO,Bangkok,THA,2023-07-15,Xaidavahn Vongsavanh,2000.0,Male,LJ,NR,Outdoor
8.08,1.0,LAT,Saldus,LAT,2016-07-12,Elvijs Misāns,1989.0,Male,LJ,NR,Outdoor
8.03,1.3,LBA,Haniá,GRE,1985-05-25,Mohamed Bishty,1957.0,Male,LJ,NR,Outdoor
7.43,,LBN,Jamhour,LBN,2004-07-22,Marc Habib,1979.0,Male,LJ,NR,Outdoor
8.00,,LBR,Ypsilanti MI,USA,2009-04-18,Cadeau Kelley,1986.0,Male,LJ,NR,Outdoor
7.82,,LCA,Durham,GBR,2000-05-10,Dane Magloire,1975.0,Male,LJ,NR,Outdoor
6.90,,LES,Maseru,LES,2007-10-01,Pule Rantseli,1984.0,Male,LJ,NR,Outdoor
7.24,,LIE,St. Gallen,SUI,1989-05-06,Franz Tschol,1966.0,Male,LJ,NR,Outdoor
8.15,0.5,LTU,Kaunas,LTU,2011-06-04,Povilas Mykolaitis,1983.0,Male,LJ,NR,Outdoor
7.58,0.0,LUX,Marsa,MLT,2017-06-24,François Grailet,1994.0,Male,LJ,NR,Outdoor
7.25,1.7,MAC,Hongkong,HKG,2017-06-24,Wong Ka Chun,1997.0,Male,LJ,NR,Outdoor
7.77,,MAD,Talence,FRA,1990-05-19,Toussaint Rabenala,1965.0,Male,LJ,NR,Outdoor
8.40,1.0,MAR,Beyrouth,LBN,2009-10-02,Yahya Berrabah,1981.0,Male,LJ,NR,Outdoor
8.02,-0.1,MAS,New Clark City,PHI,2019-12-07,Andre Anura Anuar,1999.0,Male,LJ,NR,Outdoor
7.25,,MAW,Zomba,MAW,1986-11-16,Lifa Kalung,,Male,LJ,NR,Outdoor
8.25,1.6,MDA,Chisinau,URS,1990-08-18,Sergey Podgainyi,1963.0,Male,LJ,NR,Outdoor
6.82,-0.2,MDV,Male,MDV,2022-08-27,Ibrahim Nahil Nizar,2006.0,Male,LJ,NR,Outdoor
8.46,1.3,MEX,Kazan,RUS,2013-07-12,Luis Rivera,1987.0,Male,LJ,NR,Outdoor
7.47,1.9,MGL,Irkutsk,URS,1986-08-21,Khandsuren Tsastbaatar,,Male,LJ,NR,Outdoor
6.35,,MHL,Brooklyn Park MN,USA,1994-02-06,Roman Cress,1977.0,Male,LJ,NR,Outdoor
7.91,1.9,MKD,Inneringen,GER,2023-07-30,Andreas Trajkovski,1993.0,Male,LJ,NR,Outdoor
7.82,-0.9,MLI,Bamako,MLI,2010-04-27,Mamadou Chérif Dia,1985.0,Male,LJ,NR,Outdoor
7.73,1.4,MLT,Marsa,MLT,2022-01-29,Jeremy Zammit,2004.0,Male,LJ,NR,Outdoor
7.33,0.4,MNE,Pitesti,ROU,2016-06-25,Darko Pešić,1992.0,Male,LJ,NR,Outdoor
7.51,0.7,MNT,Gold Coast,AUS,2018-04-10,Darren Morson,1994.0,Male,LJ,NR,Outdoor
6.59,0.3,MON,Monaco,MON,2007-06-07,Anthony de Sevelinges,1978.0,Male,LJ,NR,Outdoor
7.51,,MOZ,Windhoek,NAM,2006-03-07,Machuza Carvalho,,Male,LJ,NR,Outdoor
8.28,0.0,MRI,Athína,GRE,2004-08-24,Jonathan Chimier,1982.0,Male,LJ,NR,Outdoor
6.94,,MTN,Nouakchott,MTN,1972-01-01,Daouda A.Ba,,Male,LJ,NR,Outdoor
7.56,,MYA,Kuala Lumpur,MAS,1977-11-20,Thant Zin,,Male,LJ,NR,Outdoor
8.27,0.7,NAM,Windhoek,NAM,2023-04-15,Chenoult Coetzee,1997.0,Male,LJ,NR,Outdoor
7.46,1.5,NCA,Ciudad de Guatemala,GUA,2018-07-14,Becker Alexander Jarquín,1998.0,Male,LJ,NR,Outdoor
8.29,0.4,NED,Moskva,RUS,2013-08-16,Ignisious Gaisah,1983.0,Male,LJ,NR,Outdoor
7.09,,NEP,Kathmandu,NEP,2015-12-04,Puspendra Kumar Goit,,Male,LJ,NR,Outdoor
6.24,,NFI,Middlegate,USA,1996-02-10,Aiden Butterfield,,Male,LJ,NR,Outdoor
8.27,-0.4,NGR,Lagos,NGR,1989-08-08,Yusuf Alli,1960.0,Male,LJ,NR,Outdoor
7.27,1.6,NIG,Niamey,NIG,2005-12-12,Abdoulaye Garba,,Male,LJ,NR,Outdoor
6.26,-2.8,NIU,Middlegate,USA,2001-12-13,Billy Paea,,Male,LJ,NR,Outdoor
6.42,,NMI,Apia,SAM,2006-12-12,Dexter Dillay,,Male,LJ,NR,Outdoor
8.10,1.9,NOR,Monachil,ESP,2019-08-17,Ingar Bratseth-Kiplesund,1996.0,Male,LJ,NR,Outdoor
6.67,,NRU,Brisbane,AUS,2016-10-21,Jonah Harris,1999.0,Male,LJ,NR,Outdoor
8.05,,NZL,Wangarei,USA,1968-01-31,Bob Thomas,1939.0,Male,LJ,NR,Outdoor
7.75,,OMA,Tallinn,EST,1994-08-05,Ahmad Hudeib Al-Mamari,1972.0,Male,LJ,NR,Outdoor
7.75,-0.4,OMA,Marrakech,MAR,2023-06-24,Salem Saleh El-Jerbi,1994.0,Male,LJ,NR,Outdoor
7.79,,PAK,Islamabad,PAK,1989-10-21,Muhammad Urfaq,,Male,LJ,NR,Outdoor
8.73,1.2,PAN,Hengelo,NED,2008-05-24,Irving Saladino,1983.0,Male,LJ,NR,Outdoor
7.42,,PAR,Asunción,PAR,1987-07-25,Olegario Olmedo,,Male,LJ,NR,Outdoor
8.10,0.7,PER,Sucre,BOL,2009-11-23,Jorge McFarlane,1988.0,Male,LJ,NR,Outdoor
8.10,0.5,PER,Ibiza,ESP,2022-05-07,José Luís Mandros,1998.0,Male,LJ,NR,Outdoor
8.08,0.0,PHI,Phnom Penh,CAM,2023-05-08,Janry Ubas,1994.0,Male,LJ,NR,Outdoor
6.88,,PLE,Gaza,PLE,1999-10-29,Mohamed Fanona,,Male,LJ,NR,Outdoor
6.45,,PLW,Koror,PLW,1999-05-29,Conrad Rdechor,1975.0,Male,LJ,NR,Outdoor
7.26,0.0,PNG,Canyon TX,USA,2021-05-08,Peniel Richard,1994.0,Male,LJ,NR,Outdoor
8.28,0.8,POL,Malles,ITA,2001-07-14,Grzegorz Marciniszyn,1977.0,Male,LJ,NR,Outdoor
8.36,1.2,POR,Lisboa,POR,1997-06-20,Carlos Calado,1975.0,Male,LJ,NR,Outdoor
7.86,,PRK,Pyongyang,PRK,1983-04-14,Cha Gyong-Nam,,Male,LJ,NR,Outdoor
8.19,,PUR,Bogotá,COL,1989-08-11,Elmer Williams,1964.0,Male,LJ,NR,Outdoor
8.13,0.9,QAT,Manila,PHI,2003-09-21,Abdulrahman S. Al-Nubi,1979.0,Male,LJ,NR,Outdoor
8.37,1.7,ROU,Stuttgart,GER,1995-07-09,Bogdan Tudor,1970.0,Male,LJ,NR,Outdoor
8.65,1.3,RSA,Potchefstroom,RSA,2017-04-22,Luvo Manyonga,1991.0,Male,LJ,NR,Outdoor
8.56,0.2,RUS,Moskva,RUS,2013-08-16,Aleksandr Menkov,1990.0,Male,LJ,NR,Outdoor
7.00,,RWA,Kigali,RWA,2013-02-06,Jean Kanyangara,,Male,LJ,NR,Outdoor
7.65,-2.2,SAM,Apia,SAM,2019-07-18,Kelvin Masoe,1999.0,Male,LJ,NR,Outdoor
8.46,1.8,SEN,Bad Langensalza,GER,1997-06-15,Cheikh Tidiane Touré,1970.0,Male,LJ,NR,Outdoor
7.86,-1.3,SEY,Belle Vue Mauricia,MRI,1992-06-28,Danny Beauchamp,1969.0,Male,LJ,NR,Outdoor
7.62,,SGP,Vientiane,LAO,2009-12-15,Matthew Goh Yujie,1991.0,Male,LJ,NR,Outdoor
7.69,,SKN,Warrensburg MS,USA,2019-05-04,Kizan David,1998.0,Male,LJ,NR,Outdoor
7.84,,SLE,London,GBR,1992-05-09,Tom Ganda,1972.0,Male,LJ,NR,Outdoor
8.40,2.0,SLO,Celje,SLO,1997-05-18,Gregor Cankar,1975.0,Male,LJ,NR,Outdoor
7.25,2.0,SMR,Nicosia,CYP,2009-06-04,Luca Maccapani,1982.0,Male,LJ,NR,Outdoor
7.35,,SOL,Honiara,SOL,1993-09-25,Ian Chapangi,,Male,LJ,NR,Outdoor
7.35,,SOM,München,FRG,1972-08-24,Abdulla Noor Wasughe,1947.0,Male,LJ,NR,Outdoor
8.45,2.0,SRB,Montréal,CAN,1975-07-25,Nenad Stekic,1951.0,Male,LJ,NR,Outdoor
8.15,,SRI,Diyagama,SRI,2016-08-16,W.P.Amila Jayasiri,1992.0,Male,LJ,NR,Outdoor
6.51,,SSD,Indianola IA,USA,2019-04-26,Makuac Leet,,Male,LJ,NR,Outdoor
7.30,0.8,STP,Córdoba3,ESP,2022-04-30,Alberto De Oliveira,1999.0,Male,LJ,NR,Outdoor
7.61,1.3,SUD,London,GBR,2007-05-05,Rabah Yousif,1986.0,Male,LJ,NR,Outdoor
8.45,0.2,SUI,Götzis,AUT,2022-05-28,Simon Ehammer,2000.0,Male,LJ,NR,Outdoor
7.76,1.5,SUR,Leiden,NED,2022-06-11,Navaro Doulany,2001.0,Male,LJ,NR,Outdoor
8.05,1.7,SVK,Budapest,HUN,1988-07-06,Robert Széli,1965.0,Male,LJ,NR,Outdoor
8.44,1.8,SWE,Monachil,ESP,2016-07-10,Michel Tornéus,1986.0,Male,LJ,NR,Outdoor
7.76,,SWZ,Germiston,RSA,1996-11-23,Victor Shabangu,1970.0,Male,LJ,NR,Outdoor
7.88,1.3,SYR,Hechingen,GER,2022-07-02,Mohammad Amin Al-Salami,1994.0,Male,LJ,NR,Outdoor
7.63,0.6,TAN,Stellenbosch,RSA,2019-04-04,Anthony Mwanga,1997.0,Male,LJ,NR,Outdoor
7.27,,TGA,Nuku'Alofa,TGA,2000-10-04,Tokaikolo Latapu,,Male,LJ,NR,Outdoor
8.05,1.3,THA,Kobe,JPN,2011-07-10,Suphanara Ayudara,1992.0,Male,LJ,NR,Outdoor
8.18,1.3,TJK,Tallinn,URS,1988-07-05,Vasiliy Sokov,1968.0,Male,LJ,NR,Outdoor
7.99,,TKM,Budapest,HUN,1994-06-03,Vladimir Malyavin,1973.0,Male,LJ,NR,Outdoor
8.06,1.8,TKS,Chula Vista CA,USA,2018-06-09,Ifeanyi Otuonye,1994.0,Male,LJ,NR,Outdoor
8.00,0.8,TOG,Johannesburg,RSA,1999-09-15,Teko Folligan,1976.0,Male,LJ,NR,Outdoor
8.40,0.3,TPE,Bangkok,THA,2023-07-15,Lin Yu-Tang,2000.0,Male,LJ,NR,Outdoor
8.25,0.7,TTO,Queretaro,MEX,2019-07-05,Andwuelle Wright,1997.0,Male,LJ,NR,Outdoor
8.01,-0.3,TUN,Dakar,SEN,1998-08-22,Anis Glali,1972.0,Male,LJ,NR,Outdoor
8.08,0.8,TUR,Istanbul,TUR,2000-06-24,Mesut Yavaş,1978.0,Male,LJ,NR,Outdoor
7.02,-0.6,TUV,Apia,SAM,2011-06-23,Okilani Tinilau,1989.0,Male,LJ,NR,Outdoor
7.79,,UAE,Latakia,SYR,1992-09-06,Mousbeh Ali Said,1970.0,Male,LJ,NR,Outdoor
7.75,,UGA,El Djezair,ALG,1978-07-26,Fidelis Ndyabagye,1950.0,Male,LJ,NR,Outdoor
8.35,2.0,UKR,Dnipropetrovsk,URS,1988-07-16,Sergey Layevskiy,1959.0,Male,LJ,NR,Outdoor
8.35,0.7,UKR,Kyiv,UKR,2000-07-25,Roman Shchurenko,1976.0,Male,LJ,NR,Outdoor
8.28,2.0,URU,São Paulo,BRA,2022-05-01,Emiliano Lasa,1990.0,Male,LJ,NR,Outdoor
8.95,0.3,USA,Tokyo,JPN,1991-08-30,Mike Powell,1963.0,Male,LJ,NR,Outdoor
8.22,0.9,UZB,Génève,SUI,2023-06-10,Anvar Anvarov,2000.0,Male,LJ,NR,Outdoor
7.18,,VAN,Luganville,VAN,1984-01-09,Georges Taniel,1958.0,Male,LJ,NR,Outdoor
8.34,-1.2,VEN,Cochabamba,BOL,2004-05-30,Victor Castillo,1981.0,Male,LJ,NR,Outdoor
7.98,,VIE,Ho Chi Minh,VIE,2019-09-17,Nguyen Tien Trong,1997.0,Male,LJ,NR,Outdoor
8.08,1.2,VIN,Hamburg NY,USA,2008-07-29,Clayton Latham,1980.0,Male,LJ,NR,Outdoor
6.62,,YEM,Sanaa,YEM,2014-11-27,Bakar Mahmoud Shujab,,Male,LJ,NR,Outdoor
7.77,0.8,ZAM,Ndola,ZAM,2023-05-03,Bernard Kalale,2004.0,Male,LJ,NR,Outdoor
8.40,0.0,ZIM,Des Moines IA,USA,2011-06-09,Ngonidzashe Makusha,1987.0,Male,LJ,NR,Outdoor
7.53,,AHO,Den Haag,NED,1997-02-23,Ellsworth Manuel,1968.0,Male,LJ,NR,Indoor
8.08,,ALB,Beograd,SRB,2017-03-04,Izmir Smajlaj,1993.0,Male,LJ,NR,Indoor
7.88,,ALG,Doha,QAT,2010-03-12,Issam Nima,1979.0,Male,LJ,NR,Indoor
7.52,,AND,Vilafranca,ESP,2000-02-20,Esteve Martín,1975.0,Male,LJ,NR,Indoor
7.28,,ARG,Winston-Salem NC,USA,2024-02-24,Ferreras Ezequiel Bustamante,2001.0,Male,LJ,NR,Indoor
8.49,,ARM,Liévin,FRA,1987-02-21,Robert Emmiyan,1965.0,Male,LJ,NR,Indoor
8.25,,AUS,Portland OR,USA,2016-03-20,Fabrice LaPierre,1983.0,Male,LJ,NR,Indoor
7.96,,AUT,München,GER,2005-02-05,Isagani Peychär,1981.0,Male,LJ,NR,Indoor
8.00,,AZE,Vilnius,URS,1983-02-06,Vladimir Tsepelyov,1956.0,Male,LJ,NR,Indoor
8.18,,BAH,Fayetteville AR,USA,2022-02-18,LaQuan Nairn,1996.0,Male,LJ,NR,Indoor
7.85,,BAR,Joplin MO,USA,2002-01-12,Kevin Bartlett,1981.0,Male,LJ,NR,Indoor
8.08,,BEL,Gent,BEL,1995-02-12,Erik Nijs,1973.0,Male,LJ,NR,Indoor
7.68,,BEN,Liévin,FRA,2020-02-29,Romeo N'tia,1995.0,Male,LJ,NR,Indoor
7.83,,BER,Birmingham,GBR,2017-02-18,Tyrone Smith,1984.0,Male,LJ,NR,Indoor
7.51,,BIH,Praha,TCH,1967-03-11,Milan Babic,1943.0,Male,LJ,NR,Indoor
8.10,,BLR,Gomel,BLR,1994-01-15,Aleksandr Glavatskiy,1970.0,Male,LJ,NR,Indoor
8.01,,BOT,Cardiff,GBR,2002-02-03,Gable Garenamotse,1979.0,Male,LJ,NR,Indoor
