result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
78.72,MDA,Chisinau,MDA,2015-05-30,Serghei Marghiev,1992,Male,HT,NR,Outdoor
78.68,MEX,Monterrey,MEX,2021-04-24,Diego Del Real,1994,Male,HT,NR,Outdoor
49.97,MGL,Ulan Bator,MGL,2005-07-21,Dashdendev Makhashiri,1969,Male,HT,NR,Outdoor
47.82,MKD,Novi Sad,YUG,1971-07-14,Illja Spasovski,1952,Male,HT,NR,Outdoor
42.28,MLI,Melun,FRA,1980-04-26,Namakoro Niaré,1943,Male,HT,NR,Outdoor
56.95,MLT,Marsa,MLT,2020-06-27,Luca Martini,2000,Male,HT,NR,Outdoor
61.38,MNE,Beograd,YUG,1966-05-03,Ilija Soskic,1937,Male,HT,NR,Outdoor
46.51,MOZ,Maputo,MOZ,1962-11-25,Octavio Vicente,,Male,HT,NR,Outdoor
64.21,MRI,Antananarivo,MAD,2023-08-30,Jean-Ian Carre,1993,Male,HT,NR,Outdoor
59.23,MYA,Nay Pyi Taw,MYA,2023-12-06,Aung Ye Htet,1997,Male,HT,NR,Outdoor
52.78,NAM,Windhoek,NAM,1982-01-23,Walter Mostert,,Male,HT,NR,Outdoor
61.25,NCA,San Salvador,ESA,2023-07-05,Carlos Alberto Arteaga,1997,Male,HT,NR,Outdoor
78.01,NED,Tucson,USA,2023-05-20,Denzel Comenentia,1995,Male,HT,NR,Outdoor
47.66,NEP,Kathmandu,NEP,1999-07-12,Tanka Bahadur Thapa Magar,,Male,HT,NR,Outdoor
57.02,NFI,Middlegate,USA,1998-03-14,Brentt Jones,1969,Male,HT,NR,Outdoor
67.45,NGR,Asaba,NGR,2022-12-07,Chukwuebuka Enekwechi,1993,Male,HT,NR,Outdoor
46.29,NMI,Lacey,USA,2019-04-13,Zachariah Hofschneider,,Male,HT,NR,Outdoor
81.58,NOR,Tokyo,JPN,2021-08-04,Eivind Prestegård Henriksen,1990,Male,HT,NR,Outdoor
32.80,NRU,Meneng,NRU,1994-01-31,Gerard Jones,,Male,HT,NR,Outdoor
73.10,NZL,Hamilton,CAN,1994-01-23,Angus Cooper,1964,Male,HT,NR,Outdoor
59.70,OMA,Radès,TUN,2023-05-21,Rashid Ibrahim Al Kindi Mubeen,2003,Male,HT,NR,Outdoor
68.20,PAK,Islamabad,PAK,1995-11-23,Agarab Abbas,1973,Male,HT,NR,Outdoor
46.42,PAN,San José,GUA,1975-11-26,René Lynch,,Male,HT,NR,Outdoor
58.31,PAR,Asunción,PAR,2022-12-09,Santiago Sasiain,1996,Male,HT,NR,Outdoor
67.26,PER,Lima,PER,2009-06-20,Eduardo Acuña,1972,Male,HT,NR,Outdoor
68.66,PHI,Fullerton,USA,2015-03-14,Caleb Stuart,1990,Male,HT,NR,Outdoor
40.12,PLE,Gaza,PLE,2000-09-28,Zohair Assotary,,Male,HT,NR,Outdoor
27.31,PLW,Koror,PLW,2006-04-10,Leon Mengloi,1989,Male,HT,NR,Outdoor
39.45,PNG,Suva,FIJ,2017-06-30,Debono Paraka,1990,Male,HT,NR,Outdoor
83.93,POL,Szczecin,POL,2015-08-09,Paweł Fajdek,1989,Male,HT,NR,Outdoor
76.86,POR,Reims,FRA,2004-07-21,Vítor Costa,1974,Male,HT,NR,Outdoor
61.84,PRK,Sofia,BUL,1986-05-31,Kim Jin Hwan,,Male,HT,NR,Outdoor
75.98,PUR,Carolina,PUR,2024-03-15,Jerome Vega,1995,Male,HT,NR,Outdoor
78.19,QAT,Doha,QAT,2016-03-27,Ashraf Amjad Al-Saifi,1995,Male,HT,NR,Outdoor
77.60,ROU,Bucureşti,ROU,1986-06-01,Nicolae Bîndar,1956,Male,HT,NR,Outdoor
80.63,RSA,Durban,RSA,2005-04-15,Chris Harmse,1973,Male,HT,NR,Outdoor
86.04,RUS,Dresden,GDR,1986-07-03,Sergey Litvinov,1958,Male,HT,NR,Outdoor
58.66,SAM,Port Moresby,PNG,2015-07-15,Alex Rose,1991,Male,HT,NR,Outdoor
