result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
16.04,,HON,Ciudad de Panamá,PAN,2015-08-18,Jason Castro,1991.0,Male,TJ,NR,Outdoor
17.24,0.7,HUN,Tivoli,ITA,1998-05-31,Zsolt Czingler,1971.0,Male,TJ,NR,Outdoor
16.21,-0.2,INA,New Clark City,PHI,2019-12-10,Sapwaturrahman,1994.0,Male,TJ,NR,Outdoor
17.37,-1.5,IND,La Habana,CUB,2023-05-06,Praveen Chithravel,2001.0,Male,TJ,NR,Outdoor
16.62,1.1,IRI,Mashhad,IRI,2021-04-11,Hamid Reza Kia,2001.0,Male,TJ,NR,Outdoor
15.89,,IRL,Søllerød,DEN,1977-06-26,Colm Cronin,1957.0,Male,TJ,NR,Outdoor
16.48,1.7,IRQ,Baghdad,IRQ,1996-05-08,Majed Abdulsada Jabbar,1974.0,Male,TJ,NR,Outdoor
16.70,,ISL,Reykjavik,ISL,1960-08-07,Vilhjálmur Einarsson,1934.0,Male,TJ,NR,Outdoor
17.20,0.9,ISR,Sevilla,ESP,1992-06-06,Rogel Nachum,1967.0,Male,TJ,NR,Outdoor
16.99,0.4,ISV,Baltimore MD,USA,2016-04-23,Muhammad Halim,1986.0,Male,TJ,NR,Outdoor
17.60,1.9,ITA,Milano,ITA,2000-06-07,Fabrizio Donato,1976.0,Male,TJ,NR,Outdoor
15.73,,IVB,Minneapolis MN,USA,1995-05-20,Keita Cline,1974.0,Male,TJ,NR,Outdoor
17.92,1.9,JAM,Odessa TX,USA,1995-05-20,James Beckford,1975.0,Male,TJ,NR,Outdoor
15.87,,JOR,Irbid,JOR,2000-07-23,Mohamed Abdelbaki,1978.0,Male,TJ,NR,Outdoor
17.15,0.9,JPN,Tokyo,JPN,1986-06-01,Norifumi Yamashita,1962.0,Male,TJ,NR,Outdoor
17.58,1.5,KAZ,Gorki,USA,1989-07-23,Oleg Sakirkin,1966.0,Male,TJ,NR,Outdoor
17.12,0.4,KEN,Nairobi,KEN,1996-06-28,Jacob Katonon,1969.0,Male,TJ,NR,Outdoor
17.27,,KGZ,Tashkent,URS,1983-05-15,Shamil Abbyasov,1957.0,Male,TJ,NR,Outdoor
13.90,0.5,KIR,Apia,SAM,2011-06-22,Boitu Baiteke,1990.0,Male,TJ,NR,Outdoor
17.10,1.3,KOR,Daegu,KOR,2009-06-05,Kim Duk-Hyung,1985.0,Male,TJ,NR,Outdoor
14.04,,KOS,Mitrovice,KOS,2020-06-26,Erudit Rysha,1998.0,Male,TJ,NR,Outdoor
17.07,0.3,KSA,Riyadh,KSA,1997-05-15,Salem Mouled Al-Ahmadi,1969.0,Male,TJ,NR,Outdoor
16.75,,KUW,Barcelona,ESP,1992-08-01,Marzouk Abdullah Al-Yoha,1968.0,Male,TJ,NR,Outdoor
15.74,,LAO,Norwalk CT,USA,1990-06-02,Phouphet Singbandith,,Male,TJ,NR,Outdoor
17.56,1.9,LAT,Riga,URS,1988-09-03,Maris Bruziks,1962.0,Male,TJ,NR,Outdoor
16.13,,LBA,Casablanca,MAR,1985-05-08,Fethi Khalifa Aboud,,Male,TJ,NR,Outdoor
15.36,0.3,LBN,Arcadia CA,USA,2015-04-11,Patrick Hanna,1996.0,Male,TJ,NR,Outdoor
16.46,,LBR,Princeton NJ,USA,2005-04-23,Tuan Wreh,1979.0,Male,TJ,NR,Outdoor
16.11,-1.7,LCA,Fort Collins CO,USA,2010-05-01,Jeremiah James,1987.0,Male,TJ,NR,Outdoor
13.56,,LES,Maputo,MOZ,2010-05-30,Leoma Rebonejoang,,Male,TJ,NR,Outdoor
13.62,,LIE,Zürich,SUI,1967-07-02,Franz Biedermann,1946.0,Male,TJ,NR,Outdoor
17.29,0.7,LTU,Vilnius,LTU,1995-07-22,Audrius Raizgys,1969.0,Male,TJ,NR,Outdoor
15.38,,LUX,Diekirch,LUX,1990-07-21,Guy Kemp,1964.0,Male,TJ,NR,Outdoor
15.56,-0.1,MAC,Hongkong,HKG,2011-12-18,Si Kuan Wong,1982.0,Male,TJ,NR,Outdoor
17.05,1.0,MAD,Sotteville-lès-Rouen,FRA,1989-06-10,Toussaint Rabenala,1965.0,Male,TJ,NR,Outdoor
17.37,2.0,MAR,Khémisset,MAR,2007-07-14,Tareq Bougtaïb,1981.0,Male,TJ,NR,Outdoor
16.77,0.2,MAS,Kuala Lumpur,MAS,2017-08-23,Muhd Hakimi Ismail,1991.0,Male,TJ,NR,Outdoor
14.30,,MAW,Blantyre,MAW,1970-01-01,Daniel Mkandawire,1951.0,Male,TJ,NR,Outdoor
17.06,0.0,MDA,Beograd,SRB,2002-06-23,Vladimir Letnicov,1981.0,Male,TJ,NR,Outdoor
12.76,,MDV,Male,MDV,1996-11-01,Ahmed Fall,,Male,TJ,NR,Outdoor
16.99,1.9,MEX,Norwalk CA,USA,2016-04-16,Alberto Alvarez,1991.0,Male,TJ,NR,Outdoor
14.60,1.4,MGL,Irkutsk,URS,1986-08-22,Khandsuren Tsastbaatar,,Male,TJ,NR,Outdoor
11.94,,MHL,Susupe,NMI,1969-07-01,Mike Zakios,,Male,TJ,NR,Outdoor
15.46,0.0,MKD,Banská Bystrica,SVK,2008-06-22,Redzhep Selman,1986.0,Male,TJ,NR,Outdoor
16.59,0.2,MLI,Bamako,MLI,2017-06-03,Mamadou Chérif Dia,1985.0,Male,TJ,NR,Outdoor
15.20,1.2,MLT,Marsa,MLT,2021-07-10,Ian Paul Grech,1993.0,Male,TJ,NR,Outdoor
14.97,,MNE,Berane,YUG,1981-07-24,Milorad Jovancevic,1959.0,Male,TJ,NR,Outdoor
14.69,,MNT,Plymouth,GBR,1982-07-24,Oswald Phillip,,Male,TJ,NR,Outdoor
12.76,,MON,Nicosia,CYP,1989-05-17,Yvan Ornella,1970.0,Male,TJ,NR,Outdoor
15.76,,MOZ,Gaborone,BOT,1988-07-19,Paulo Noronha,1966.0,Male,TJ,NR,Outdoor
16.96,1.5,MRI,Castres,FRA,2015-07-29,Jonathan Drack,1988.0,Male,TJ,NR,Outdoor
15.06,0.1,MYA,Pathum Thani,THA,2022-12-01,Hein Htet Aung,2006.0,Male,TJ,NR,Outdoor
16.78,0.8,NAM,Johannesburg,RSA,2016-02-13,Roger Haitengi,1983.0,Male,TJ,NR,Outdoor
15.36,0.4,NCA,Managua,NCA,2017-12-12,Angel Suárez,1998.0,Male,TJ,NR,Outdoor
16.92,2.0,NED,Clermont FL,USA,2016-04-30,Fabian Florant,1983.0,Male,TJ,NR,Outdoor
15.20,,NEP,Kathmandu,NEP,2001-07-25,Sita Ram Chaudhari,,Male,TJ,NR,Outdoor
11.62,0.3,NFI,Townsville,AUS,2004-12-17,Ben Martin Wieczorek,1988.0,Male,TJ,NR,Outdoor
17.26,1.5,NGR,Edmonton,CAN,1983-07-08,Ajayi Agbebaku,1956.0,Male,TJ,NR,Outdoor
15.40,,NIG,Niamey,NIG,1994-05-28,Harouna Doulla,,Male,TJ,NR,Outdoor
13.42,,NIU,Paliati,NIU,1982-10-16,Ian Hipa,,Male,TJ,NR,Outdoor
12.47,,NMI,Abay,FSM,2018-07-19,Douglas Schmidt,,Male,TJ,NR,Outdoor
17.27,1.3,NOR,Byrkjelo,NOR,1999-08-08,Ketill Hanstveit,1973.0,Male,TJ,NR,Outdoor
12.61,-0.9,NRU,Gold Coast,AUS,2009-06-08,Deamo Baguga,1986.0,Male,TJ,NR,Outdoor
16.67,0.1,NZL,Bruxelles,BEL,2023-06-25,Ethan Olivier,2005.0,Male,TJ,NR,Outdoor
16.42,0.0,OMA,Marrakech,MAR,2023-06-23,Salem Saleh El-Jerbi,1994.0,Male,TJ,NR,Outdoor
16.45,,PAK,Karachi,PAK,2007-04-12,Zafar Iqbal,1982.0,Male,TJ,NR,Outdoor
15.50,,PAN,Dickinson ND,USA,2007-05-04,Michael Thompson,1984.0,Male,TJ,NR,Outdoor
15.17,1.0,PAR,Asunción,PAR,2018-10-20,Christopher Josué Ortiz,1995.0,Male,TJ,NR,Outdoor
16.72,,PER,Huancayo,PER,1987-11-14,Ricardo Valiente,1968.0,Male,TJ,NR,Outdoor
16.70,0.8,PHI,Ilagan,PHI,2017-04-01,Mark Harry Diones,1993.0,Male,TJ,NR,Outdoor
