result,nation,venue,venueCountry,date,name,yearOfBirth,sex,discipline,type,environment
2:07:44,BOL,Sevilla,ESP,2023-02-19,Héctor Garibay,1988,Male,Mar,NR,Outdoor
2:14:57,BOT,Bosele,BOT,2004-07-25,John James,,Male,Mar,NR,Outdoor
2:04:51,BRA,Seoul,KOR,2022-04-17,Daniel do Nascimento,1998,Male,Mar,NR,Outdoor
2:04:43,BRN,Valencia,ESP,2018-12-02,El Hassan El Abbassi,1984,Male,Mar,NR,Outdoor
2:41:12,BRU,Kota Kinabalu,MAS,2008-10-14,Sefli Anak Ahar,,Male,Mar,NR,Outdoor
2:11:26,BUL,Sofia,BUL,1997-10-19,Hristo Stefanov,1970,Male,Mar,NR,Outdoor
2:27:20,BUR,Berlin,GER,2022-09-25,Moctare Simpore,1998,Male,Mar,NR,Outdoor
2:18:06,CAF,Saint-Denis,FRA,2003-08-30,Ernest Ndjissipou,1974,Male,Mar,NR,Outdoor
2:23:29,CAM,Paris,FRA,2012-04-15,Bunting Hem,1985,Male,Mar,NR,Outdoor
2:05:36,CAN,Tokyo,JPN,2023-03-05,Cam Levins,1989,Male,Mar,NR,Outdoor
2:34:29,CAY,Sacramento,USA,2010-12-05,Jon Rankin,1982,Male,Mar,NR,Outdoor
2:26:01,CGO,Puteaux,FRA,1990-09-16,Bernard Tsati,,Male,Mar,NR,Outdoor
2:18:20,CHA,Valencia,ESP,2023-12-03,Valentin Betoudji,1991,Male,Mar,NR,Outdoor
2:08:04,CHI,Sevilla,ESP,2024-02-18,Carlos Díaz,1993,Male,Mar,NR,Outdoor
2:06:57,CHN,Wuxi,CHN,2024-03-24,He Jie,1998,Male,Mar,NR,Outdoor
2:19:21,CIV,Valencia,ESP,2023-12-03,Jonathan Atse-Herrera,1987,Male,Mar,NR,Outdoor
2:15:43,CMR,Douala,CMR,2019-10-27,Justilin Foimi,,Male,Mar,NR,Outdoor
2:08:40,COD,Paris,FRA,1999-04-04,Mwenze Kalombo,1970,Male,Mar,NR,Outdoor
2:51:26,COK,Avarua,COK,1980-03-05,Muriaroa Ngaro,,Male,Mar,NR,Outdoor
2:10:51,COL,Enschede,NED,2021-04-18,Jeisson Alexander Suárez,1991,Male,Mar,NR,Outdoor
2:35:43,COM,St-Paul-Reunion,FRA,1988-09-18,Youssouf Gagou,,Male,Mar,NR,Outdoor
2:11:01,CPV,Sevilla,ESP,2024-02-18,Samuel Freire,1990,Male,Mar,NR,Outdoor
2:13:23,CRC,Los Angeles,USA,1996-03-03,José Luis Molina,1965,Male,Mar,NR,Outdoor
2:17:05,CRO,Bologna,ITA,1992-03-29,Drago Paripovic,1959,Male,Mar,NR,Outdoor
2:10:53,CUB,La Habana,CUB,1994-11-30,Ignacio Alberto Cuba,1962,Male,Mar,NR,Outdoor
2:10:20,CYP,Sevilla,ESP,2023-02-19,Amine Khadiri,1988,Male,Mar,NR,Outdoor
2:11:57,CZE,Hamburg,GER,1993-05-23,Karel David,1964,Male,Mar,NR,Outdoor
2:09:43,DEN,London,GBR,1985-04-21,Henrik Jørgensen,1961,Male,Mar,NR,Outdoor
2:06:43,DJI,Oita,JPN,2023-02-05,Ibrahim Hassan Bouh,1997,Male,Mar,NR,Outdoor
3:13:32,DMA,New York,USA,2013-11-03,Calvin Auguiste,,Male,Mar,NR,Outdoor
2:14:28,DOM,Houston,USA,2023-01-15,Alvaro Abreu,1991,Male,Mar,NR,Outdoor
2:09:05,ECU,Valencia,ESP,2023-12-03,Segundo Jami,1986,Male,Mar,NR,Outdoor
2:19:39,EGY,Arish,EGY,1997-12-25,Aissa Reza Abou Daif,1970,Male,Mar,NR,Outdoor
2:04:35,ERI,Amsterdam,NED,2021-10-17,Hizkel Tewelde,1986,Male,Mar,NR,Outdoor
2:26:57,ESA,Tegucigalpa,HON,1990-01-13,Victor Vasquez,,Male,Mar,NR,Outdoor
2:05:48,ESP,Valencia,ESP,2023-12-03,Tariku Novales,1998,Male,Mar,NR,Outdoor
2:08:53,EST,Paris,FRA,2002-04-07,Pavel Loskutov,1969,Male,Mar,NR,Outdoor
2:01:41,ETH,Berlin,GER,2019-09-29,Kenenisa Bekele,1982,Male,Mar,NR,Outdoor
2:23:33,FIJ,Las Vegas,USA,1989-04-02,Bineshwar Prasad,1963,Male,Mar,NR,Outdoor
2:10:46,FIN,Rotterdam,NED,2008-04-13,Janne Holmén,1977,Male,Mar,NR,Outdoor
2:03:47,FRA,Sevilla,ESP,2024-02-18,Morhad Amdouni,1988,Male,Mar,NR,Outdoor
2:46:08,FSM,Boston,USA,2022-04-18,Simeon Jacob,,Male,Mar,NR,Outdoor
2:31:59,GAB,Cannes,FRA,2008-09-11,Jean-Marc Léandro,1969,Male,Mar,NR,Outdoor
2:18:42,GAM,Reggio Emilia,ITA,2019-12-08,Ousman Jaiteh,1990,Male,Mar,NR,Outdoor
2:05:11,GBR,Chicago,USA,2018-10-07,Mo Farah,1983,Male,Mar,NR,Outdoor
2:29:04,GBS,Lisboa,POR,1987-08-11,Joaquim Moreira Da Silva,,Male,Mar,NR,Outdoor
2:11:46,GEO,Valencia,ESP,2023-12-03,Daviti Kharazishvili,1992,Male,Mar,NR,Outdoor
2:21:22,GEQ,Saumur,FRA,2019-12-05,Benjamin Enzema,1989,Male,Mar,NR,Outdoor
2:04:58,GER,Berlin,GER,2023-09-24,Amanal Petros,1995,Male,Mar,NR,Outdoor
2:18:43,GHA,Lagos,NGR,1990-11-11,Emmanuel Amoo,,Male,Mar,NR,Outdoor
2:28:08,GIB,Sevilla,ESP,2022-02-20,Arnold Rogers,1990,Male,Mar,NR,Outdoor
2:12:04,GRE,Berlin,FRG,1988-10-09,Spirídon Andriópoulos,1962,Male,Mar,NR,Outdoor
2:12:04,GRE,Berlin,FRG,1988-10-09,Spyridon Andreopoulos,1962,Male,Mar,NR,Outdoor
2:46:50,GRN,Port of Spain,TTO,1995-06-04,Findlay O'Neal,,Male,Mar,NR,Outdoor
2:07:40,GUA,Valencia,ESP,2023-12-03,Alberto Gonzalez Mindez,1996,Male,Mar,NR,Outdoor
2:16:48,GUI,Sevilla,ESP,2018-02-25,Alhassane Bangoura,1992,Male,Mar,NR,Outdoor
2:31:04,GUM,Huntsville,USA,2019-12-15,Wayne Blas,1977,Male,Mar,NR,Outdoor
2:25:02,GUY,Louisville,USA,2004-05-29,Andrew Smith,,Male,Mar,NR,Outdoor
2:14:22,HAI,Gagny,FRA,1988-04-16,Dieudonne Lamothé,1954,Male,Mar,NR,Outdoor
2:16:22,HKG,Berlin,GER,2023-09-24,Wan Chun Wong,1996,Male,Mar,NR,Outdoor
2:12:10,HUN,Paris,FRA,1993-04-25,Csaba Szűcs,1965,Male,Mar,NR,Outdoor
2:19:18,INA,Jakarta,INA,1993-09-12,Edwardus Nabunome,1968,Male,Mar,NR,Outdoor
2:12:00,IND,Jullundur,IND,1978-05-28,Shivnath Singh,1946,Male,Mar,NR,Outdoor
2:17:14,IRI,Berlin,GER,2023-09-24,Mohammad Jaafar Moradi,1990,Male,Mar,NR,Outdoor
2:21:54,IRQ,Baghdad,IRQ,1982-02-05,Saadoun Nasser Hafidh,1955,Male,Mar,NR,Outdoor
2:13:37,ISL,Dresden,GER,2021-03-21,Hlynur Andrésson,1993,Male,Mar,NR,Outdoor
2:04:53,ISR,Sevilla,ESP,2024-02-18,Gashau Ayale,1996,Male,Mar,NR,Outdoor
2:17:09,ISV,Valley Cottage,USA,2023-10-14,Eddie Garcia,1992,Male,Mar,NR,Outdoor
2:06:06,ITA,Sevilla,ESP,2024-02-18,Yemaneberhan Crippa,1996,Male,Mar,NR,Outdoor
2:36:54,IVB,Baltimore,USA,2008-10-11,Rasa Alula Nagarit,,Male,Mar,NR,Outdoor
2:16:39,JAM,Philadelphia,USA,1984-11-25,Derrick Adamson,1958,Male,Mar,NR,Outdoor
2:17:24,JOR,Marrakech,MAR,2015-01-25,Methgal Marouf Abu Drais,1983,Male,Mar,NR,Outdoor
2:04:56,JPN,Otsu,JPN,2021-02-28,Kengo Suzuki,1995,Male,Mar,NR,Outdoor
2:11:59.0,KAZ,Praha,TCH,1978-09-03,Nikolay Penzin,1950,Male,Mar,NR,Outdoor
2:00:35,KEN,Chicago,USA,2023-10-08,Kelvin Kiptum,1999,Male,Mar,NR,Outdoor
