result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
20.11,+0.7,HUN,Miskolc,HUN,1987-08-21,Attila Kovács,1960,Male,200,NR
20.76,+0.8,INA,Nakhon Ratchasima,THA,2007-12-11,Suryo Agung Wibowo,1983,Male,200,NR
20.52,+1.0,IND,Thenhipalam,IND,2022-04-06,Amlan Borgohain,1998,Male,200,NR
20.63,+1.0,IRI,Taipei,TPE,2014-06-14,Mohamed Hussein Abaraghi,1995,Male,200,NR
20.30,+0.1,IRL,Dublin,IRL,2007-07-21,Paul Hession,1983,Male,200,NR
20.81,,IRQ,Baghdad,IRQ,2020-11-06,Taha Hussein Yaseen,1998,Male,200,NR
20.91,+0.8,ISL,København,DEN,2023-05-28,Kolbeinn Hödur Gunnarsson,1995,Male,200,NR
19.96,-1.0,ISR,Cali,COL,2022-08-04,Blessing Afrifa,2003,Male,200,NR
20.66,+0.6,ISV,Greensboro NC,USA,2011-05-07,Calvin Dascent,1989,Male,200,NR
19.72,+1.8,ITA,Ciudad de México,MEX,1979-09-12,Pietro Mennea,1952,Male,200,NR
20.30,+1.5,IVB,Starkville MS,USA,2002-05-12,Dion Crabbe,1977,Male,200,NR
19.19,-0.3,JAM,Berlin,GER,2009-08-20,Usain Bolt,1986,Male,200,NR
20.81,+2.0,JOR,Cairo,EGY,2007-11-24,Khalil Al-Hanahneh,1980,Male,200,NR
20.03,+0.6,JPN,Yokohama,JPN,2003-06-07,Shingo Suetsugu,1980,Male,200,NR
20.34,-1.2,KAZ,Moskva,URS,1984-08-18,Vladimir Muravyov,1959,Male,200,NR
20.14,+1.9,KEN,Clermont FL,USA,2015-04-18,Carvin Nkanata,1991,Male,200,NR
21.25,,KGZ,Alma-Ata,URS,1991-05-26,Valeri Shchekotov,,Male,200,NR
22.54,+1.1,KIR,Brisbane,AUS,2021-02-20,Lataisi Mwea,2000,Male,200,NR
20.40,+0.3,KOR,Jeongseon,KOR,2018-06-28,Park Tae-Kyong,1991,Male,200,NR
21.60,+1.2,KOS,Murfreesboro TN,USA,2021-05-16,Lirim Emerllahu,1998,Male,200,NR
20.39,+1.4,KSA,Tashkent,UZB,2019-08-25,Fahad Mohamed Al-Subaie,1994,Male,200,NR
20.41,+0.2,KUW,Amman,JOR,2003-09-09,Fawzi Dahash Al-Shammari,1979,Male,200,NR
21.90,+0.2,LAO,Bangkok,THA,2023-07-15,Sorsy Phompakdy,2001,Male,200,NR
20.41,+1.3,LAT,Atlanta GA,USA,1996-07-31,Sergejs Inšakovs,1971,Male,200,NR
20.91,+0.6,LBA,Damascus,SYR,2009-10-09,Mohamed Ashour Khouaja,1987,Male,200,NR
20.78,+0.2,LBN,Dubai,UAE,2023-05-12,Noureddine Hadid,1993,Male,200,NR
19.83,+0.6,LBR,Eugene OR,USA,2022-06-10,Joe Fahnbulleh,2001,Male,200,NR
20.41,+0.8,LCA,Norman OK,USA,2023-05-13,Michael Joseph,2002,Male,200,NR
20.36,+0.5,LES,Glasgow,GBR,2014-07-31,Mosito Lehata,1989,Male,200,NR
21.14,+1.7,LIE,Zofingen,SUI,1998-05-31,Martin Frick,1972,Male,200,NR
20.48,+1.9,LTU,Eisenstadt,AUT,2021-06-09,Gediminas Truskauskas,1998,Male,200,NR
20.77,-0.5,LUX,Stuttgart,FRG,1978-08-22,Roland Bombardella,1957,Male,200,NR
21.54,-0.1,MAC,Hangzhou,CHN,2023-10-01,Chan Kin Wa,2002,Male,200,NR
20.85,-1.0,MAD,Antananarivo,MAD,1996-09-28,Hubert Rakotombélontsoa,1968,Male,200,NR
20.50,+0.2,MAR,Brazzaville,CGO,2012-06-10,Aziz Ouhadi,1984,Male,200,NR
20.77,+2.0,MAS,Brisbane,AUS,2019-03-23,Russel Alex Nasir Taib,1998,Male,200,NR
21.31,+0.4,MAW,Rabat,MAR,2019-08-29,Stern Noel Liffa,2000,Male,200,NR
21.15,,MDA,Baku,URS,1984-09-16,Yuriy Yordanov,1958,Male,200,NR
20.75,+1.0,MDV,Bengaluru,IND,2016-07-11,Hassan Saaid,1992,Male,200,NR
20.17,+0.9,MEX,Norwalk CA,USA,2016-04-16,José Carlos Herrera,1986,Male,200,NR
21.53,+0.8,MGL,Incheon,KOR,2014-09-30,Achitbileg Battulga,1986,Male,200,NR
21.47,,MHL,St. Paul MN,USA,2000-05-13,Roman Cress,1977,Male,200,NR
21.32,+0.1,MKD,Sarajevo,BIH,2019-06-30,Jovan Stojoski,1997,Male,200,NR
20.52,+1.8,MLI,Kortrijk,BEL,2018-07-14,Fode Sissoko,1996,Male,200,NR
21.03,-0.4,MLT,Zürich,SUI,2014-08-14,Kevin Moore,1990,Male,200,NR
21.44,-0.5,MNE,Baku,AZE,2015-06-22,Luka Rakic,1991,Male,200,NR
20.28,+0.7,MNT,El Paso TX,USA,2017-05-14,Julius Morris,1994,Male,200,NR
21.89,-0.1,MON,Marsa,MLT,2003-06-05,Sébastien Gattuso,1971,Male,200,NR
21.66,,MOZ,Gaborone,BOT,2009-05-30,Xato Jose Muinde,,Male,200,NR
19.89,+1.3,MRI,Albi,FRA,2022-07-10,Noah Bibi,2000,Male,200,NR
