result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
2:14:03,LUX,Frankfurt,GER,1985-05-19,Justin Gloden,1953,Male,Mar,NR
2:28:22,MAC,Melbourne,AUS,1994-06-05,Lam Weng Hei,,Male,Mar,NR
2:17:14,MAD,Moskva,URS,1979-07-29,Jules Randrianarivelo,1956,Male,Mar,NR
2:05:12,MAR,Barcelona,ESP,2023-03-19,Othmane El Goumri,1992,Male,Mar,NR
2:05:26,MAR,Valencia,ESP,2018-12-02,El Mahjoub Dazza,1991,Male,Mar,NR
2:23:13,MAS,Taipei,TPE,2020-12-20,Tan Huong Leong,1988,Male,Mar,NR
2:22:34,MAS,Fukuoka,JPN,2023-12-03,Tan Huong Leong,1988,Male,Mar,NR
2:08:32,MDA,Düsseldorf,GER,2010-05-02,Iaroslav Muşinschi,1976,Male,Mar,NR
2:32:56,MDV,Dubai,UAE,2019-01-25,Muhammad Shifaz,,Male,Mar,NR
2:08:30,MEX,London,GBR,1995-04-02,Dionicio Cerón,1965,Male,Mar,NR
2:08:50,MGL,Fukuoka,JPN,2014-12-07,Ser-Od Bat-Ochir,1981,Male,Mar,NR
2:18:12,MKD,København,DEN,2022-05-15,Dario Ivanovski,1997,Male,Mar,NR
2:08:26,MKD,Sevilla,ESP,2024-02-18,Dario Ivanovski,1997,Male,Mar,NR
2:11:53,MKD,Valencia,ESP,2023-12-03,Dario Ivanovski,1997,Male,Mar,NR
2:30:26,MLI,La Rochelle,FRA,2023-11-26,Yacouba Guindo,2002,Male,Mar,NR
2:34:16,MLI,Bamako,MLI,2011-01-23,Siaka Sangare,,Male,Mar,NR
2:13:13,MLT,Chicago IL,USA,2023-10-08,Jordan Gusman,1994,Male,Mar,NR
2:25:02,MLT,Valencia,ESP,2019-12-01,Charlton Debono,1984,Male,Mar,NR
2:24:18,MNE,Podgorica,YUG,1998-10-04,Drago Music,1968,Male,Mar,NR
2:27:36,MON,Sevilla,ESP,2024-02-18,Kais Adli,1975,Male,Mar,NR
2:32:14,MON,Paris,FRA,2023-04-02,Nicolas d'Angelo,1994,Male,Mar,NR
2:49:36,MON,Sevilla,ESP,2019-02-17,Sonny Folcheri,1987,Male,Mar,NR
2:16:42,MOZ,Durban,RSA,2022-05-08,Flávio Seholhe,1990,Male,Mar,NR
2:18:20,MRI,Hamburg,GER,2016-04-17,David Carver,1987,Male,Mar,NR
2:43:10,MTN,Rotterdam,NED,2008-04-13,Majid Toure,1973,Male,Mar,NR
2:19:57,MYA,Bangkok,THA,1978-12-17,Soe Khin,,Male,Mar,NR
2:09:08,NAM,Boston MA,USA,1994-04-18,Luketz Swartbooi,1966,Male,Mar,NR
2:08:40,NAM,Daegu,KOR,2023-04-02,Daniel Paulus,1997,Male,Mar,NR
2:20:39,NCA,Tegucigalpa,HON,1990-01-13,William Aguirre,1962,Male,Mar,NR
2:04:56,NED,Rotterdam,NED,2022-04-10,Abdi Nageeye,1989,Male,Mar,NR
2:15:03,NEP,Calcutta,IND,1987-11-22,Baikhunta Manandhar,1952,Male,Mar,NR
3:30:20,NFI,Manchester,GBR,2002-07-28,James Donaldson,1978,Male,Mar,NR
2:16:06,NGR,Lagos,NGR,1990-11-11,Mohammed Abbas,,Male,Mar,NR
2:25:05,NIG,Seoul,KOR,1988-10-02,Abdou Monzo,1959,Male,Mar,NR
3:30:00,NIU,Paliati,NIU,1982-10-19,Simpson Ikimau,,Male,Mar,NR
2:44:44,NMI,Boston MA,USA,2006-04-17,Eli Torgeson,,Male,Mar,NR
2:05:48,NOR,Fukuoka,JPN,2017-12-03,Sondre Nordstad Moen,1991,Male,Mar,NR
3:48:06,NRU,NRU,NRU,1968-01-01,Karl Hartman,,Male,Mar,NR
2:08:19,NZL,Gold Coast,AUS,2019-07-07,Zane Robertson,1989,Male,Mar,NR
2:43:32,OMA,Muscat,OMA,2020-02-21,Sami Al-Saidi,,Male,Mar,NR
2:14:11,PAK,Rawalpindi,USA,2003-10-19,Naseer Ahmad,,Male,Mar,NR
2:09:49,PAN,Valencia,ESP,2020-12-06,Jorge Castelblanco,1987,Male,Mar,NR
2:09:24,PAN,Sevilla,ESP,2024-02-18,Jorge Castelblanco,1987,Male,Mar,NR
2:10:11,PAR,Valencia,ESP,2020-12-06,Derlis Ayala,1990,Male,Mar,NR
2:07:38,PER,Sevilla,ESP,2023-02-19,Christian Pacheco,1993,Male,Mar,NR
2:18:44,PHI,Oita,JPN,2004-02-01,Eduardo Buenavista,1979,Male,Mar,NR
2:29:28,PLE,Rotterdam,NED,2000-04-16,Ihab Salama,1977,Male,Mar,NR
6:21:03,PLW,Koror,PLW,2008-05-04,Kambes Mize,,Male,Mar,NR
2:28:13,PNG,Honolulu HI,USA,1980-07-12,Tau John Tokwepota,1956,Male,Mar,NR
2:07:39,POL,Otsu,JPN,2012-03-04,Henryk Szost,1982,Male,Mar,NR
2:06:36,POR,London,GBR,2000-04-16,António Pinto,1966,Male,Mar,NR
2:09:26,PRK,Pyongyang,PRK,1983-10-19,Li Jong-Hyong,,Male,Mar,NR
2:12:43,PUR,Caracas,VEN,1983-08-28,Jorge Gonzalez,1952,Male,Mar,NR
2:07:19,QAT,Paris,FRA,2007-04-15,Mubarak Hassan Shami,1980,Male,Mar,NR
2:12:29.4,ROU,Praha,TCH,1978-09-03,Catalin Andreica,1947,Male,Mar,NR
2:16:04,RSA,Gqeberha,RSA,2021-12-04,Mphanso Nadolo,,Male,Mar,NR
2:06:33,RSA,Tokyo,JPN,1999-02-14,Gert Thys,1971,Male,Mar,NR
2:09:07,RUS,Dublin,IRL,2007-10-29,Aleksey V. Sokolov,1979,Male,Mar,NR
2:09:18,RWA,Dhaka,BAN,2023-01-20,Félicien Muhitira,1994,Male,Mar,NR
2:08:18,RWA,Milano,ITA,2023-04-02,John Hakizimana,1996,Male,Mar,NR
2:41:50,SAM,Apia,SAM,1969-03-22,Amani Tapusoa,1951,Male,Mar,NR
2:25:01,SEN,Dakar,SEN,2016-02-14,Samba Faye,,Male,Mar,NR
2:25:48,SEY,Victoria,CAN,1988-10-23,Albert Marie,,Male,Mar,NR
2:23:00,SGP,Valencia,ESP,2021-12-05,Guillaume Soh Rui Yong,1991,Male,Mar,NR
