result,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
17.67,MAS,Mokpo,KOR,2023-10-24,Jonah Chang Anak Rigan,2003,Male,SP,NR
14.90,MAW,Harare,ZIM,2001-01-07,Brian Ngoma,,Male,SP,NR
20.64,MDA,Chisinau,MDA,2011-05-29,Ivan Emilianov,1977,Male,SP,NR
11.02,MDV,Male,MDV,2015-10-01,Hassan Shamoon,,Male,SP,NR
21.88,MEX,Westwood CA,USA,2023-05-27,Uziel Muñoz,1995,Male,SP,NR
17.80,MGL,Irkutsk,RUS,1998-05-30,Dashdendev Makhashiri,1969,Male,SP,NR
12.70,MHL,Kolonia,FSM,2002-07-26,Rais Aho,,Male,SP,NR
16.01,MKD,Skopje,MKD,1998-06-28,Saso Ilov,,Male,SP,NR
18.04,MLI,Leuven,BEL,1971-08-24,Namakoro Niaré,1943,Male,SP,NR
15.32,MLT,Marsa,MLT,2017-05-14,Lawrence Ransley,1981,Male,SP,NR
20.60,MNE,Bar,MNE,2021-05-29,Tomaš Djurović,1994,Male,SP,NR
13.51,MNT,Basseterre,SKN,1974-06-02,Bruce Farara,,Male,SP,NR
17.06,MON,Oignies,FRA,2019-09-07,Boris Vain,1993,Male,SP,NR
14.24,MOZ,Maputo,MOZ,1983-06-26,Emilio Tembe,,Male,SP,NR
18.35,MRI,Tomblaine,FRA,2018-05-06,Bernard Baptiste,1989,Male,SP,NR
14.20,MTN,Nouakchott,MTN,2004-01-01,Abdoulaye Diagana,,Male,SP,NR
15.02,MYA,Nay Pyi Taw,MYA,2023-12-07,Htet Wai Yan,,Male,SP,NR
17.10,NAM,Bloemfontein,RSA,1969-04-19,Derreck Wiggill,,Male,SP,NR
15.20,NCA,Managua,NCA,1978-06-24,Ivan Turcios,,Male,SP,NR
21.62,NED,Leiden,NED,2006-06-10,Rutger Smith,1981,Male,SP,NR
13.92,NEP,Kathmandu,NEP,1999-09-26,Ujr Singh Bista,,Male,SP,NR
13.68,NFI,Middlegate,USA,1999-01-16,Brentt Jones,1969,Male,SP,NR
21.80,NGR,Schifflange,LUX,2019-08-18,Chukwuebuka Enekwechi,1993,Male,SP,NR
13.24,NIG,Bamako,MLI,1980-03-05,Lawali Gamji,,Male,SP,NR
12.13,NIU,Gold Coast,AUS,2018-08-04,Misinia Misikea,1993,Male,SP,NR
14.47,NMI,Townsville,AUS,1996-11-29,Faaea Talalemotu,1964,Male,SP,NR
