Code;Type;Discipline;Class;Result;Wind;Venue;Venue Country;Environment;Date;Firstname;Lastname;Nation;YOB;Sex
AR;6;4×2;M;1:23.04;;Sydney;AUS;Outdoor;1998-12-06;Australia;;AUS;;Male
AR;6;4×4;M;2:59.70;;Los Angeles;USA;Outdoor;1984-08-11;Australia;;AUS;;Male
AR;6;4×8;M;7:11.48;;Nassau;BAH;Outdoor;2014-05-24;Australia;;AUS;;Male
AR;6;HOC;W;2.03;;Eugene;USA;Outdoor;2023-09-17;Nicola;Olyslagers;AUS;1996;Female
AR;6;HOC;W;2.03;;Canberra;AUS;Outdoor;2024-01-27;Nicola;Olyslagers;AUS;1996;Female
AR;6;STA;W;4.94;;Jockgrim;GER;Outdoor;2018-07-17;Eliza;Mccartney;NZL;1996;Female
AR;6;WEI;W;7.13;1.8;Chula Vista;USA;Outdoor;2022-07-09;Brooke;Buschkuehl;AUS;1993;Female
AR;6;DRE;W;14.04;2.0;Hobart;AUS;Outdoor;2002-03-09;Nicole;Mladenis;AUS;1975;Female
AR;6;DRE;W;14.04;1.8;Perth;AUS;Outdoor;2003-12-07;Nicole;Mladenis;AUS;1975;Female
AR;6;KUG;W;21.24;;Daegu;KOR;Outdoor;2011-08-29;Valerie;Adams;NZL;1984;Female
AR;6;DIS;W;69.64;;London;GBR;Outdoor;2017-08-13;Dani;Stevens;AUS;1988;Female
AR;6;HAM;W;74.61;;Tucson;USA;Outdoor;2021-05-20;Lauren;Bruce;NZL;1997;Female
AR;6;SPE;W;68.92;;Gold Coast;AUS;Outdoor;2018-04-11;Kathryn;Mitchell;AUS;1982;Female
AR;6;100;W;10.96;2.0;La Chaux-de-Fonds;SUI;Outdoor;2023-07-02;Zoe;Hobbs;NZL;1997;Female
AR;6;200;W;22.23;0.8;Stuttgart;GER;Outdoor;1997-07-13;Melinda;Gainsford;AUS;1971;Female
AR;6;400;W;48.63;;Atlanta;USA;Outdoor;1996-07-29;Cathy;Freeman;AUS;1973;Female
AR;6;800;W;1:57.78;;London;GBR;Outdoor;2023-07-23;Catriona;Bisset;AUS;1994;Female
AR;6;1K0;W;2:34.63;;Bern;SUI;Outdoor;2023-08-04;Abbey;Caldwell;AUS;2001;Female
AR;6;1K5;W;3:55.97;;Eugene;USA;Outdoor;2024-05-25;Jessica;Hull;AUS;1996;Female
AR;6;MEI;W;4:15.34;;Monaco;MON;Outdoor;2023-07-21;Jessica;Hull;AUS;1996;Female
AR;6;2K0;W;5:37.71;;Ostrava;CZE;Outdoor;2003-06-12;Benita;Willis-Johnson;AUS;1979;Female
AR;6;3K0;W;8:24.20;;Oslo;NOR;Outdoor;2024-05-30;Georgia;Griffith;AUS;1996;Female
AR;6;10K;W;30:35.54;;CA;USA;Outdoor;2008-05-04;Kimberley;Smith;NZL;1981;Female
AR;6;10H;W;12.28;1.1;Daegu;KOR;Outdoor;2011-09-03;Sally;Pearson;AUS;1986;Female
AR;6;40H;W;53.17;;Jamsil, Seoul;KOR;Outdoor;1988-09-28;Debbie;Flintoff-King;AUS;1960;Female
AR;6;3KH;W;9:14.28;;Paris-St-Denis;FRA;Outdoor;2016-08-27;Genevieve;Lacaze;AUS;1989;Female
AR;6;10G;W;41:57.22;;WA;USA;Outdoor;1990-07-24;Kerry;Saxby;AUS;1961;Female
AR;6;4×1;W;42.83;;Nassau;BAH;Outdoor;2024-05-04;Australia;;AUS;;Female
AR;6;4×2;W;1:32.6;;Brisbane;AUS;Outdoor;1976-01-25;Australia;/ New Zealand;AUS;;Female
AR;6;4×4;W;3:23.81;;Sydney;AUS;Outdoor;2000-09-30;Australia;;AUS;;Female
AR;6;4×8;W;8:13.26;;Nassau;BAH;Outdoor;2014-05-25;Australia;;AUS;;Female
AR;6;4×4;X;3:17.00;;Gold Coast;AUS;Outdoor;2021-06-12;Australia;;AUS;;Mixed
AR;6;MEI;M;3:50.83;;New York;USA;Indoor;2022-01-29;Oliver;Hoare;AUS;1997;Male
AR;6;MEI;M;3:50.83;;New York;USA;Indoor;2023-02-11;Oliver;Hoare;AUS;1997;Male
AR;6;HOC;M;2.36;;Glasgow;GBR;Indoor;2024-03-03;Hamish;Kerr;NZL;1996;Male
AR;6;STA;M;6.06;;MA;USA;Indoor;2009-02-07;Steven;Hooker;AUS;1982;Male
AR;6;60M;M;6.52;;Maebashi;JPN;Indoor;1999-03-07;Matt;Shirvington;AUS;1978;Male
AR;6;60M;M;6.52;;Maebashi;JPN;Indoor;1999-03-07;Matt;Shirvington;AUS;1978;Male
AR;6;200;M;20.71;;Toronto;CAN;Indoor;1993-03-14;Damien;Marsh;AUS;1971;Male
AR;6;800;M;1:45.59;;Fayetteville;USA;Indoor;2021-02-13;Charlie;Hunter;AUS;1996;Male
AR;6;1K0;M;2:16.95;;Boston;USA;Indoor;2024-02-10;Jack;Anstey;AUS;1997;Male
AR;6;1K5;M;3:32.35;;New York;USA;Indoor;2021-02-13;Oliver;Hoare;AUS;1997;Male
AR;6;3K0;M;7:34.50;;MA;USA;Indoor;2008-01-26;Craig;Mottram;AUS;1980;Male
